ward,precinct,total,Timothy Michael Kelly,Timothy Michael Kelly Percent,Kathleen Marie Burke,Kathleen Marie Burke Percent,William James Haddad,William James Haddad Percent,Michael J. (Yakov) Fox,Michael J. (Yakov) Fox Percent,Barbara Anne Bailey,Barbara Anne Bailey Percent,Thomas G. O'Brien,Thomas G. O'Brien Percent,precinct_id
1,1,115,19,16.52,32,27.83,22,19.13,4,3.48,8,6.96,7,6.09,01001
1,2,128,10,7.81,33,25.78,44,34.38,5,3.91,13,10.16,6,4.69,01002
1,3,88,9,10.23,21,23.86,27,30.68,5,5.68,7,7.95,7,7.95,01003
1,4,116,13,11.21,18,15.52,35,30.17,9,7.76,16,13.79,4,3.45,01004
1,5,95,9,9.47,28,29.47,30,31.58,5,5.26,7,7.37,2,2.11,01005
1,6,88,10,11.36,23,26.14,10,11.36,2,2.27,15,17.05,6,6.82,01006
1,7,123,18,14.63,32,26.02,20,16.26,11,8.94,16,13.01,4,3.25,01007
1,8,120,11,9.17,19,15.83,33,27.5,8,6.67,20,16.67,6,5.0,01008
1,9,135,17,12.59,32,23.7,30,22.22,10,7.41,17,12.59,9,6.67,01009
1,10,78,7,8.97,16,20.51,25,32.05,3,3.85,13,16.67,3,3.85,01010
1,11,110,13,11.82,29,26.36,30,27.27,8,7.27,8,7.27,5,4.55,01011
1,12,105,12,11.43,21,20.0,28,26.67,11,10.48,12,11.43,6,5.71,01012
1,13,131,17,12.98,36,27.48,24,18.32,16,12.21,13,9.92,12,9.16,01013
1,14,154,11,7.14,36,23.38,50,32.47,10,6.49,20,12.99,3,1.95,01014
1,15,68,7,10.29,15,22.06,13,19.12,5,7.35,10,14.71,7,10.29,01015
1,16,85,15,17.65,16,18.82,19,22.35,2,2.35,11,12.94,13,15.29,01016
1,17,113,16,14.16,21,18.58,37,32.74,7,6.19,14,12.39,2,1.77,01017
1,18,101,12,11.88,17,16.83,29,28.71,11,10.89,17,16.83,8,7.92,01018
1,19,131,17,12.98,31,23.66,25,19.08,10,7.63,15,11.45,15,11.45,01019
1,20,110,12,10.91,32,29.09,19,17.27,7,6.36,15,13.64,10,9.09,01020
1,21,124,12,9.68,27,21.77,30,24.19,11,8.87,12,9.68,13,10.48,01021
1,22,98,16,16.33,19,19.39,19,19.39,6,6.12,16,16.33,13,13.27,01022
1,23,118,13,11.02,25,21.19,26,22.03,8,6.78,20,16.95,10,8.47,01023
1,24,200,26,13.0,48,24.0,42,21.0,22,11.0,23,11.5,9,4.5,01024
1,25,94,14,14.89,20,21.28,30,31.91,4,4.26,11,11.7,6,6.38,01025
1,26,107,16,14.95,27,25.23,27,25.23,7,6.54,13,12.15,6,5.61,01026
1,27,103,10,9.71,20,19.42,27,26.21,7,6.8,21,20.39,6,5.83,01027
1,28,134,23,17.16,25,18.66,24,17.91,11,8.21,20,14.93,10,7.46,01028
1,29,94,13,13.83,22,23.4,25,26.6,6,6.38,7,7.45,5,5.32,01029
1,30,173,30,17.34,27,15.61,25,14.45,19,10.98,28,16.18,18,10.4,01030
1,31,52,8,15.38,11,21.15,9,17.31,3,5.77,8,15.38,4,7.69,01031
1,32,82,10,12.2,15,18.29,17,20.73,7,8.54,12,14.63,10,12.2,01032
1,33,118,13,11.02,29,24.58,22,18.64,7,5.93,21,17.8,3,2.54,01033
1,34,67,14,20.9,15,22.39,9,13.43,6,8.96,7,10.45,5,7.46,01034
1,35,51,7,13.73,14,27.45,9,17.65,4,7.84,6,11.76,4,7.84,01035
1,36,109,17,15.6,29,26.61,20,18.35,6,5.5,13,11.93,11,10.09,01036
1,37,111,18,16.22,26,23.42,25,22.52,11,9.91,11,9.91,11,9.91,01037
1,38,68,10,14.71,20,29.41,10,14.71,3,4.41,7,10.29,4,5.88,01038
1,39,155,25,16.13,37,23.87,17,10.97,4,2.58,31,20.0,14,9.03,01039
1,40,46,8,17.39,11,23.91,4,8.7,2,4.35,6,13.04,7,15.22,01040
2,1,157,14,8.92,30,19.11,42,26.75,9,5.73,25,15.92,11,7.01,02001
2,2,8,2,25.0,1,12.5,0,0.0,2,25.0,1,12.5,2,25.0,02002
2,3,85,12,14.12,15,17.65,10,11.76,9,10.59,20,23.53,6,7.06,02003
2,4,106,17,16.04,21,19.81,12,11.32,11,10.38,25,23.58,12,11.32,02004
2,5,75,8,10.67,21,28.0,6,8.0,4,5.33,20,26.67,5,6.67,02005
2,6,73,9,12.33,18,24.66,17,23.29,8,10.96,7,9.59,5,6.85,02006
2,7,210,35,16.67,49,23.33,22,10.48,12,5.71,48,22.86,13,6.19,02007
2,8,169,13,7.69,38,22.49,47,27.81,10,5.92,38,22.49,2,1.18,02008
2,9,105,17,16.19,30,28.57,10,9.52,4,3.81,25,23.81,8,7.62,02009
2,10,42,6,14.29,11,26.19,4,9.52,4,9.52,5,11.9,6,14.29,02010
2,11,83,8,9.64,18,21.69,41,49.4,1,1.2,6,7.23,2,2.41,02011
2,12,73,6,8.22,20,27.4,19,26.03,5,6.85,11,15.07,1,1.37,02012
2,13,111,15,13.51,22,19.82,33,29.73,6,5.41,19,17.12,5,4.5,02013
2,14,250,29,11.6,72,28.8,47,18.8,12,4.8,52,20.8,7,2.8,02014
2,15,30,5,16.67,8,26.67,2,6.67,1,3.33,7,23.33,2,6.67,02015
2,16,85,15,17.65,19,22.35,12,14.12,8,9.41,11,12.94,6,7.06,02016
2,17,126,22,17.46,31,24.6,12,9.52,3,2.38,39,30.95,7,5.56,02017
2,18,262,21,8.02,82,31.3,63,24.05,8,3.05,42,16.03,12,4.58,02018
2,19,82,11,13.41,21,25.61,7,8.54,7,8.54,17,20.73,7,8.54,02019
2,20,154,27,17.53,38,24.68,8,5.19,6,3.9,44,28.57,8,5.19,02020
2,21,169,38,22.49,34,20.12,21,12.43,12,7.1,38,22.49,5,2.96,02021
