ward,precinct,total,"Edward (""""ED"""") Washington II","Edward (""""ED"""") Washington II Percent",Diane M. Shelley,Diane M. Shelley Percent,Ginger Mance,Ginger Mance Percent,Jackie Marie Portman,Jackie Marie Portman Percent,precinct_id
2,14,277,117,42.24,62,22.38,10,3.61,24,8.66,02014
2,20,174,85,48.85,35,20.11,7,4.02,10,5.75,02020
2,31,191,81,42.41,33,17.28,12,6.28,12,6.28,02031
2,44,109,39,35.78,27,24.77,6,5.5,5,4.59,02044
2,46,269,100,37.17,66,24.54,19,7.06,15,5.58,02046
3,1,140,72,51.43,18,12.86,2,1.43,12,8.57,03001
3,2,263,144,54.75,35,13.31,12,4.56,14,5.32,03002
3,4,62,33,53.23,10,16.13,4,6.45,2,3.23,03004
3,5,89,35,39.33,28,31.46,2,2.25,8,8.99,03005
3,7,147,73,49.66,29,19.73,5,3.4,15,10.2,03007
3,8,33,21,63.64,4,12.12,1,3.03,2,6.06,03008
3,9,129,56,43.41,16,12.4,9,6.98,12,9.3,03009
3,10,79,39,49.37,14,17.72,4,5.06,7,8.86,03010
3,11,84,47,55.95,7,8.33,0,0.0,4,4.76,03011
3,12,172,100,58.14,26,15.12,7,4.07,11,6.4,03012
3,14,79,55,69.62,8,10.13,1,1.27,4,5.06,03014
3,15,160,67,41.88,27,16.88,8,5.0,21,13.13,03015
3,16,296,170,57.43,42,14.19,9,3.04,19,6.42,03016
3,17,118,67,56.78,13,11.02,11,9.32,9,7.63,03017
3,18,110,72,65.45,17,15.45,3,2.73,4,3.64,03018
3,19,19,5,26.32,8,42.11,0,0.0,3,15.79,03019
3,20,6,1,16.67,3,50.0,0,0.0,1,16.67,03020
3,21,106,52,49.06,21,19.81,3,2.83,6,5.66,03021
3,22,111,81,72.97,15,13.51,4,3.6,5,4.5,03022
3,23,21,6,28.57,8,38.1,2,9.52,2,9.52,03023
3,24,126,77,61.11,13,10.32,4,3.17,14,11.11,03024
3,25,23,13,56.52,4,17.39,1,4.35,2,8.7,03025
3,26,119,59,49.58,19,15.97,4,3.36,7,5.88,03026
3,27,6,2,33.33,0,0.0,0,0.0,2,33.33,03027
3,29,124,40,32.26,16,12.9,6,4.84,2,1.61,03029
3,30,130,71,54.62,30,23.08,3,2.31,10,7.69,03030
3,31,226,128,56.64,50,22.12,12,5.31,14,6.19,03031
3,32,106,65,61.32,13,12.26,5,4.72,7,6.6,03032
3,33,190,96,50.53,26,13.68,8,4.21,21,11.05,03033
3,34,109,61,55.96,16,14.68,3,2.75,8,7.34,03034
3,35,135,68,50.37,28,20.74,6,4.44,4,2.96,03035
3,36,85,34,40.0,14,16.47,9,10.59,6,7.06,03036
3,37,82,47,57.32,10,12.2,4,4.88,6,7.32,03037
3,38,36,19,52.78,2,5.56,1,2.78,7,19.44,03038
3,39,251,151,60.16,22,8.76,22,8.76,21,8.37,03039
3,40,133,73,54.89,25,18.8,1,0.75,10,7.52,03040
3,41,161,66,40.99,44,27.33,4,2.48,16,9.94,03041
3,42,112,60,53.57,19,16.96,6,5.36,11,9.82,03042
3,43,64,54,84.38,3,4.69,0,0.0,2,3.13,03043
3,44,70,35,50.0,7,10.0,2,2.86,9,12.86,03044
3,45,58,25,43.1,13,22.41,1,1.72,6,10.34,03045
3,46,160,87,54.38,29,18.13,4,2.5,16,10.0,03046
3,47,98,47,47.96,7,7.14,8,8.16,8,8.16,03047
3,48,127,81,63.78,16,12.6,3,2.36,12,9.45,03048
3,49,33,18,54.55,7,21.21,2,6.06,1,3.03,03049
3,50,153,86,56.21,21,13.73,1,0.65,12,7.84,03050
3,52,77,33,42.86,9,11.69,2,2.6,8,10.39,03052
