ward,precinct,total,Patricia J. Cullerton,Patricia J. Cullerton Percent,precinct_id
38,1,130,130,100.0,38001
38,2,93,93,100.0,38002
38,3,93,93,100.0,38003
38,4,48,48,100.0,38004
38,5,177,177,100.0,38005
38,6,90,90,100.0,38006
38,7,128,128,100.0,38007
38,8,88,88,100.0,38008
38,9,100,100,100.0,38009
38,10,166,166,100.0,38010
38,11,87,87,100.0,38011
38,12,148,148,100.0,38012
38,13,99,99,100.0,38013
38,14,94,94,100.0,38014
38,15,99,99,100.0,38015
38,16,150,150,100.0,38016
38,17,106,106,100.0,38017
38,18,122,122,100.0,38018
38,19,150,150,100.0,38019
38,20,145,145,100.0,38020
38,21,114,114,100.0,38021
38,22,116,116,100.0,38022
38,23,84,84,100.0,38023
38,24,60,60,100.0,38024
38,25,98,98,100.0,38025
38,26,89,89,100.0,38026
38,27,54,54,100.0,38027
38,28,78,78,100.0,38028
38,29,85,85,100.0,38029
38,30,100,100,100.0,38030
38,31,131,131,100.0,38031
38,32,139,139,100.0,38032
38,33,100,100,100.0,38033
38,34,64,64,100.0,38034
38,35,133,133,100.0,38035
38,36,112,112,100.0,38036
38,37,122,122,100.0,38037
38,38,145,145,100.0,38038
38,39,128,128,100.0,38039
38,40,85,85,100.0,38040
38,41,190,190,100.0,38041
38,42,155,155,100.0,38042
38,43,132,132,100.0,38043
38,44,121,121,100.0,38044
38,45,109,109,100.0,38045
38,46,98,98,100.0,38046
38,47,115,115,100.0,38047
38,48,125,125,100.0,38048
38,49,92,92,100.0,38049
38,50,124,124,100.0,38050
38,51,91,91,100.0,38051
38,52,119,119,100.0,38052
38,53,23,23,100.0,38053
