ward,precinct,total,"Xochitl """"So-She"""" Flores","Xochitl """"So-She"""" Flores Percent",Stacy M. Stoldt,Stacy M. Stoldt Percent,Brendan George O'Connor,Brendan George O'Connor Percent,Gloria Alitto Majewski,Gloria Alitto Majewski Percent,Patricia Young,Patricia Young Percent,Barbara McGowan,Barbara McGowan Percent,Anthony J. Sutor Jr.,Anthony J. Sutor Jr. Percent,"Lewis W. Powell, III","Lewis W. Powell, III Percent",Minerva V. Orozco,Minerva V. Orozco Percent,Gracie Gipson,Gracie Gipson Percent,Frank Avila,Frank Avila Percent,precinct_id
1,1,327,74,22.63,16,4.89,31,9.48,58,17.74,29,8.87,38,11.62,6,1.83,6,1.83,21,6.42,8,2.45,40,12.23,01001
1,2,332,102,30.72,14,4.22,36,10.84,34,10.24,26,7.83,50,15.06,8,2.41,6,1.81,20,6.02,9,2.71,27,8.13,01002
1,3,236,82,34.75,10,4.24,20,8.47,23,9.75,21,8.9,30,12.71,2,0.85,0,0.0,14,5.93,9,3.81,25,10.59,01003
1,4,323,89,27.55,16,4.95,38,11.76,43,13.31,28,8.67,39,12.07,1,0.31,4,1.24,15,4.64,9,2.79,41,12.69,01004
1,5,271,79,29.15,12,4.43,21,7.75,28,10.33,26,9.59,31,11.44,3,1.11,13,4.8,13,4.8,8,2.95,37,13.65,01005
1,6,253,66,26.09,13,5.14,23,9.09,37,14.62,16,6.32,26,10.28,9,3.56,7,2.77,18,7.11,10,3.95,28,11.07,01006
1,7,365,88,24.11,20,5.48,37,10.14,37,10.14,34,9.32,41,11.23,9,2.47,11,3.01,34,9.32,7,1.92,47,12.88,01007
1,8,306,99,32.35,8,2.61,27,8.82,29,9.48,41,13.4,32,10.46,7,2.29,12,3.92,19,6.21,8,2.61,24,7.84,01008
1,9,352,123,34.94,10,2.84,38,10.8,33,9.38,34,9.66,22,6.25,6,1.7,8,2.27,30,8.52,14,3.98,34,9.66,01009
1,10,214,59,27.57,7,3.27,14,6.54,24,11.21,28,13.08,30,14.02,3,1.4,4,1.87,14,6.54,8,3.74,23,10.75,01010
1,11,326,88,26.99,13,3.99,30,9.2,41,12.58,32,9.82,41,12.58,4,1.23,5,1.53,22,6.75,12,3.68,38,11.66,01011
1,12,275,76,27.64,9,3.27,32,11.64,24,8.73,30,10.91,34,12.36,1,0.36,5,1.82,19,6.91,13,4.73,32,11.64,01012
1,13,335,104,31.04,22,6.57,28,8.36,37,11.04,24,7.16,34,10.15,5,1.49,3,0.9,29,8.66,16,4.78,33,9.85,01013
1,14,435,122,28.05,17,3.91,41,9.43,38,8.74,44,10.11,57,13.1,6,1.38,8,1.84,37,8.51,14,3.22,51,11.72,01014
1,15,189,49,25.93,9,4.76,9,4.76,9,4.76,19,10.05,19,10.05,6,3.17,8,4.23,21,11.11,11,5.82,29,15.34,01015
1,16,196,56,28.57,10,5.1,20,10.2,10,5.1,15,7.65,26,13.27,5,2.55,7,3.57,14,7.14,7,3.57,26,13.27,01016
1,17,317,94,29.65,11,3.47,36,11.36,27,8.52,44,13.88,40,12.62,3,0.95,8,2.52,17,5.36,10,3.15,27,8.52,01017
1,18,259,78,30.12,6,2.32,15,5.79,23,8.88,22,8.49,33,12.74,8,3.09,10,3.86,27,10.42,6,2.32,31,11.97,01018
1,19,385,93,24.16,12,3.12,33,8.57,41,10.65,51,13.25,28,7.27,5,1.3,14,3.64,34,8.83,13,3.38,61,15.84,01019
1,20,317,109,34.38,12,3.79,32,10.09,18,5.68,29,9.15,25,7.89,6,1.89,6,1.89,28,8.83,10,3.15,42,13.25,01020
1,21,335,98,29.25,12,3.58,37,11.04,36,10.75,30,8.96,34,10.15,9,2.69,9,2.69,26,7.76,8,2.39,36,10.75,01021
1,22,286,84,29.37,6,2.1,26,9.09,16,5.59,16,5.59,24,8.39,7,2.45,9,3.15,35,12.24,5,1.75,58,20.28,01022
1,23,310,83,26.77,15,4.84,17,5.48,34,10.97,39,12.58,31,10.0,10,3.23,10,3.23,21,6.77,17,5.48,33,10.65,01023
1,24,576,148,25.69,33,5.73,43,7.47,69,11.98,62,10.76,56,9.72,12,2.08,18,3.13,46,7.99,20,3.47,69,11.98,01024
1,25,230,83,36.09,7,3.04,27,11.74,18,7.83,14,6.09,27,11.74,2,0.87,9,3.91,18,7.83,3,1.3,22,9.57,01025
1,26,284,81,28.52,11,3.87,26,9.15,32,11.27,38,13.38,21,7.39,3,1.06,7,2.46,18,6.34,8,2.82,39,13.73,01026
1,27,258,89,34.5,11,4.26,22,8.53,19,7.36,19,7.36,12,4.65,5,1.94,8,3.1,27,10.47,7,2.71,39,15.12,01027
1,28,346,92,26.59,14,4.05,35,10.12,23,6.65,34,9.83,40,11.56,8,2.31,17,4.91,26,7.51,15,4.34,42,12.14,01028
