ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,precinct_id
40,3,133,133,100.0,40003
40,4,145,145,100.0,40004
40,7,113,113,100.0,40007
40,8,41,41,100.0,40008
40,9,65,65,100.0,40009
40,11,118,118,100.0,40011
40,12,105,105,100.0,40012
40,13,153,153,100.0,40013
40,16,200,200,100.0,40016
40,18,125,125,100.0,40018
40,22,47,47,100.0,40022
40,26,175,175,100.0,40026
40,27,105,105,100.0,40027
40,28,105,105,100.0,40028
40,33,128,128,100.0,40033
40,35,120,120,100.0,40035
40,37,98,98,100.0,40037
40,39,92,92,100.0,40039
40,41,143,143,100.0,40041
40,42,162,162,100.0,40042
40,43,161,161,100.0,40043
40,46,135,135,100.0,40046
40,47,165,165,100.0,40047
41,1,74,74,100.0,41001
41,2,156,156,100.0,41002
41,4,103,103,100.0,41004
41,5,131,131,100.0,41005
41,6,106,106,100.0,41006
41,7,150,150,100.0,41007
41,8,111,111,100.0,41008
41,11,73,73,100.0,41011
41,13,85,85,100.0,41013
41,15,66,66,100.0,41015
41,17,139,139,100.0,41017
41,18,84,84,100.0,41018
41,20,142,142,100.0,41020
41,25,37,37,100.0,41025
41,26,54,54,100.0,41026
41,27,34,34,100.0,41027
41,28,67,67,100.0,41028
41,29,30,30,100.0,41029
41,31,119,119,100.0,41031
41,32,75,75,100.0,41032
41,33,77,77,100.0,41033
41,34,69,69,100.0,41034
41,36,119,119,100.0,41036
41,37,104,104,100.0,41037
41,38,60,60,100.0,41038
41,39,62,62,100.0,41039
41,40,95,95,100.0,41040
41,41,99,99,100.0,41041
41,42,84,84,100.0,41042
41,44,87,87,100.0,41044
41,45,91,91,100.0,41045
41,48,48,48,100.0,41048
41,49,79,79,100.0,41049
41,52,114,114,100.0,41052
41,53,109,109,100.0,41053
41,55,67,67,100.0,41055
41,56,119,119,100.0,41056
41,58,78,78,100.0,41058
41,60,73,73,100.0,41060
41,61,134,134,100.0,41061
41,63,105,105,100.0,41063
41,64,114,114,100.0,41064
44,3,184,184,100.0,44003
44,4,187,187,100.0,44004
44,7,166,166,100.0,44007
44,18,0,0,0.0,44018
44,35,112,112,100.0,44035
44,48,111,111,100.0,44048
44,49,276,276,100.0,44049
46,1,285,285,100.0,46001
46,2,162,162,100.0,46002
46,4,124,124,100.0,46004
46,6,107,107,100.0,46006
46,7,189,189,100.0,46007
46,8,145,145,100.0,46008
46,9,142,142,100.0,46009
46,10,96,96,100.0,46010
46,11,205,205,100.0,46011
46,12,122,122,100.0,46012
46,14,131,131,100.0,46014
46,15,178,178,100.0,46015
46,16,150,150,100.0,46016
46,19,195,195,100.0,46019
46,20,125,125,100.0,46020
46,21,41,41,100.0,46021
46,22,108,108,100.0,46022
46,23,113,113,100.0,46023
