ward,precinct,total,Robert J. Baren (Dean),Robert J. Baren (Dean) Percent,Deborah L. Graham (Dean),Deborah L. Graham (Dean) Percent,Thomas E. Simmons (Dean),Thomas E. Simmons (Dean) Percent,Anna Eleanor Roosevelt (Dean),Anna Eleanor Roosevelt (Dean) Percent,Eric Emmett Davis (Dean),Eric Emmett Davis (Dean) Percent,Barbara Burchjolla (Dean),Barbara Burchjolla (Dean) Percent,Vincent R. Williams (Dean),Vincent R. Williams (Dean) Percent,Camille Y. Lilly (Dean),Camille Y. Lilly (Dean) Percent,Richard Breyer (Kucinich),Richard Breyer (Kucinich) Percent,Mary Jean Cravens (Kucinich),Mary Jean Cravens (Kucinich) Percent,Babak Bakhtiari (Kucinich),Babak Bakhtiari (Kucinich) Percent,Leslie Roberts (Kucinich),Leslie Roberts (Kucinich) Percent,Bruce Samuels (Kucinich),Bruce Samuels (Kucinich) Percent,Margo Dumelle (Kucinich),Margo Dumelle (Kucinich) Percent,Mary O'Kiersey (Kucinich),Mary O'Kiersey (Kucinich) Percent,Barbara A. Mullarkey (Kucinich),Barbara A. Mullarkey (Kucinich) Percent,Susan S. Pritzker (Gephardt),Susan S. Pritzker (Gephardt) Percent,Reanetta Hunt (Gephardt),Reanetta Hunt (Gephardt) Percent,Peter A. Fosco (Gephardt),Peter A. Fosco (Gephardt) Percent,Javier Ramirez (Gephardt),Javier Ramirez (Gephardt) Percent,Darlena Williams-Burnett (Edwards),Darlena Williams-Burnett (Edwards) Percent,Larry R. Rogers (Edwards),Larry R. Rogers (Edwards) Percent,Gabriella S. Pehanich (Edwards),Gabriella S. Pehanich (Edwards) Percent,Ajay Niranjan Shah (Edwards),Ajay Niranjan Shah (Edwards) Percent,Mercedes A. Laing (Edwards),Mercedes A. Laing (Edwards) Percent,Frank M. Bass (Edwards),Frank M. Bass (Edwards) Percent,Tania Irene Lopez (Edwards),Tania Irene Lopez (Edwards) Percent,Keith A. Romero (Edwards),Keith A. Romero (Edwards) Percent,Vi Daley (Clark),Vi Daley (Clark) Percent,Thomas Gary (Clark),Thomas Gary (Clark) Percent,Bettylu K. Saltzman (Clark),Bettylu K. Saltzman (Clark) Percent,Ted Tetzlaff (Clark),Ted Tetzlaff (Clark) Percent,Judy Klutznick (Clark),Judy Klutznick (Clark) Percent,Robert C. Howard (Clark),Robert C. Howard (Clark) Percent,Bette Cerf Hill (Clark),Bette Cerf Hill (Clark) Percent,Robert L. Fogel (Clark),Robert L. Fogel (Clark) Percent,Laura Perna (Kerry),Laura Perna (Kerry) Percent,Victor Johnson (Kerry),Victor Johnson (Kerry) Percent,Lisa Ellman (Kerry),Lisa Ellman (Kerry) Percent,Carl Harper (Kerry),Carl Harper (Kerry) Percent,Audra Wilson (Kerry),Audra Wilson (Kerry) Percent,Kimberly Johnson (Kerry),Kimberly Johnson (Kerry) Percent,Mike Keating (Kerry),Mike Keating (Kerry) Percent,Nathaniel Benson (Lieberman),Nathaniel Benson (Lieberman) Percent,Desiree Grode (Lieberman),Desiree Grode (Lieberman) Percent,Alissa Krinsky (Lieberman),Alissa Krinsky (Lieberman) Percent,Daniel Logan (Lieberman),Daniel Logan (Lieberman) Percent,Andrew May (Lieberman),Andrew May (Lieberman) Percent,Miriam Moore-Hunter (Lieberman),Miriam Moore-Hunter (Lieberman) Percent,Barton Moy (Lieberman),Barton Moy (Lieberman) Percent,Betty Wong (Lieberman),Betty Wong (Lieberman) Percent,Christine K. Cook (Braun),Christine K. Cook (Braun) Percent,Michael J. Fitzgerald (Braun),Michael J. Fitzgerald (Braun) Percent,Bobbie L. Steele (Braun),Bobbie L. Steele (Braun) Percent,Calvin Giles (Braun),Calvin Giles (Braun) Percent,Joyce Washington (Braun),Joyce Washington (Braun) Percent,John Troelstrup (Braun),John Troelstrup (Braun) Percent,Mattie Hunter (Braun),Mattie Hunter (Braun) Percent,precinct_id
1,1,385,10,2.6,10,2.6,10,2.6,10,2.6,8,2.08,7,1.82,6,1.56,6,1.56,9,2.34,10,2.6,10,2.6,8,2.08,7,1.82,10,2.6,9,2.34,6,1.56,3,0.78,1,0.26,1,0.26,11,2.86,3,0.78,7,1.82,5,1.3,3,0.78,3,0.78,2,0.52,16,4.16,5,1.3,0,0.0,5,1.3,0,0.0,0,0.0,2,0.52,1,0.26,4,1.04,2,0.52,19,4.94,18,4.68,21,5.45,19,4.94,22,5.71,18,4.68,18,4.68,1,0.26,0,0.0,0,0.0,0,0.0,1,0.26,1,0.26,1,0.26,5,1.3,3,0.78,5,1.3,0,0.0,2,0.52,1,0.26,1,0.26,2,0.52,01001
1,6,552,15,2.72,12,2.17,9,1.63,15,2.72,11,1.99,14,2.54,10,1.81,10,1.81,8,1.45,9,1.63,9,1.63,5,0.91,7,1.27,7,1.27,12,2.17,3,0.54,3,0.54,3,0.54,2,0.36,4,0.72,7,1.27,8,1.45,6,1.09,6,1.09,4,0.72,6,1.09,9,1.63,3,0.54,4,0.72,7,1.27,4,0.72,7,1.27,7,1.27,4,0.72,4,0.72,5,0.91,33,5.98,32,5.8,35,6.34,33,5.98,32,5.8,32,5.8,30,5.43,2,0.36,1,0.18,2,0.36,2,0.36,2,0.36,1,0.18,1,0.18,2,0.36,3,0.54,9,1.63,2,0.36,3,0.54,3,0.54,1,0.18,2,0.36,01006
1,11,71,2,2.82,4,5.63,2,2.82,1,1.41,1,1.41,2,2.82,1,1.41,1,1.41,0,0.0,1,1.41,2,2.82,1,1.41,1,1.41,1,1.41,1,1.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.82,1,1.41,0,0.0,0,0.0,1,1.41,0,0.0,0,0.0,0,0.0,1,1.41,2,2.82,1,1.41,1,1.41,2,2.82,1,1.41,1,1.41,2,2.82,4,5.63,4,5.63,4,5.63,4,5.63,4,5.63,4,5.63,4,5.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.41,0,0.0,1,1.41,1,1.41,0,0.0,01011
1,14,303,8,2.64,8,2.64,7,2.31,9,2.97,5,1.65,11,3.63,6,1.98,8,2.64,5,1.65,4,1.32,7,2.31,8,2.64,5,1.65,6,1.98,5,1.65,3,0.99,5,1.65,0,0.0,1,0.33,4,1.32,3,0.99,3,0.99,4,1.32,5,1.65,7,2.31,2,0.66,9,2.97,4,1.32,1,0.33,1,0.33,1,0.33,0,0.0,0,0.0,1,0.33,2,0.66,0,0.0,16,5.28,15,4.95,19,6.27,12,3.96,17,5.61,14,4.62,14,4.62,0,0.0,1,0.33,1,0.33,0,0.0,0,0.0,1,0.33,0,0.0,4,1.32,5,1.65,2,0.66,2,0.66,1,0.33,3,0.99,2,0.66,3,0.99,01014
2,1,1268,31,2.44,26,2.05,21,1.66,24,1.89,22,1.74,25,1.97,19,1.5,20,1.58,17,1.34,21,1.66,17,1.34,21,1.66,19,1.5,14,1.1,15,1.18,9,0.71,4,0.32,2,0.16,1,0.08,2,0.16,22,1.74,18,1.42,14,1.1,13,1.03,18,1.42,12,0.95,13,1.03,14,1.1,9,0.71,5,0.39,3,0.24,4,0.32,1,0.08,1,0.08,7,0.55,1,0.08,88,6.94,90,7.1,94,7.41,91,7.18,84,6.62,89,7.02,85,6.7,5,0.39,2,0.16,3,0.24,3,0.24,0,0.0,2,0.16,2,0.16,6,0.47,8,0.63,6,0.47,12,0.95,4,0.32,8,0.63,8,0.63,8,0.63,02001
2,2,12,1,8.33,1,8.33,1,8.33,1,8.33,1,8.33,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,02002
2,3,471,16,3.4,10,2.12,5,1.06,6,1.27,7,1.49,6,1.27,6,1.27,5,1.06,4,0.85,5,1.06,5,1.06,4,0.85,5,1.06,4,0.85,5,1.06,6,1.27,2,0.42,2,0.42,3,0.64,3,0.64,9,1.91,7,1.49,5,1.06,3,0.64,3,0.64,4,0.85,4,0.85,4,0.85,5,1.06,3,0.64,4,0.85,1,0.21,3,0.64,4,0.85,2,0.42,4,0.85,31,6.58,28,5.94,31,6.58,28,5.94,28,5.94,31,6.58,29,6.16,1,0.21,1,0.21,1,0.21,4,0.85,0,0.0,1,0.21,3,0.64,5,1.06,4,0.85,9,1.91,13,2.76,4,0.85,8,1.7,4,0.85,5,1.06,02003
2,4,370,13,3.51,15,4.05,5,1.35,13,3.51,12,3.24,3,0.81,5,1.35,2,0.54,2,0.54,3,0.81,0,0.0,5,1.35,0,0.0,1,0.27,1,0.27,8,2.16,3,0.81,3,0.81,2,0.54,1,0.27,15,4.05,4,1.08,3,0.81,2,0.54,1,0.27,1,0.27,3,0.81,2,0.54,2,0.54,1,0.27,0,0.0,0,0.0,3,0.81,9,2.43,4,1.08,1,0.27,17,4.59,11,2.97,14,3.78,14,3.78,13,3.51,17,4.59,10,2.7,4,1.08,2,0.54,1,0.27,0,0.0,1,0.27,3,0.81,1,0.27,6,1.62,11,2.97,21,5.68,18,4.86,5,1.35,23,6.22,6,1.62,11,2.97,02004
2,5,303,4,1.32,11,3.63,3,0.99,6,1.98,4,1.32,4,1.32,4,1.32,5,1.65,1,0.33,3,0.99,0,0.0,2,0.66,1,0.33,2,0.66,1,0.33,3,0.99,0,0.0,1,0.33,3,0.99,0,0.0,6,1.98,11,3.63,0,0.0,0,0.0,1,0.33,0,0.0,0,0.0,0,0.0,1,0.33,1,0.33,0,0.0,0,0.0,0,0.0,3,0.99,0,0.0,1,0.33,17,5.61,20,6.6,18,5.94,18,5.94,21,6.93,20,6.6,19,6.27,0,0.0,1,0.33,0,0.0,1,0.33,0,0.0,1,0.33,0,0.0,7,2.31,9,2.97,10,3.3,13,4.29,5,1.65,10,3.3,6,1.98,7,2.31,02005
2,6,621,10,1.61,10,1.61,8,1.29,9,1.45,8,1.29,9,1.45,7,1.13,7,1.13,3,0.48,4,0.64,3,0.48,3,0.48,5,0.81,4,0.64,3,0.48,3,0.48,2,0.32,0,0.0,0,0.0,1,0.16,4,0.64,4,0.64,5,0.81,4,0.64,4,0.64,3,0.48,4,0.64,3,0.48,2,0.32,1,0.16,1,0.16,1,0.16,1,0.16,0,0.0,0,0.0,0,0.0,58,9.34,57,9.18,61,9.82,60,9.66,61,9.82,59,9.5,58,9.34,3,0.48,2,0.32,3,0.48,1,0.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.32,0,0.0,2,0.32,0,0.0,0,0.0,02006
