ward,precinct,total,Leslie A. Hairston,Leslie A. Hairston Percent,precinct_id
5,1,182,182,100.0,05001
5,2,165,165,100.0,05002
5,3,106,106,100.0,05003
5,4,154,154,100.0,05004
5,5,149,149,100.0,05005
5,6,204,204,100.0,05006
5,7,233,233,100.0,05007
5,8,239,239,100.0,05008
5,9,196,196,100.0,05009
5,10,196,196,100.0,05010
5,11,243,243,100.0,05011
5,12,120,120,100.0,05012
5,13,152,152,100.0,05013
5,14,291,291,100.0,05014
5,15,178,178,100.0,05015
5,16,137,137,100.0,05016
5,17,191,191,100.0,05017
5,18,221,221,100.0,05018
5,19,88,88,100.0,05019
5,20,66,66,100.0,05020
5,21,225,225,100.0,05021
5,22,185,185,100.0,05022
5,23,150,150,100.0,05023
5,24,182,182,100.0,05024
5,25,175,175,100.0,05025
5,26,189,189,100.0,05026
5,27,229,229,100.0,05027
5,28,218,218,100.0,05028
5,29,208,208,100.0,05029
5,30,149,149,100.0,05030
5,31,172,172,100.0,05031
5,32,264,264,100.0,05032
5,33,140,140,100.0,05033
5,34,179,179,100.0,05034
5,35,146,146,100.0,05035
5,36,114,114,100.0,05036
5,37,168,168,100.0,05037
5,38,224,224,100.0,05038
5,39,205,205,100.0,05039
5,40,194,194,100.0,05040
5,41,170,170,100.0,05041
5,42,190,190,100.0,05042
5,43,245,245,100.0,05043
5,44,214,214,100.0,05044
5,45,109,109,100.0,05045
5,46,219,219,100.0,05046
5,47,142,142,100.0,05047
5,48,148,148,100.0,05048
5,49,40,40,100.0,05049
5,50,162,162,100.0,05050
5,51,143,143,100.0,05051
5,52,52,52,100.0,05052
5,53,227,227,100.0,05053
5,54,297,297,100.0,05054
5,55,151,151,100.0,05055
