ward,precinct,total,Freddrenna M. Lyle,Freddrenna M. Lyle Percent,Charles G. Morrow III,Charles G. Morrow III Percent,precinct_id
6,1,299,207,69.23,92,30.77,06001
6,2,287,189,65.85,98,34.15,06002
6,3,257,177,68.87,80,31.13,06003
6,4,132,82,62.12,50,37.88,06004
6,5,97,53,54.64,44,45.36,06005
6,6,219,151,68.95,68,31.05,06006
6,7,268,151,56.34,117,43.66,06007
6,8,223,146,65.47,77,34.53,06008
6,9,176,141,80.11,35,19.89,06009
6,10,290,223,76.9,67,23.1,06010
6,11,242,142,58.68,100,41.32,06011
6,12,160,82,51.25,78,48.75,06012
6,13,200,131,65.5,69,34.5,06013
6,14,226,152,67.26,74,32.74,06014
6,15,181,117,64.64,64,35.36,06015
6,16,263,180,68.44,83,31.56,06016
6,17,292,214,73.29,78,26.71,06017
6,18,52,41,78.85,11,21.15,06018
6,19,265,144,54.34,121,45.66,06019
6,20,222,150,67.57,72,32.43,06020
6,21,230,187,81.3,43,18.7,06021
6,22,206,138,66.99,68,33.01,06022
6,23,174,131,75.29,43,24.71,06023
6,24,244,189,77.46,55,22.54,06024
6,25,162,128,79.01,34,20.99,06025
6,26,233,160,68.67,73,31.33,06026
6,27,326,238,73.01,88,26.99,06027
6,28,397,291,73.3,106,26.7,06028
6,29,288,207,71.88,81,28.13,06029
6,30,207,141,68.12,66,31.88,06030
6,31,287,201,70.03,86,29.97,06031
6,32,283,174,61.48,109,38.52,06032
6,33,275,140,50.91,135,49.09,06033
6,34,207,159,76.81,48,23.19,06034
6,35,299,207,69.23,92,30.77,06035
6,36,40,23,57.5,17,42.5,06036
6,37,296,216,72.97,80,27.03,06037
6,38,272,193,70.96,79,29.04,06038
6,39,214,166,77.57,48,22.43,06039
6,40,137,91,66.42,46,33.58,06040
6,41,227,158,69.6,69,30.4,06041
6,42,103,61,59.22,42,40.78,06042
6,43,239,177,74.06,62,25.94,06043
6,44,238,180,75.63,58,24.37,06044
6,45,158,106,67.09,52,32.91,06045
6,46,207,156,75.36,51,24.64,06046
6,47,256,192,75.0,64,25.0,06047
6,48,268,174,64.93,94,35.07,06048
6,49,228,142,62.28,86,37.72,06049
6,50,249,202,81.12,47,18.88,06050
6,51,183,145,79.23,38,20.77,06051
6,52,174,121,69.54,53,30.46,06052
6,53,204,135,66.18,69,33.82,06053
6,54,210,153,72.86,57,27.14,06054
6,55,190,121,63.68,69,36.32,06055
6,56,165,110,66.67,55,33.33,06056
6,57,135,95,70.37,40,29.63,06057
6,58,277,194,70.04,83,29.96,06058
6,59,233,159,68.24,74,31.76,06059
6,60,148,107,72.3,41,27.7,06060
6,61,159,97,61.01,62,38.99,06061
6,62,77,63,81.82,14,18.18,06062
6,63,197,132,67.01,65,32.99,06063
6,64,288,215,74.65,73,25.35,06064
6,65,66,40,60.61,26,39.39,06065
6,66,197,88,44.67,109,55.33,06066
