ward,precinct,total,"John H. Stroger, Jr.","John H. Stroger, Jr. Percent",precinct_id
8,1,238,238,100.0,08001
8,2,138,138,100.0,08002
8,3,292,292,100.0,08003
8,4,219,219,100.0,08004
8,5,276,276,100.0,08005
8,6,253,253,100.0,08006
8,7,163,163,100.0,08007
8,8,278,278,100.0,08008
8,9,265,265,100.0,08009
8,10,298,298,100.0,08010
8,11,200,200,100.0,08011
8,12,192,192,100.0,08012
8,13,168,168,100.0,08013
8,14,153,153,100.0,08014
8,15,200,200,100.0,08015
8,16,242,242,100.0,08016
8,17,186,186,100.0,08017
8,18,121,121,100.0,08018
8,19,256,256,100.0,08019
8,20,181,181,100.0,08020
8,21,162,162,100.0,08021
8,22,174,174,100.0,08022
8,23,212,212,100.0,08023
8,24,235,235,100.0,08024
8,25,211,211,100.0,08025
8,26,150,150,100.0,08026
8,27,241,241,100.0,08027
8,28,190,190,100.0,08028
8,29,234,234,100.0,08029
8,30,162,162,100.0,08030
8,31,135,135,100.0,08031
8,32,337,337,100.0,08032
8,33,216,216,100.0,08033
8,34,226,226,100.0,08034
8,35,264,264,100.0,08035
8,36,196,196,100.0,08036
8,37,238,238,100.0,08037
8,38,211,211,100.0,08038
8,39,256,256,100.0,08039
8,40,206,206,100.0,08040
8,41,204,204,100.0,08041
8,42,217,217,100.0,08042
8,43,183,183,100.0,08043
8,44,163,163,100.0,08044
8,45,165,165,100.0,08045
8,46,183,183,100.0,08046
8,47,237,237,100.0,08047
8,48,177,177,100.0,08048
8,49,253,253,100.0,08049
8,50,214,214,100.0,08050
8,51,270,270,100.0,08051
8,52,229,229,100.0,08052
8,53,272,272,100.0,08053
8,54,212,212,100.0,08054
8,55,220,220,100.0,08055
8,56,233,233,100.0,08056
8,57,203,203,100.0,08057
8,58,253,253,100.0,08058
8,59,127,127,100.0,08059
8,60,176,176,100.0,08060
8,61,160,160,100.0,08061
8,62,208,208,100.0,08062
8,63,258,258,100.0,08063
8,64,185,185,100.0,08064
8,65,150,150,100.0,08065
8,66,269,269,100.0,08066
8,67,93,93,100.0,08067
8,68,133,133,100.0,08068
8,69,132,132,100.0,08069
8,70,258,258,100.0,08070
