ward,precinct,total,Mattie Hunter,Mattie Hunter Percent,precinct_id
2,1,160,160,100.0,02001
2,11,75,75,100.0,02011
2,14,251,251,100.0,02014
2,20,4,4,100.0,02020
2,22,255,255,100.0,02022
2,31,67,67,100.0,02031
2,35,41,41,100.0,02035
2,43,155,155,100.0,02043
2,49,98,98,100.0,02049
2,54,143,143,100.0,02054
2,55,30,30,100.0,02055
2,58,58,58,100.0,02058
2,59,149,149,100.0,02059
3,1,110,110,100.0,03001
3,3,91,91,100.0,03003
3,4,46,46,100.0,03004
3,6,78,78,100.0,03006
3,8,35,35,100.0,03008
3,9,53,53,100.0,03009
3,10,76,76,100.0,03010
3,11,71,71,100.0,03011
3,12,165,165,100.0,03012
3,13,87,87,100.0,03013
3,14,57,57,100.0,03014
3,15,150,150,100.0,03015
3,17,107,107,100.0,03017
3,18,106,106,100.0,03018
3,19,14,14,100.0,03019
3,20,6,6,100.0,03020
3,21,86,86,100.0,03021
3,22,83,83,100.0,03022
3,23,19,19,100.0,03023
3,24,107,107,100.0,03024
3,25,17,17,100.0,03025
3,26,103,103,100.0,03026
3,27,5,5,100.0,03027
3,28,66,66,100.0,03028
3,29,95,95,100.0,03029
3,32,93,93,100.0,03032
3,33,163,163,100.0,03033
3,35,124,124,100.0,03035
3,36,69,69,100.0,03036
3,37,61,61,100.0,03037
3,38,30,30,100.0,03038
3,40,125,125,100.0,03040
3,41,122,122,100.0,03041
3,42,98,98,100.0,03042
3,43,62,62,100.0,03043
3,44,48,48,100.0,03044
3,45,46,46,100.0,03045
3,47,87,87,100.0,03047
3,48,94,94,100.0,03048
3,49,28,28,100.0,03049
3,50,138,138,100.0,03050
3,51,35,35,100.0,03051
3,52,48,48,100.0,03052
3,53,101,101,100.0,03053
3,54,91,91,100.0,03054
3,55,92,92,100.0,03055
3,57,156,156,100.0,03057
3,59,47,47,100.0,03059
3,60,122,122,100.0,03060
3,61,23,23,100.0,03061
3,62,63,63,100.0,03062
3,63,64,64,100.0,03063
4,6,88,88,100.0,04006
11,12,238,238,100.0,11012
11,13,164,164,100.0,11013
11,14,153,153,100.0,11014
11,15,121,121,100.0,11015
11,23,156,156,100.0,11023
11,25,0,0,0.0,11025
11,27,138,138,100.0,11027
11,28,154,154,100.0,11028
11,31,152,152,100.0,11031
11,32,150,150,100.0,11032
11,33,126,126,100.0,11033
11,34,96,96,100.0,11034
11,35,247,247,100.0,11035
11,36,36,36,100.0,11036
11,37,187,187,100.0,11037
11,39,269,269,100.0,11039
11,42,145,145,100.0,11042
11,43,169,169,100.0,11043
11,46,106,106,100.0,11046
