ward,precinct,total,Elizabeth L. Gracie (Dean),Elizabeth L. Gracie (Dean) Percent,Patrice M. Ball-Reed (Edwards),Patrice M. Ball-Reed (Edwards) Percent,Eileen Fein (Clark),Eileen Fein (Clark) Percent,Catherine Randle (Kerry),Catherine Randle (Kerry) Percent,Ethel Triplett (Lieberman),Ethel Triplett (Lieberman) Percent,Tumia Romero (Braun),Tumia Romero (Braun) Percent,precinct_id
1,1,61,8,13.11,6,9.84,7,11.48,32,52.46,0,0.0,8,13.11,01001
1,6,79,15,18.99,6,7.59,8,10.13,42,53.16,3,3.8,5,6.33,01006
1,11,11,2,18.18,1,9.09,3,27.27,5,45.45,0,0.0,0,0.0,01011
1,14,40,7,17.5,3,7.5,0,0.0,20,50.0,0,0.0,10,25.0,01014
2,1,176,28,15.91,20,11.36,6,3.41,108,61.36,7,3.98,7,3.98,02001
2,2,8,1,12.5,1,12.5,0,0.0,4,50.0,0,0.0,2,25.0,02002
2,3,80,13,16.25,9,11.25,5,6.25,43,53.75,2,2.5,8,10.0,02003
2,4,87,14,16.09,12,13.79,6,6.9,43,49.43,2,2.3,10,11.49,02004
2,5,72,7,9.72,12,16.67,5,6.94,31,43.06,6,8.33,11,15.28,02005
2,6,83,11,13.25,8,9.64,0,0.0,63,75.9,1,1.2,0,0.0,02006
2,7,194,18,9.28,26,13.4,6,3.09,113,58.25,7,3.61,24,12.37,02007
2,8,174,16,9.2,16,9.2,1,0.57,126,72.41,6,3.45,9,5.17,02008
2,9,100,21,21.0,15,15.0,3,3.0,46,46.0,6,6.0,9,9.0,02009
2,10,32,2,6.25,8,25.0,0,0.0,17,53.13,1,3.13,4,12.5,02010
2,11,76,10,13.16,5,6.58,1,1.32,53,69.74,3,3.95,4,5.26,02011
2,12,82,8,9.76,6,7.32,2,2.44,59,71.95,1,1.22,6,7.32,02012
2,13,110,18,16.36,8,7.27,5,4.55,59,53.64,6,5.45,14,12.73,02013
2,14,4,0,0.0,1,25.0,0,0.0,3,75.0,0,0.0,0,0.0,02014
2,15,22,2,9.09,3,13.64,1,4.55,10,45.45,0,0.0,6,27.27,02015
2,16,75,16,21.33,9,12.0,4,5.33,41,54.67,2,2.67,3,4.0,02016
2,17,109,17,15.6,8,7.34,2,1.83,65,59.63,4,3.67,13,11.93,02017
2,18,265,20,7.55,33,12.45,10,3.77,182,68.68,5,1.89,15,5.66,02018
2,19,69,17,24.64,16,23.19,2,2.9,29,42.03,2,2.9,3,4.35,02019
2,20,7,2,28.57,0,0.0,0,0.0,4,57.14,0,0.0,1,14.29,02020
2,21,151,30,19.87,14,9.27,5,3.31,84,55.63,7,4.64,11,7.28,02021
2,22,272,19,6.99,28,10.29,6,2.21,183,67.28,13,4.78,23,8.46,02022
2,23,94,15,15.96,21,22.34,0,0.0,43,45.74,7,7.45,8,8.51,02023
2,24,74,20,27.03,9,12.16,2,2.7,38,51.35,1,1.35,4,5.41,02024
2,25,66,5,7.58,5,7.58,5,7.58,45,68.18,1,1.52,5,7.58,02025
2,26,158,27,17.09,13,8.23,5,3.16,91,57.59,10,6.33,12,7.59,02026
2,27,64,14,21.88,7,10.94,8,12.5,25,39.06,2,3.13,8,12.5,02027
2,28,48,2,4.17,7,14.58,2,4.17,33,68.75,1,2.08,3,6.25,02028
2,29,60,6,10.0,7,11.67,0,0.0,37,61.67,6,10.0,4,6.67,02029
2,30,83,20,24.1,12,14.46,3,3.61,32,38.55,5,6.02,11,13.25,02030
2,32,74,18,24.32,8,10.81,4,5.41,30,40.54,2,2.7,12,16.22,02032
2,33,78,7,8.97,5,6.41,1,1.28,53,67.95,5,6.41,7,8.97,02033
2,34,113,31,27.43,17,15.04,11,9.73,43,38.05,4,3.54,7,6.19,02034
2,35,43,10,23.26,4,9.3,0,0.0,23,53.49,1,2.33,5,11.63,02035
2,36,49,17,34.69,7,14.29,3,6.12,15,30.61,2,4.08,5,10.2,02036
2,37,169,14,8.28,15,8.88,7,4.14,117,69.23,6,3.55,10,5.92,02037
2,38,138,24,17.39,18,13.04,7,5.07,63,45.65,8,5.8,18,13.04,02038
2,39,106,13,12.26,9,8.49,2,1.89,59,55.66,4,3.77,19,17.92,02039
2,40,169,30,17.75,23,13.61,8,4.73,88,52.07,5,2.96,15,8.88,02040
2,41,80,13,16.25,8,10.0,3,3.75,36,45.0,8,10.0,12,15.0,02041
2,42,35,6,17.14,5,14.29,1,2.86,18,51.43,1,2.86,4,11.43,02042
2,43,175,20,11.43,22,12.57,6,3.43,109,62.29,6,3.43,12,6.86,02043
2,45,103,22,21.36,10,9.71,5,4.85,50,48.54,4,3.88,12,11.65,02045
2,47,126,21,16.67,19,15.08,12,9.52,54,42.86,5,3.97,15,11.9,02047
2,48,73,8,10.96,7,9.59,1,1.37,40,54.79,7,9.59,10,13.7,02048
2,49,120,17,14.17,8,6.67,5,4.17,79,65.83,7,5.83,4,3.33,02049
2,50,90,17,18.89,6,6.67,1,1.11,44,48.89,5,5.56,17,18.89,02050
2,51,107,15,14.02,12,11.21,4,3.74,55,51.4,9,8.41,12,11.21,02051
2,52,106,19,17.92,19,17.92,2,1.89,44,41.51,8,7.55,14,13.21,02052
2,53,57,12,21.05,8,14.04,3,5.26,29,50.88,2,3.51,3,5.26,02053
2,54,170,19,11.18,11,6.47,4,2.35,117,68.82,4,2.35,15,8.82,02054
2,55,32,4,12.5,1,3.13,3,9.38,22,68.75,1,3.13,1,3.13,02055
2,56,118,16,13.56,11,9.32,8,6.78,59,50.0,6,5.08,18,15.25,02056
2,57,59,20,33.9,2,3.39,5,8.47,22,37.29,4,6.78,6,10.17,02057
2,58,57,8,14.04,10,17.54,1,1.75,31,54.39,1,1.75,6,10.53,02058
2,59,157,13,8.28,23,14.65,5,3.18,109,69.43,4,2.55,3,1.91,02059
3,1,114,23,20.18,18,15.79,4,3.51,51,44.74,9,7.89,9,7.89,03001
3,2,205,30,14.63,31,15.12,9,4.39,112,54.63,7,3.41,16,7.8,03002
3,3,91,7,7.69,11,12.09,4,4.4,61,67.03,3,3.3,5,5.49,03003
3,4,52,7,13.46,11,21.15,1,1.92,22,42.31,3,5.77,8,15.38,03004
3,6,85,15,17.65,11,12.94,3,3.53,38,44.71,3,3.53,15,17.65,03006
3,8,30,7,23.33,7,23.33,2,6.67,10,33.33,3,10.0,1,3.33,03008
3,9,105,21,20.0,14,13.33,7,6.67,49,46.67,2,1.9,12,11.43,03009
3,10,79,9,11.39,14,17.72,5,6.33,43,54.43,0,0.0,8,10.13,03010
3,11,62,7,11.29,9,14.52,1,1.61,38,61.29,2,3.23,5,8.06,03011
3,12,145,21,14.48,22,15.17,6,4.14,72,49.66,4,2.76,20,13.79,03012
3,14,54,10,18.52,7,12.96,3,5.56,26,48.15,3,5.56,5,9.26,03014
3,15,127,16,12.6,21,16.54,3,2.36,70,55.12,4,3.15,13,10.24,03015
3,16,235,23,9.79,21,8.94,4,1.7,157,66.81,4,1.7,26,11.06,03016
3,17,98,16,16.33,16,16.33,8,8.16,48,48.98,2,2.04,8,8.16,03017
3,18,89,14,15.73,10,11.24,4,4.49,47,52.81,2,2.25,12,13.48,03018
3,19,13,3,23.08,1,7.69,2,15.38,7,53.85,0,0.0,0,0.0,03019
3,20,8,1,12.5,1,12.5,1,12.5,4,50.0,0,0.0,1,12.5,03020
3,21,87,11,12.64,15,17.24,5,5.75,43,49.43,0,0.0,13,14.94,03021
3,22,85,12,14.12,12,14.12,3,3.53,50,58.82,1,1.18,7,8.24,03022
3,23,17,2,11.76,2,11.76,0,0.0,7,41.18,3,17.65,3,17.65,03023
3,24,86,22,25.58,5,5.81,2,2.33,41,47.67,4,4.65,12,13.95,03024
3,25,19,6,31.58,1,5.26,1,5.26,7,36.84,2,10.53,2,10.53,03025
3,26,93,7,7.53,6,6.45,1,1.08,66,70.97,3,3.23,10,10.75,03026
3,27,5,2,40.0,1,20.0,0,0.0,2,40.0,0,0.0,0,0.0,03027
3,28,64,14,21.88,14,21.88,4,6.25,20,31.25,2,3.13,10,15.63,03028
3,29,80,11,13.75,11,13.75,4,5.0,45,56.25,4,5.0,5,6.25,03029
3,31,169,29,17.16,18,10.65,5,2.96,94,55.62,4,2.37,19,11.24,03031
3,32,94,12,12.77,8,8.51,1,1.06,59,62.77,1,1.06,13,13.83,03032
3,33,161,31,19.25,18,11.18,5,3.11,91,56.52,2,1.24,14,8.7,03033
3,35,113,15,13.27,8,7.08,6,5.31,65,57.52,5,4.42,14,12.39,03035
3,36,69,9,13.04,7,10.14,5,7.25,28,40.58,6,8.7,14,20.29,03036
3,37,61,11,18.03,11,18.03,2,3.28,25,40.98,0,0.0,12,19.67,03037
3,39,173,25,14.45,15,8.67,4,2.31,112,64.74,7,4.05,10,5.78,03039
3,40,113,14,12.39,12,10.62,5,4.42,66,58.41,2,1.77,14,12.39,03040
3,41,85,13,15.29,12,14.12,2,2.35,50,58.82,1,1.18,7,8.24,03041
3,42,89,16,17.98,8,8.99,3,3.37,48,53.93,4,4.49,10,11.24,03042
3,43,41,3,7.32,1,2.44,1,2.44,33,80.49,0,0.0,3,7.32,03043
3,45,47,14,29.79,9,19.15,1,2.13,19,40.43,1,2.13,3,6.38,03045
3,47,78,11,14.1,5,6.41,4,5.13,49,62.82,3,3.85,6,7.69,03047
3,48,93,8,8.6,20,21.51,4,4.3,48,51.61,1,1.08,12,12.9,03048
3,49,25,5,20.0,2,8.0,0,0.0,12,48.0,2,8.0,4,16.0,03049
3,50,109,8,7.34,14,12.84,5,4.59,72,66.06,3,2.75,7,6.42,03050
3,52,50,7,14.0,2,4.0,2,4.0,31,62.0,1,2.0,7,14.0,03052
3,54,103,8,7.77,11,10.68,3,2.91,72,69.9,2,1.94,7,6.8,03054
3,55,78,15,19.23,13,16.67,3,3.85,40,51.28,2,2.56,5,6.41,03055
3,56,67,7,10.45,9,13.43,4,5.97,41,61.19,2,2.99,4,5.97,03056
3,57,153,15,9.8,18,11.76,8,5.23,82,53.59,9,5.88,21,13.73,03057
3,59,56,15,26.79,6,10.71,3,5.36,28,50.0,2,3.57,2,3.57,03059
3,60,107,21,19.63,10,9.35,8,7.48,54,50.47,3,2.8,11,10.28,03060
3,61,100,15,15.0,9,9.0,5,5.0,59,59.0,2,2.0,10,10.0,03061
3,62,61,6,9.84,17,27.87,2,3.28,24,39.34,2,3.28,10,16.39,03062
3,63,69,8,11.59,11,15.94,0,0.0,46,66.67,1,1.45,3,4.35,03063
4,4,176,20,11.36,25,14.2,12,6.82,83,47.16,10,5.68,26,14.77,04004
4,5,198,32,16.16,26,13.13,5,2.53,103,52.02,8,4.04,24,12.12,04005
4,6,80,5,6.25,5,6.25,1,1.25,51,63.75,4,5.0,14,17.5,04006
4,7,119,9,7.56,14,11.76,1,0.84,74,62.18,5,4.2,16,13.45,04007
4,10,194,23,11.86,14,7.22,5,2.58,116,59.79,6,3.09,30,15.46,04010
4,11,191,21,10.99,24,12.57,9,4.71,109,57.07,6,3.14,22,11.52,04011
4,14,91,19,20.88,11,12.09,5,5.49,36,39.56,4,4.4,16,17.58,04014
4,15,108,14,12.96,7,6.48,4,3.7,66,61.11,5,4.63,12,11.11,04015
4,25,185,10,5.41,27,14.59,5,2.7,116,62.7,5,2.7,22,11.89,04025
4,27,205,24,11.71,23,11.22,7,3.41,117,57.07,4,1.95,30,14.63,04027
4,35,88,12,13.64,11,12.5,4,4.55,40,45.45,2,2.27,19,21.59,04035
4,36,78,13,16.67,12,15.38,2,2.56,44,56.41,1,1.28,6,7.69,04036
4,42,187,17,9.09,20,10.7,5,2.67,122,65.24,3,1.6,20,10.7,04042
4,53,174,16,9.2,16,9.2,6,3.45,107,61.49,7,4.02,22,12.64,04053
11,14,71,12,16.9,10,14.08,3,4.23,40,56.34,2,2.82,4,5.63,11014
11,27,71,7,9.86,4,5.63,7,9.86,41,57.75,4,5.63,8,11.27,11027
11,28,94,19,20.21,9,9.57,7,7.45,54,57.45,1,1.06,4,4.26,11028
11,34,21,5,23.81,4,19.05,2,9.52,7,33.33,0,0.0,3,14.29,11034
11,36,29,3,10.34,5,17.24,2,6.9,11,37.93,2,6.9,6,20.69,11036
11,46,29,5,17.24,4,13.79,3,10.34,16,55.17,0,0.0,1,3.45,11046
12,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12001
12,6,8,1,12.5,1,12.5,0,0.0,6,75.0,0,0.0,0,0.0,12006
12,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12007
12,18,32,2,6.25,4,12.5,1,3.13,20,62.5,1,3.13,4,12.5,12018
16,15,120,17,14.17,24,20.0,4,3.33,55,45.83,4,3.33,16,13.33,16015
16,16,99,16,16.16,18,18.18,8,8.08,39,39.39,10,10.1,8,8.08,16016
16,18,92,15,16.3,16,17.39,5,5.43,42,45.65,4,4.35,10,10.87,16018
16,20,120,22,18.33,22,18.33,9,7.5,48,40.0,4,3.33,15,12.5,16020
16,22,97,13,13.4,20,20.62,0,0.0,48,49.48,4,4.12,12,12.37,16022
16,24,51,6,11.76,4,7.84,4,7.84,26,50.98,3,5.88,8,15.69,16024
16,29,54,11,20.37,12,22.22,4,7.41,21,38.89,1,1.85,5,9.26,16029
16,30,69,7,10.14,13,18.84,3,4.35,30,43.48,3,4.35,13,18.84,16030
16,33,99,10,10.1,23,23.23,4,4.04,47,47.47,4,4.04,11,11.11,16033
20,27,73,12,16.44,11,15.07,0,0.0,36,49.32,8,10.96,6,8.22,20027
20,31,106,22,20.75,12,11.32,3,2.83,57,53.77,4,3.77,8,7.55,20031
