ward,precinct,total,Emma M. Mitts,Emma M. Mitts Percent,precinct_id
37,1,75,75,100.0,37001
37,2,109,109,100.0,37002
37,3,62,62,100.0,37003
37,4,61,61,100.0,37004
37,5,169,169,100.0,37005
37,6,181,181,100.0,37006
37,7,131,131,100.0,37007
37,8,110,110,100.0,37008
37,9,157,157,100.0,37009
37,10,183,183,100.0,37010
37,11,54,54,100.0,37011
37,12,99,99,100.0,37012
37,13,108,108,100.0,37013
37,14,128,128,100.0,37014
37,15,134,134,100.0,37015
37,16,204,204,100.0,37016
37,17,170,170,100.0,37017
37,18,152,152,100.0,37018
37,19,38,38,100.0,37019
37,20,114,114,100.0,37020
37,21,154,154,100.0,37021
37,22,159,159,100.0,37022
37,23,145,145,100.0,37023
37,24,161,161,100.0,37024
37,25,175,175,100.0,37025
37,26,82,82,100.0,37026
37,27,113,113,100.0,37027
37,28,114,114,100.0,37028
37,29,169,169,100.0,37029
37,30,111,111,100.0,37030
37,31,166,166,100.0,37031
37,32,155,155,100.0,37032
37,33,133,133,100.0,37033
37,34,158,158,100.0,37034
37,35,94,94,100.0,37035
37,36,131,131,100.0,37036
37,37,144,144,100.0,37037
37,38,163,163,100.0,37038
37,39,57,57,100.0,37039
37,40,195,195,100.0,37040
37,41,88,88,100.0,37041
37,42,29,29,100.0,37042
37,43,116,116,100.0,37043
37,44,130,130,100.0,37044
37,45,86,86,100.0,37045
37,46,164,164,100.0,37046
37,47,25,25,100.0,37047
37,48,143,143,100.0,37048
37,49,147,147,100.0,37049
37,50,102,102,100.0,37050
37,51,124,124,100.0,37051
37,52,86,86,100.0,37052
37,53,150,150,100.0,37053
37,54,155,155,100.0,37054
37,55,148,148,100.0,37055
37,56,119,119,100.0,37056
37,57,93,93,100.0,37057
37,58,151,151,100.0,37058
