ward,precinct,total,Louis S. Viverito,Louis S. Viverito Percent,precinct_id
13,1,167,167,100.0,13001
13,2,132,132,100.0,13002
13,4,219,219,100.0,13004
13,5,128,128,100.0,13005
13,6,152,152,100.0,13006
13,7,151,151,100.0,13007
13,8,171,171,100.0,13008
13,9,145,145,100.0,13009
13,10,156,156,100.0,13010
13,11,151,151,100.0,13011
13,12,156,156,100.0,13012
13,13,152,152,100.0,13013
13,14,117,117,100.0,13014
13,15,182,182,100.0,13015
13,16,122,122,100.0,13016
13,17,176,176,100.0,13017
13,21,117,117,100.0,13021
13,22,150,150,100.0,13022
13,23,109,109,100.0,13023
13,24,179,179,100.0,13024
13,25,149,149,100.0,13025
13,27,172,172,100.0,13027
13,28,132,132,100.0,13028
13,29,167,167,100.0,13029
13,32,144,144,100.0,13032
13,33,112,112,100.0,13033
13,34,136,136,100.0,13034
13,35,181,181,100.0,13035
13,36,93,93,100.0,13036
13,37,111,111,100.0,13037
13,38,201,201,100.0,13038
13,39,135,135,100.0,13039
13,40,111,111,100.0,13040
13,41,146,146,100.0,13041
13,42,155,155,100.0,13042
13,43,111,111,100.0,13043
13,44,107,107,100.0,13044
13,45,222,222,100.0,13045
13,46,145,145,100.0,13046
13,48,172,172,100.0,13048
13,49,171,171,100.0,13049
13,50,137,137,100.0,13050
13,51,117,117,100.0,13051
13,52,138,138,100.0,13052
13,53,167,167,100.0,13053
13,54,145,145,100.0,13054
23,1,193,193,100.0,23001
23,2,273,273,100.0,23002
23,3,151,151,100.0,23003
23,4,172,172,100.0,23004
23,7,38,38,100.0,23007
23,8,181,181,100.0,23008
23,11,171,171,100.0,23011
23,12,152,152,100.0,23012
23,13,204,204,100.0,23013
23,14,3,3,100.0,23014
23,15,128,128,100.0,23015
23,16,223,223,100.0,23016
23,17,198,198,100.0,23017
23,18,104,104,100.0,23018
23,19,169,169,100.0,23019
23,20,159,159,100.0,23020
23,21,115,115,100.0,23021
23,22,157,157,100.0,23022
23,23,143,143,100.0,23023
23,26,174,174,100.0,23026
23,27,116,116,100.0,23027
23,28,153,153,100.0,23028
23,30,156,156,100.0,23030
23,34,124,124,100.0,23034
23,35,107,107,100.0,23035
23,36,209,209,100.0,23036
23,37,76,76,100.0,23037
23,38,131,131,100.0,23038
23,39,131,131,100.0,23039
23,40,154,154,100.0,23040
23,42,139,139,100.0,23042
23,43,198,198,100.0,23043
23,44,207,207,100.0,23044
23,45,172,172,100.0,23045
23,46,188,188,100.0,23046
23,47,185,185,100.0,23047
23,48,141,141,100.0,23048
23,49,185,185,100.0,23049
23,52,192,192,100.0,23052
23,54,264,264,100.0,23054
23,55,172,172,100.0,23055
23,56,132,132,100.0,23056
