ward,precinct,total,Barack Obama,Barack Obama Percent,Daniel W. Hynes,Daniel W. Hynes Percent,Gery Chico,Gery Chico Percent,Maria Pappas,Maria Pappas Percent,M. Blair Hull,M. Blair Hull Percent,Joyce Washington,Joyce Washington Percent,Nancy Skinner,Nancy Skinner Percent,precinct_id
1,1,160,73,45.63,23,14.38,20,12.5,19,11.88,25,15.63,0,0.0,0,0.0,01001
1,2,158,99,62.66,11,6.96,26,16.46,8,5.06,13,8.23,0,0.0,1,0.63,01002
1,3,119,99,83.19,5,4.2,6,5.04,2,1.68,5,4.2,0,0.0,2,1.68,01003
1,4,157,103,65.61,12,7.64,14,8.92,7,4.46,19,12.1,1,0.64,1,0.64,01004
1,5,136,93,68.38,10,7.35,9,6.62,6,4.41,16,11.76,1,0.74,1,0.74,01005
1,6,118,57,48.31,19,16.1,13,11.02,15,12.71,11,9.32,0,0.0,3,2.54,01006
1,7,171,102,59.65,22,12.87,16,9.36,18,10.53,12,7.02,1,0.58,0,0.0,01007
1,8,160,99,61.88,15,9.38,17,10.63,9,5.63,16,10.0,3,1.88,1,0.63,01008
1,9,160,80,50.0,11,6.88,30,18.75,17,10.63,20,12.5,1,0.63,1,0.63,01009
1,10,115,85,73.91,8,6.96,8,6.96,3,2.61,8,6.96,1,0.87,2,1.74,01010
1,11,163,100,61.35,14,8.59,24,14.72,11,6.75,11,6.75,0,0.0,3,1.84,01011
1,12,128,88,68.75,18,14.06,9,7.03,3,2.34,7,5.47,2,1.56,1,0.78,01012
1,13,163,78,47.85,11,6.75,25,15.34,21,12.88,26,15.95,1,0.61,1,0.61,01013
1,14,211,149,70.62,8,3.79,27,12.8,5,2.37,17,8.06,2,0.95,3,1.42,01014
1,15,104,49,47.12,2,1.92,27,25.96,10,9.62,14,13.46,1,0.96,1,0.96,01015
1,16,112,67,59.82,11,9.82,10,8.93,3,2.68,13,11.61,6,5.36,2,1.79,01016
1,17,164,121,73.78,13,7.93,10,6.1,11,6.71,7,4.27,0,0.0,2,1.22,01017
1,18,123,78,63.41,6,4.88,15,12.2,8,6.5,11,8.94,2,1.63,3,2.44,01018
1,19,166,63,37.95,22,13.25,37,22.29,14,8.43,30,18.07,0,0.0,0,0.0,01019
1,20,159,85,53.46,3,1.89,30,18.87,17,10.69,21,13.21,1,0.63,2,1.26,01020
1,21,162,110,67.9,21,12.96,15,9.26,9,5.56,6,3.7,0,0.0,1,0.62,01021
1,22,134,54,40.3,7,5.22,28,20.9,19,14.18,25,18.66,0,0.0,1,0.75,01022
1,23,161,100,62.11,15,9.32,18,11.18,11,6.83,14,8.7,0,0.0,3,1.86,01023
1,24,250,154,61.6,21,8.4,29,11.6,13,5.2,29,11.6,1,0.4,3,1.2,01024
1,25,121,75,61.98,10,8.26,17,14.05,7,5.79,11,9.09,0,0.0,1,0.83,01025
1,26,142,87,61.27,23,16.2,13,9.15,10,7.04,9,6.34,0,0.0,0,0.0,01026
1,27,134,58,43.28,8,5.97,35,26.12,9,6.72,17,12.69,2,1.49,5,3.73,01027
1,28,167,112,67.07,7,4.19,13,7.78,6,3.59,22,13.17,3,1.8,4,2.4,01028
1,29,130,70,53.85,7,5.38,24,18.46,10,7.69,17,13.08,1,0.77,1,0.77,01029
1,30,210,115,54.76,11,5.24,52,24.76,19,9.05,9,4.29,1,0.48,3,1.43,01030
1,31,88,69,78.41,8,9.09,3,3.41,5,5.68,2,2.27,0,0.0,1,1.14,01031
1,32,126,51,40.48,12,9.52,20,15.87,15,11.9,25,19.84,3,2.38,0,0.0,01032
1,33,155,76,49.03,16,10.32,29,18.71,9,5.81,23,14.84,0,0.0,2,1.29,01033
1,34,91,53,58.24,7,7.69,16,17.58,7,7.69,8,8.79,0,0.0,0,0.0,01034
1,35,66,38,57.58,11,16.67,6,9.09,6,9.09,4,6.06,1,1.52,0,0.0,01035
1,36,149,102,68.46,11,7.38,8,5.37,13,8.72,14,9.4,1,0.67,0,0.0,01036
1,37,153,91,59.48,19,12.42,23,15.03,11,7.19,8,5.23,0,0.0,1,0.65,01037
1,38,81,44,54.32,7,8.64,13,16.05,4,4.94,13,16.05,0,0.0,0,0.0,01038
1,39,194,86,44.33,12,6.19,46,23.71,26,13.4,20,10.31,2,1.03,2,1.03,01039
1,40,56,32,57.14,4,7.14,8,14.29,4,7.14,8,14.29,0,0.0,0,0.0,01040
2,1,218,170,77.98,17,7.8,10,4.59,3,1.38,9,4.13,4,1.83,5,2.29,02001
2,2,9,6,66.67,0,0.0,0,0.0,1,11.11,1,11.11,0,0.0,1,11.11,02002
2,3,119,92,77.31,8,6.72,1,0.84,2,1.68,9,7.56,5,4.2,2,1.68,02003
2,4,150,118,78.67,6,4.0,1,0.67,6,4.0,12,8.0,7,4.67,0,0.0,02004
2,5,102,95,93.14,3,2.94,2,1.96,0,0.0,1,0.98,1,0.98,0,0.0,02005
2,6,101,74,73.27,13,12.87,3,2.97,3,2.97,5,4.95,0,0.0,3,2.97,02006
2,7,268,247,92.16,5,1.87,2,0.75,2,0.75,7,2.61,5,1.87,0,0.0,02007
2,8,223,182,81.61,15,6.73,8,3.59,14,6.28,4,1.79,0,0.0,0,0.0,02008
2,9,134,115,85.82,2,1.49,0,0.0,2,1.49,11,8.21,4,2.99,0,0.0,02009
2,10,56,45,80.36,2,3.57,1,1.79,3,5.36,4,7.14,1,1.79,0,0.0,02010
2,11,119,90,75.63,14,11.76,8,6.72,2,1.68,3,2.52,0,0.0,2,1.68,02011
2,12,110,90,81.82,12,10.91,3,2.73,2,1.82,3,2.73,0,0.0,0,0.0,02012
2,13,158,137,86.71,7,4.43,5,3.16,2,1.27,5,3.16,2,1.27,0,0.0,02013
2,14,325,303,93.23,10,3.08,1,0.31,3,0.92,5,1.54,3,0.92,0,0.0,02014
2,15,39,29,74.36,4,10.26,1,2.56,3,7.69,0,0.0,2,5.13,0,0.0,02015
