ward,precinct,total,Roberto Maldonado,Roberto Maldonado Percent,precinct_id
26,1,59,59,100.0,26001
26,2,64,64,100.0,26002
26,3,53,53,100.0,26003
26,4,68,68,100.0,26004
26,5,128,128,100.0,26005
26,6,56,56,100.0,26006
26,7,55,55,100.0,26007
26,8,69,69,100.0,26008
26,9,54,54,100.0,26009
26,10,56,56,100.0,26010
26,11,75,75,100.0,26011
26,12,48,48,100.0,26012
26,13,89,89,100.0,26013
26,14,71,71,100.0,26014
26,15,49,49,100.0,26015
26,16,51,51,100.0,26016
26,17,34,34,100.0,26017
26,18,60,60,100.0,26018
26,19,120,120,100.0,26019
26,20,113,113,100.0,26020
26,21,83,83,100.0,26021
26,22,44,44,100.0,26022
26,23,57,57,100.0,26023
26,24,70,70,100.0,26024
26,25,49,49,100.0,26025
26,26,59,59,100.0,26026
26,27,52,52,100.0,26027
26,28,75,75,100.0,26028
26,29,78,78,100.0,26029
26,30,74,74,100.0,26030
26,31,76,76,100.0,26031
26,32,72,72,100.0,26032
26,33,20,20,100.0,26033
26,34,71,71,100.0,26034
26,35,71,71,100.0,26035
26,36,54,54,100.0,26036
26,37,33,33,100.0,26037
26,38,51,51,100.0,26038
26,39,72,72,100.0,26039
26,40,34,34,100.0,26040
26,41,59,59,100.0,26041
26,42,41,41,100.0,26042
26,43,82,82,100.0,26043
26,44,58,58,100.0,26044
26,45,66,66,100.0,26045
26,46,75,75,100.0,26046
26,47,58,58,100.0,26047
26,48,104,104,100.0,26048
26,49,65,65,100.0,26049
26,50,42,42,100.0,26050
26,51,88,88,100.0,26051
26,52,37,37,100.0,26052
26,53,61,61,100.0,26053
26,54,57,57,100.0,26054
26,55,59,59,100.0,26055
26,56,58,58,100.0,26056
26,57,47,47,100.0,26057
26,58,73,73,100.0,26058
26,59,124,124,100.0,26059
26,60,55,55,100.0,26060
26,61,40,40,100.0,26061
26,62,89,89,100.0,26062
26,63,25,25,100.0,26063
