ward,precinct,total,Rey Colon,Rey Colon Percent,precinct_id
35,1,156,156,100.0,35001
35,2,106,106,100.0,35002
35,3,80,80,100.0,35003
35,4,153,153,100.0,35004
35,5,152,152,100.0,35005
35,6,105,105,100.0,35006
35,7,174,174,100.0,35007
35,8,147,147,100.0,35008
35,9,140,140,100.0,35009
35,10,141,141,100.0,35010
35,11,128,128,100.0,35011
35,12,185,185,100.0,35012
35,13,76,76,100.0,35013
35,14,143,143,100.0,35014
35,15,124,124,100.0,35015
35,16,135,135,100.0,35016
35,17,151,151,100.0,35017
35,18,173,173,100.0,35018
35,19,133,133,100.0,35019
35,20,120,120,100.0,35020
35,21,152,152,100.0,35021
35,22,58,58,100.0,35022
35,23,110,110,100.0,35023
35,24,89,89,100.0,35024
35,25,147,147,100.0,35025
35,26,148,148,100.0,35026
35,27,194,194,100.0,35027
35,28,174,174,100.0,35028
35,29,175,175,100.0,35029
35,30,214,214,100.0,35030
35,31,174,174,100.0,35031
35,32,100,100,100.0,35032
35,33,125,125,100.0,35033
35,34,155,155,100.0,35034
35,35,107,107,100.0,35035
