ward,precinct,total,Elizabeth M. Wright,Elizabeth M. Wright Percent,Sylvia Y. Jones,Sylvia Y. Jones Percent,"Howard B. Brookins, Jr.","Howard B. Brookins, Jr. Percent",precinct_id
21,1,331,34,10.27,47,14.2,250,75.53,21001
21,2,67,11,16.42,16,23.88,40,59.7,21002
21,3,349,30,8.6,33,9.46,286,81.95,21003
21,4,330,34,10.3,46,13.94,250,75.76,21004
21,5,231,15,6.49,27,11.69,189,81.82,21005
21,6,189,21,11.11,33,17.46,135,71.43,21006
21,7,255,24,9.41,29,11.37,202,79.22,21007
21,8,283,26,9.19,31,10.95,226,79.86,21008
21,9,232,30,12.93,27,11.64,175,75.43,21009
21,10,162,14,8.64,20,12.35,128,79.01,21010
21,11,244,30,12.3,77,31.56,137,56.15,21011
21,12,261,20,7.66,53,20.31,188,72.03,21012
21,13,109,17,15.6,28,25.69,64,58.72,21013
21,14,216,18,8.33,26,12.04,172,79.63,21014
21,15,199,25,12.56,59,29.65,115,57.79,21015
21,16,208,22,10.58,22,10.58,164,78.85,21016
21,17,117,9,7.69,28,23.93,80,68.38,21017
21,18,246,30,12.2,28,11.38,188,76.42,21018
21,19,206,15,7.28,26,12.62,165,80.1,21019
21,20,119,15,12.61,14,11.76,90,75.63,21020
21,21,241,27,11.2,37,15.35,177,73.44,21021
21,22,236,26,11.02,54,22.88,156,66.1,21022
21,23,186,16,8.6,31,16.67,139,74.73,21023
21,24,223,24,10.76,20,8.97,179,80.27,21024
21,25,199,38,19.1,33,16.58,128,64.32,21025
21,26,170,15,8.82,23,13.53,132,77.65,21026
21,27,262,26,9.92,50,19.08,186,70.99,21027
21,28,164,19,11.59,36,21.95,109,66.46,21028
21,29,97,16,16.49,23,23.71,58,59.79,21029
21,30,160,29,18.13,29,18.13,102,63.75,21030
21,31,302,34,11.26,40,13.25,228,75.5,21031
21,32,132,16,12.12,23,17.42,93,70.45,21032
21,33,216,16,7.41,23,10.65,177,81.94,21033
21,34,260,28,10.77,40,15.38,192,73.85,21034
21,35,133,18,13.53,21,15.79,94,70.68,21035
21,36,163,29,17.79,23,14.11,111,68.1,21036
21,37,159,30,18.87,39,24.53,90,56.6,21037
21,38,210,22,10.48,32,15.24,156,74.29,21038
21,39,159,22,13.84,28,17.61,109,68.55,21039
21,40,234,20,8.55,21,8.97,193,82.48,21040
21,41,177,21,11.86,30,16.95,126,71.19,21041
21,42,255,15,5.88,51,20.0,189,74.12,21042
21,43,158,26,16.46,31,19.62,101,63.92,21043
21,44,215,28,13.02,26,12.09,161,74.88,21044
21,45,198,29,14.65,22,11.11,147,74.24,21045
21,46,162,29,17.9,27,16.67,106,65.43,21046
21,47,311,26,8.36,47,15.11,238,76.53,21047
21,48,307,41,13.36,76,24.76,190,61.89,21048
21,49,311,29,9.32,40,12.86,242,77.81,21049
21,50,222,26,11.71,32,14.41,164,73.87,21050
21,51,258,31,12.02,39,15.12,188,72.87,21051
21,52,228,55,24.12,40,17.54,133,58.33,21052
21,53,202,22,10.89,37,18.32,143,70.79,21053
21,54,222,22,9.91,31,13.96,169,76.13,21054
21,55,245,26,10.61,35,14.29,184,75.1,21055
21,56,177,20,11.3,34,19.21,123,69.49,21056
21,57,193,30,15.54,33,17.1,130,67.36,21057
21,58,164,17,10.37,36,21.95,111,67.68,21058
21,59,297,36,12.12,55,18.52,206,69.36,21059
21,60,219,21,9.59,17,7.76,181,82.65,21060
21,61,252,27,10.71,32,12.7,193,76.59,21061
21,62,220,22,10.0,31,14.09,167,75.91,21062
21,63,217,21,9.68,27,12.44,169,77.88,21063
21,64,117,13,11.11,23,19.66,81,69.23,21064
21,65,230,32,13.91,34,14.78,164,71.3,21065
21,66,185,19,10.27,28,15.14,138,74.59,21066
21,67,166,29,17.47,24,14.46,113,68.07,21067
21,68,214,27,12.62,44,20.56,143,66.82,21068
21,69,183,20,10.93,27,14.75,136,74.32,21069
21,70,172,13,7.56,23,13.37,136,79.07,21070
21,71,164,18,10.98,20,12.2,126,76.83,21071
21,72,169,26,15.38,32,18.93,111,65.68,21072
21,73,248,37,14.92,27,10.89,184,74.19,21073
21,74,67,11,16.42,14,20.9,42,62.69,21074
21,75,159,16,10.06,14,8.81,129,81.13,21075
21,76,202,27,13.37,18,8.91,157,77.72,21076
