ward,precinct,total,"Constance A. """"Connie"""" Howard","Constance A. """"Connie"""" Howard Percent",precinct_id
5,12,106,106,100.0,05012
5,20,67,67,100.0,05020
5,50,153,153,100.0,05050
6,1,267,267,100.0,06001
6,2,261,261,100.0,06002
6,3,213,213,100.0,06003
6,8,192,192,100.0,06008
6,9,167,167,100.0,06009
6,10,248,248,100.0,06010
6,13,178,178,100.0,06013
6,14,176,176,100.0,06014
6,16,234,234,100.0,06016
6,17,249,249,100.0,06017
6,21,206,206,100.0,06021
6,22,187,187,100.0,06022
6,23,163,163,100.0,06023
6,24,228,228,100.0,06024
6,25,142,142,100.0,06025
6,26,215,215,100.0,06026
6,27,293,293,100.0,06027
6,28,344,344,100.0,06028
6,29,251,251,100.0,06029
6,31,245,245,100.0,06031
6,34,181,181,100.0,06034
6,35,258,258,100.0,06035
6,37,246,246,100.0,06037
6,38,229,229,100.0,06038
6,39,170,170,100.0,06039
6,41,193,193,100.0,06041
6,43,192,192,100.0,06043
6,44,203,203,100.0,06044
6,45,129,129,100.0,06045
6,46,183,183,100.0,06046
6,47,224,224,100.0,06047
6,50,238,238,100.0,06050
6,51,154,154,100.0,06051
6,52,144,144,100.0,06052
6,53,169,169,100.0,06053
6,54,165,165,100.0,06054
6,55,147,147,100.0,06055
6,56,132,132,100.0,06056
6,57,113,113,100.0,06057
6,58,238,238,100.0,06058
6,59,190,190,100.0,06059
6,60,118,118,100.0,06060
6,62,67,67,100.0,06062
6,63,169,169,100.0,06063
6,64,239,239,100.0,06064
7,36,164,164,100.0,07036
7,37,82,82,100.0,07037
7,43,188,188,100.0,07043
8,18,106,106,100.0,08018
8,32,322,322,100.0,08032
8,34,212,212,100.0,08034
8,37,220,220,100.0,08037
8,39,243,243,100.0,08039
8,43,148,148,100.0,08043
8,45,136,136,100.0,08045
8,47,209,209,100.0,08047
8,56,201,201,100.0,08056
8,59,117,117,100.0,08059
8,66,264,264,100.0,08066
8,67,87,87,100.0,08067
8,68,113,113,100.0,08068
8,69,110,110,100.0,08069
9,8,132,132,100.0,09008
9,25,66,66,100.0,09025
9,36,82,82,100.0,09036
9,37,113,113,100.0,09037
9,49,69,69,100.0,09049
9,54,164,164,100.0,09054
9,55,51,51,100.0,09055
9,56,124,124,100.0,09056
9,57,100,100,100.0,09057
9,58,143,143,100.0,09058
10,2,98,98,100.0,10002
10,3,2,2,100.0,10003
10,5,110,110,100.0,10005
10,15,50,50,100.0,10015
10,16,1,1,100.0,10016
10,17,82,82,100.0,10017
10,21,80,80,100.0,10021
10,22,36,36,100.0,10022
10,42,1,1,100.0,10042
21,23,149,149,100.0,21023
21,25,151,151,100.0,21025
21,26,134,134,100.0,21026
21,43,130,130,100.0,21043
21,46,131,131,100.0,21046
21,48,253,253,100.0,21048
21,53,12,12,100.0,21053
21,55,186,186,100.0,21055
