ward,precinct,total,"Harold """"Noonie"""" Ward","Harold """"Noonie"""" Ward Percent",Sheryl E. Tillman,Sheryl E. Tillman Percent,precinct_id
9,3,161,74,45.96,41,25.47,09003
9,7,218,33,15.14,64,29.36,09007
9,11,130,63,48.46,20,15.38,09011
9,15,103,29,28.16,27,26.21,09015
9,16,224,18,8.04,80,35.71,09016
9,24,131,70,53.44,26,19.85,09024
9,26,154,36,23.38,36,23.38,09026
9,28,133,12,9.02,32,24.06,09028
9,33,159,41,25.79,22,13.84,09033
9,41,306,31,10.13,107,34.97,09041
9,42,156,95,60.9,30,19.23,09042
9,44,164,14,8.54,61,37.2,09044
9,47,139,40,28.78,25,17.99,09047
9,50,92,11,11.96,25,27.17,09050
