ward,precinct,total,"William """"Will"""" Davis","William """"Will"""" Davis Percent",precinct_id
9,4,190,190,100.0,09004
9,6,186,186,100.0,09006
9,18,140,140,100.0,09018
9,19,234,234,100.0,09019
9,30,147,147,100.0,09030
9,39,175,175,100.0,09039
9,45,167,167,100.0,09045
9,53,103,103,100.0,09053
34,3,0,0,0.0,34003
34,6,115,115,100.0,34006
34,35,234,234,100.0,34035
34,65,51,51,100.0,34065
