ward,precinct,total,Patricia A. Bailey,Patricia A. Bailey Percent,Aaron Patterson,Aaron Patterson Percent,Jerry Washington,Jerry Washington Percent,precinct_id
3,10,92,60,65.22,14,15.22,18,19.57,03010
3,12,187,116,62.03,20,10.7,51,27.27,03012
3,13,112,82,73.21,22,19.64,8,7.14,03013
3,21,102,70,68.63,12,11.76,20,19.61,03021
3,36,0,0,0.0,0,0.0,0,0.0,03036
3,44,69,46,66.67,11,15.94,12,17.39,03044
3,48,135,83,61.48,22,16.3,30,22.22,03048
3,50,151,93,61.59,22,14.57,36,23.84,03050
3,51,47,43,91.49,2,4.26,2,4.26,03051
3,52,66,46,69.7,8,12.12,12,18.18,03052
3,55,111,73,65.77,14,12.61,24,21.62,03055
11,12,276,250,90.58,18,6.52,8,2.9,11012
11,13,184,158,85.87,17,9.24,9,4.89,11013
11,15,146,131,89.73,13,8.9,2,1.37,11015
11,23,167,157,94.01,9,5.39,1,0.6,11023
11,25,0,0,0.0,0,0.0,0,0.0,11025
11,27,182,156,85.71,16,8.79,10,5.49,11027
11,28,185,172,92.97,7,3.78,6,3.24,11028
11,31,180,167,92.78,8,4.44,5,2.78,11031
11,32,171,162,94.74,6,3.51,3,1.75,11032
11,33,140,127,90.71,8,5.71,5,3.57,11033
11,34,122,104,85.25,7,5.74,11,9.02,11034
11,35,274,257,93.8,8,2.92,9,3.28,11035
11,36,7,6,85.71,0,0.0,1,14.29,11036
11,37,202,191,94.55,7,3.47,4,1.98,11037
11,39,305,268,87.87,22,7.21,15,4.92,11039
11,42,155,140,90.32,8,5.16,7,4.52,11042
11,43,188,158,84.04,13,6.91,17,9.04,11043
11,46,149,139,93.29,4,2.68,6,4.03,11046
11,48,80,77,96.25,3,3.75,0,0.0,11048
11,49,197,182,92.39,10,5.08,5,2.54,11049
12,9,5,4,80.0,0,0.0,1,20.0,12009
12,16,39,30,76.92,3,7.69,6,15.38,12016
15,2,139,83,59.71,21,15.11,35,25.18,15002
15,3,138,79,57.25,27,19.57,32,23.19,15003
15,4,115,64,55.65,27,23.48,24,20.87,15004
15,5,125,85,68.0,22,17.6,18,14.4,15005
15,17,132,75,56.82,32,24.24,25,18.94,15017
15,18,119,65,54.62,16,13.45,38,31.93,15018
15,19,142,94,66.2,23,16.2,25,17.61,15019
15,20,141,80,56.74,27,19.15,34,24.11,15020
15,22,150,103,68.67,22,14.67,25,16.67,15022
15,23,113,62,54.87,30,26.55,21,18.58,15023
15,24,116,73,62.93,19,16.38,24,20.69,15024
15,26,129,81,62.79,18,13.95,30,23.26,15026
15,29,55,28,50.91,12,21.82,15,27.27,15029
15,30,153,80,52.29,38,24.84,35,22.88,15030
