ward,precinct,total,Ralph C. Capparelli,Ralph C. Capparelli Percent,precinct_id
41,1,76,76,100.0,41001
41,2,181,181,100.0,41002
41,3,77,77,100.0,41003
41,4,108,108,100.0,41004
41,5,139,139,100.0,41005
41,6,113,113,100.0,41006
41,7,166,166,100.0,41007
41,8,125,125,100.0,41008
41,9,107,107,100.0,41009
41,10,117,117,100.0,41010
41,11,80,80,100.0,41011
41,12,134,134,100.0,41012
41,13,90,90,100.0,41013
41,14,174,174,100.0,41014
41,15,77,77,100.0,41015
41,16,134,134,100.0,41016
41,17,132,132,100.0,41017
41,18,74,74,100.0,41018
41,19,99,99,100.0,41019
41,20,160,160,100.0,41020
41,21,123,123,100.0,41021
41,22,113,113,100.0,41022
41,23,128,128,100.0,41023
41,24,77,77,100.0,41024
41,25,39,39,100.0,41025
41,26,79,79,100.0,41026
41,27,44,44,100.0,41027
41,28,68,68,100.0,41028
41,29,33,33,100.0,41029
41,30,102,102,100.0,41030
41,31,131,131,100.0,41031
41,32,88,88,100.0,41032
41,33,87,87,100.0,41033
41,34,83,83,100.0,41034
41,35,112,112,100.0,41035
41,36,122,122,100.0,41036
41,37,125,125,100.0,41037
41,38,68,68,100.0,41038
41,39,65,65,100.0,41039
41,40,113,113,100.0,41040
41,41,100,100,100.0,41041
41,42,86,86,100.0,41042
41,43,86,86,100.0,41043
41,44,99,99,100.0,41044
41,45,100,100,100.0,41045
41,46,105,105,100.0,41046
41,47,133,133,100.0,41047
41,48,62,62,100.0,41048
41,49,102,102,100.0,41049
41,50,121,121,100.0,41050
41,51,86,86,100.0,41051
41,52,133,133,100.0,41052
41,53,114,114,100.0,41053
41,54,119,119,100.0,41054
41,55,75,75,100.0,41055
41,56,126,126,100.0,41056
41,57,100,100,100.0,41057
41,58,71,71,100.0,41058
41,59,117,117,100.0,41059
41,60,85,85,100.0,41060
41,61,149,149,100.0,41061
41,62,100,100,100.0,41062
41,63,117,117,100.0,41063
41,64,138,138,100.0,41064
41,65,160,160,100.0,41065
41,66,124,124,100.0,41066
41,67,102,102,100.0,41067
41,68,113,113,100.0,41068
41,69,192,192,100.0,41069
41,70,99,99,100.0,41070
41,71,72,72,100.0,41071
