ward,precinct,total,Gene Schulter,Gene Schulter Percent,precinct_id
47,1,184,184,100.0,47001
47,2,152,152,100.0,47002
47,3,116,116,100.0,47003
47,4,216,216,100.0,47004
47,5,141,141,100.0,47005
47,6,246,246,100.0,47006
47,7,152,152,100.0,47007
47,8,242,242,100.0,47008
47,9,118,118,100.0,47009
47,10,140,140,100.0,47010
47,11,307,307,100.0,47011
47,12,164,164,100.0,47012
47,13,244,244,100.0,47013
47,14,120,120,100.0,47014
47,15,169,169,100.0,47015
47,16,151,151,100.0,47016
47,17,165,165,100.0,47017
47,18,182,182,100.0,47018
47,19,262,262,100.0,47019
47,20,173,173,100.0,47020
47,21,195,195,100.0,47021
47,22,182,182,100.0,47022
47,23,79,79,100.0,47023
47,24,129,129,100.0,47024
47,25,205,205,100.0,47025
47,26,227,227,100.0,47026
47,27,138,138,100.0,47027
47,28,260,260,100.0,47028
47,29,144,144,100.0,47029
47,30,193,193,100.0,47030
47,31,145,145,100.0,47031
47,32,186,186,100.0,47032
47,33,172,172,100.0,47033
47,34,210,210,100.0,47034
47,35,216,216,100.0,47035
47,36,247,247,100.0,47036
47,37,220,220,100.0,47037
47,38,199,199,100.0,47038
47,39,165,165,100.0,47039
47,40,149,149,100.0,47040
47,41,295,295,100.0,47041
47,42,128,128,100.0,47042
47,43,100,100,100.0,47043
47,44,174,174,100.0,47044
47,45,147,147,100.0,47045
47,46,106,106,100.0,47046
47,47,169,169,100.0,47047
47,48,49,49,100.0,47048
47,49,125,125,100.0,47049
47,50,105,105,100.0,47050
47,51,100,100,100.0,47051
