ward,precinct,total,Sara Feigenholtz,Sara Feigenholtz Percent,precinct_id
42,8,157,157,100.0,42008
42,10,61,61,100.0,42010
42,15,113,113,100.0,42015
42,16,53,53,100.0,42016
42,26,91,91,100.0,42026
42,28,123,123,100.0,42028
42,30,57,57,100.0,42030
42,33,175,175,100.0,42033
42,34,114,114,100.0,42034
42,36,82,82,100.0,42036
43,4,101,101,100.0,43004
43,8,121,121,100.0,43008
43,12,174,174,100.0,43012
43,14,117,117,100.0,43014
43,16,102,102,100.0,43016
43,17,57,57,100.0,43017
43,18,123,123,100.0,43018
43,19,91,91,100.0,43019
43,23,77,77,100.0,43023
43,24,86,86,100.0,43024
43,25,92,92,100.0,43025
43,26,84,84,100.0,43026
43,27,103,103,100.0,43027
43,32,103,103,100.0,43032
43,33,66,66,100.0,43033
43,34,61,61,100.0,43034
43,36,90,90,100.0,43036
43,37,78,78,100.0,43037
43,38,92,92,100.0,43038
43,42,99,99,100.0,43042
43,43,90,90,100.0,43043
43,44,99,99,100.0,43044
43,45,33,33,100.0,43045
43,46,113,113,100.0,43046
43,48,112,112,100.0,43048
43,49,62,62,100.0,43049
43,52,96,96,100.0,43052
43,53,125,125,100.0,43053
43,58,153,153,100.0,43058
43,59,127,127,100.0,43059
43,64,67,67,100.0,43064
43,65,43,43,100.0,43065
43,67,58,58,100.0,43067
44,1,139,139,100.0,44001
44,2,128,128,100.0,44002
44,3,195,195,100.0,44003
44,4,185,185,100.0,44004
44,5,179,179,100.0,44005
44,6,115,115,100.0,44006
44,7,145,145,100.0,44007
44,8,54,54,100.0,44008
44,10,80,80,100.0,44010
44,12,83,83,100.0,44012
44,14,116,116,100.0,44014
44,15,184,184,100.0,44015
44,17,157,157,100.0,44017
44,18,88,88,100.0,44018
44,19,97,97,100.0,44019
44,20,105,105,100.0,44020
44,21,153,153,100.0,44021
44,22,179,179,100.0,44022
44,23,132,132,100.0,44023
44,24,102,102,100.0,44024
44,26,111,111,100.0,44026
44,28,80,80,100.0,44028
44,29,108,108,100.0,44029
44,30,132,132,100.0,44030
44,31,130,130,100.0,44031
44,32,97,97,100.0,44032
44,33,203,203,100.0,44033
44,34,105,105,100.0,44034
44,35,110,110,100.0,44035
44,36,123,123,100.0,44036
44,37,207,207,100.0,44037
44,38,120,120,100.0,44038
44,39,98,98,100.0,44039
44,41,117,117,100.0,44041
44,42,146,146,100.0,44042
44,44,184,184,100.0,44044
44,45,158,158,100.0,44045
44,46,99,99,100.0,44046
44,48,107,107,100.0,44048
44,49,263,263,100.0,44049
44,50,122,122,100.0,44050
46,1,290,290,100.0,46001
46,3,204,204,100.0,46003
46,5,156,156,100.0,46005
46,10,91,91,100.0,46010
46,13,195,195,100.0,46013
46,15,177,177,100.0,46015
46,17,252,252,100.0,46017
46,18,184,184,100.0,46018
46,24,124,124,100.0,46024
46,28,150,150,100.0,46028
46,29,158,158,100.0,46029
46,30,170,170,100.0,46030
46,31,151,151,100.0,46031
46,33,150,150,100.0,46033
46,36,177,177,100.0,46036
46,37,86,86,100.0,46037
46,43,105,105,100.0,46043
