ward,precinct,total,Edward J. Acevedo,Edward J. Acevedo Percent,precinct_id
11,1,170,170,100.0,11001
11,2,144,144,100.0,11002
11,4,191,191,100.0,11004
11,5,98,98,100.0,11005
11,6,213,213,100.0,11006
11,7,179,179,100.0,11007
11,8,170,170,100.0,11008
11,9,183,183,100.0,11009
11,10,136,136,100.0,11010
11,11,183,183,100.0,11011
11,16,181,181,100.0,11016
11,17,189,189,100.0,11017
11,18,91,91,100.0,11018
11,19,135,135,100.0,11019
11,20,161,161,100.0,11020
11,21,202,202,100.0,11021
11,22,156,156,100.0,11022
11,24,375,375,100.0,11024
11,25,69,69,100.0,11025
11,26,205,205,100.0,11026
11,29,228,228,100.0,11029
11,30,159,159,100.0,11030
11,38,276,276,100.0,11038
11,40,117,117,100.0,11040
11,41,114,114,100.0,11041
11,44,163,163,100.0,11044
11,45,75,75,100.0,11045
11,47,162,162,100.0,11047
11,50,131,131,100.0,11050
12,1,52,52,100.0,12001
12,7,41,41,100.0,12007
12,8,105,105,100.0,12008
12,9,8,8,100.0,12009
12,14,45,45,100.0,12014
12,15,72,72,100.0,12015
12,16,28,28,100.0,12016
12,18,78,78,100.0,12018
12,22,72,72,100.0,12022
22,1,60,60,100.0,22001
22,29,51,51,100.0,22029
24,57,94,94,100.0,24057
25,1,132,132,100.0,25001
25,2,143,143,100.0,25002
25,5,130,130,100.0,25005
25,7,130,130,100.0,25007
25,8,143,143,100.0,25008
25,9,164,164,100.0,25009
25,11,110,110,100.0,25011
25,13,162,162,100.0,25013
25,15,125,125,100.0,25015
25,17,130,130,100.0,25017
25,19,137,137,100.0,25019
25,20,195,195,100.0,25020
25,22,56,56,100.0,25022
25,23,172,172,100.0,25023
25,24,166,166,100.0,25024
25,30,140,140,100.0,25030
28,29,64,64,100.0,28029
28,38,39,39,100.0,28038
28,69,1,1,100.0,28069
