ward,precinct,total,Antonio (Tony) Munoz,Antonio (Tony) Munoz Percent,precinct_id
12,1,56,56,100.0,12001
12,2,65,65,100.0,12002
12,3,84,84,100.0,12003
12,4,89,89,100.0,12004
12,5,85,85,100.0,12005
12,6,52,52,100.0,12006
12,7,42,42,100.0,12007
12,8,144,144,100.0,12008
12,9,70,70,100.0,12009
12,10,59,59,100.0,12010
12,11,95,95,100.0,12011
12,12,50,50,100.0,12012
12,13,54,54,100.0,12013
12,14,47,47,100.0,12014
12,15,78,78,100.0,12015
12,16,75,75,100.0,12016
12,17,62,62,100.0,12017
12,18,74,74,100.0,12018
12,19,75,75,100.0,12019
12,20,92,92,100.0,12020
12,21,91,91,100.0,12021
12,22,76,76,100.0,12022
12,23,65,65,100.0,12023
12,24,123,123,100.0,12024
12,25,69,69,100.0,12025
12,26,79,79,100.0,12026
12,27,42,42,100.0,12027
12,28,85,85,100.0,12028
12,29,97,97,100.0,12029
