ward,precinct,total,Dawn Doering-Suter (Kucinich),Dawn Doering-Suter (Kucinich) Percent,Amy V. Przybylo (Dean),Amy V. Przybylo (Dean) Percent,Alicia Renee Pardo (Edwards),Alicia Renee Pardo (Edwards) Percent,Jennifer A. Kuhn (Clark),Jennifer A. Kuhn (Clark) Percent,Amy Galibois (Kerry),Amy Galibois (Kerry) Percent,Deborah Rosenberg Alexander (Lieb),Deborah Rosenberg Alexander (Lieb) Percent,Beatrice Turner (Braun),Beatrice Turner (Braun) Percent,precinct_id
41,53,115,7,6.09,15,13.04,11,9.57,5,4.35,66,57.39,7,6.09,4,3.48,41053
41,55,86,5,5.81,10,11.63,10,11.63,8,9.3,47,54.65,2,2.33,4,4.65,41055
41,56,122,7,5.74,6,4.92,16,13.11,5,4.1,85,69.67,2,1.64,1,0.82,41056
41,58,77,4,5.19,7,9.09,16,20.78,8,10.39,39,50.65,3,3.9,0,0.0,41058
41,60,86,2,2.33,21,24.42,4,4.65,5,5.81,48,55.81,6,6.98,0,0.0,41060
41,61,152,7,4.61,25,16.45,17,11.18,10,6.58,88,57.89,3,1.97,2,1.32,41061
41,63,106,3,2.83,24,22.64,15,14.15,8,7.55,46,43.4,8,7.55,2,1.89,41063
41,64,123,7,5.69,14,11.38,16,13.01,3,2.44,74,60.16,6,4.88,3,2.44,41064
44,3,172,5,2.91,9,5.23,6,3.49,7,4.07,123,71.51,21,12.21,1,0.58,44003
44,4,151,8,5.3,10,6.62,6,3.97,4,2.65,96,63.58,26,17.22,1,0.66,44004
44,7,146,3,2.05,10,6.85,11,7.53,3,2.05,104,71.23,14,9.59,1,0.68,44007
44,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,44018
44,35,103,7,6.8,6,5.83,6,5.83,10,9.71,64,62.14,7,6.8,3,2.91,44035
44,48,106,10,9.43,5,4.72,7,6.6,5,4.72,72,67.92,7,6.6,0,0.0,44048
44,49,274,8,2.92,19,6.93,18,6.57,12,4.38,194,70.8,18,6.57,5,1.82,44049
46,1,275,12,4.36,17,6.18,21,7.64,12,4.36,177,64.36,26,9.45,10,3.64,46001
46,2,168,18,10.71,22,13.1,9,5.36,6,3.57,96,57.14,6,3.57,11,6.55,46002
46,4,132,16,12.12,10,7.58,11,8.33,8,6.06,63,47.73,14,10.61,10,7.58,46004
46,6,123,19,15.45,11,8.94,12,9.76,8,6.5,54,43.9,3,2.44,16,13.01,46006
46,7,200,11,5.5,16,8.0,11,5.5,5,2.5,143,71.5,6,3.0,8,4.0,46007
46,8,161,12,7.45,10,6.21,9,5.59,10,6.21,87,54.04,6,3.73,27,16.77,46008
46,9,154,6,3.9,11,7.14,20,12.99,9,5.84,91,59.09,4,2.6,13,8.44,46009
46,10,98,9,9.18,10,10.2,13,13.27,2,2.04,55,56.12,2,2.04,7,7.14,46010
46,11,199,11,5.53,20,10.05,10,5.03,3,1.51,130,65.33,11,5.53,14,7.04,46011
46,12,135,14,10.37,13,9.63,11,8.15,12,8.89,73,54.07,0,0.0,12,8.89,46012
46,14,127,22,17.32,17,13.39,7,5.51,3,2.36,74,58.27,0,0.0,4,3.15,46014
46,15,183,5,2.73,13,7.1,15,8.2,10,5.46,125,68.31,10,5.46,5,2.73,46015
