ward,precinct,total,Bernard L. Stone,Bernard L. Stone Percent,precinct_id
50,1,218,218,100.0,50001
50,2,173,173,100.0,50002
50,3,148,148,100.0,50003
50,4,132,132,100.0,50004
50,5,162,162,100.0,50005
50,6,128,128,100.0,50006
50,7,157,157,100.0,50007
50,8,123,123,100.0,50008
50,9,109,109,100.0,50009
50,10,134,134,100.0,50010
50,11,137,137,100.0,50011
50,12,171,171,100.0,50012
50,13,149,149,100.0,50013
50,14,113,113,100.0,50014
50,15,147,147,100.0,50015
50,16,120,120,100.0,50016
50,17,124,124,100.0,50017
50,18,128,128,100.0,50018
50,19,104,104,100.0,50019
50,20,97,97,100.0,50020
50,21,140,140,100.0,50021
50,22,120,120,100.0,50022
50,23,67,67,100.0,50023
50,24,144,144,100.0,50024
50,25,144,144,100.0,50025
50,26,104,104,100.0,50026
50,27,75,75,100.0,50027
50,28,157,157,100.0,50028
50,29,135,135,100.0,50029
50,30,134,134,100.0,50030
50,31,89,89,100.0,50031
50,32,72,72,100.0,50032
50,33,84,84,100.0,50033
50,34,136,136,100.0,50034
50,35,153,153,100.0,50035
50,36,124,124,100.0,50036
50,37,124,124,100.0,50037
50,38,141,141,100.0,50038
50,39,162,162,100.0,50039
50,40,157,157,100.0,50040
50,41,193,193,100.0,50041
50,42,150,150,100.0,50042
50,43,113,113,100.0,50043
50,44,143,143,100.0,50044
50,45,84,84,100.0,50045
