ward,precinct,total,Brandon Sizelove,Brandon Sizelove Percent,precinct_id
3,29,0,0,0.0,03029
11,1,0,0,0.0,11001
11,4,3,3,100.0,11004
11,5,2,2,100.0,11005
11,8,2,2,100.0,11008
11,9,0,0,0.0,11009
11,10,0,0,0.0,11010
11,11,0,0,0.0,11011
11,12,0,0,0.0,11012
11,13,0,0,0.0,11013
11,14,1,1,100.0,11014
11,15,0,0,0.0,11015
11,16,0,0,0.0,11016
11,17,0,0,0.0,11017
11,18,2,2,100.0,11018
11,19,2,2,100.0,11019
11,20,1,1,100.0,11020
11,21,0,0,0.0,11021
11,22,1,1,100.0,11022
11,23,0,0,0.0,11023
11,24,0,0,0.0,11024
11,25,0,0,0.0,11025
11,26,0,0,0.0,11026
11,27,0,0,0.0,11027
11,28,5,5,100.0,11028
11,29,3,3,100.0,11029
11,30,2,2,100.0,11030
11,31,0,0,0.0,11031
11,32,0,0,0.0,11032
11,34,1,1,100.0,11034
11,35,0,0,0.0,11035
11,36,0,0,0.0,11036
12,19,1,1,100.0,12019
12,23,0,0,0.0,12023
13,1,2,2,100.0,13001
13,2,1,1,100.0,13002
13,4,0,0,0.0,13004
13,5,0,0,0.0,13005
13,6,1,1,100.0,13006
13,7,0,0,0.0,13007
13,8,0,0,0.0,13008
13,9,0,0,0.0,13009
13,10,0,0,0.0,13010
13,11,0,0,0.0,13011
13,12,0,0,0.0,13012
13,13,0,0,0.0,13013
13,14,0,0,0.0,13014
13,16,0,0,0.0,13016
13,17,0,0,0.0,13017
13,18,0,0,0.0,13018
13,19,0,0,0.0,13019
13,20,0,0,0.0,13020
13,21,1,1,100.0,13021
13,22,2,2,100.0,13022
13,23,0,0,0.0,13023
13,24,0,0,0.0,13024
13,25,0,0,0.0,13025
13,26,2,2,100.0,13026
13,27,0,0,0.0,13027
13,29,0,0,0.0,13029
13,30,0,0,0.0,13030
13,31,0,0,0.0,13031
13,32,0,0,0.0,13032
13,33,1,1,100.0,13033
13,35,0,0,0.0,13035
13,36,0,0,0.0,13036
13,37,1,1,100.0,13037
13,38,0,0,0.0,13038
13,39,0,0,0.0,13039
13,40,1,1,100.0,13040
13,41,1,1,100.0,13041
13,42,0,0,0.0,13042
13,43,0,0,0.0,13043
