ward,precinct,total,Michael P. Shannon,Michael P. Shannon Percent,Simon M. Ribeiro,Simon M. Ribeiro Percent,precinct_id
40,3,2,1,50.0,1,50.0,40003
40,4,8,7,87.5,1,12.5,40004
40,7,4,2,50.0,2,50.0,40007
40,8,7,7,,0,,40008
40,9,8,7,87.5,1,12.5,40009
40,11,4,2,50.0,2,50.0,40011
40,12,7,5,71.43,2,28.57,40012
40,13,5,4,80.0,1,20.0,40013
40,16,8,7,87.5,1,12.5,40016
40,18,5,5,,0,,40018
40,26,8,5,62.5,3,37.5,40026
40,27,2,1,50.0,1,50.0,40027
40,28,13,9,69.23,4,30.77,40028
40,33,5,5,,0,,40033
40,35,13,7,53.85,6,46.15,40035
40,37,6,5,83.33,1,16.67,40037
40,39,14,10,71.43,4,28.57,40039
40,41,8,7,87.5,1,12.5,40041
40,42,14,12,85.71,2,14.29,40042
40,43,3,2,66.67,1,33.33,40043
40,46,18,16,88.89,2,11.11,40046
40,47,8,8,,0,,40047
41,1,40,34,85.0,6,15.0,41001
41,2,36,33,91.67,3,8.33,41002
41,4,39,33,84.62,6,15.38,41004
41,5,43,36,83.72,7,16.28,41005
41,7,48,35,72.92,13,27.08,41007
41,8,49,38,77.55,11,22.45,41008
41,11,51,47,92.16,4,7.84,41011
41,13,21,19,90.48,2,9.52,41013
41,15,41,38,92.68,3,7.32,41015
41,17,55,47,85.45,8,14.55,41017
41,18,54,47,87.04,7,12.96,41018
41,20,67,60,89.55,7,10.45,41020
41,25,14,12,85.71,2,14.29,41025
41,26,20,16,80.0,4,20.0,41026
41,27,9,8,88.89,1,11.11,41027
41,28,33,28,84.85,5,15.15,41028
41,29,20,18,90.0,2,10.0,41029
41,31,53,46,86.79,7,13.21,41031
41,32,33,27,81.82,6,18.18,41032
41,33,40,36,90.0,4,10.0,41033
41,34,47,42,89.36,5,10.64,41034
41,36,44,40,90.91,4,9.09,41036
41,37,71,65,91.55,6,8.45,41037
41,40,48,36,75.0,12,25.0,41040
41,41,43,35,81.4,8,18.6,41041
41,42,37,34,91.89,3,8.11,41042
41,43,47,39,82.98,8,17.02,41043
41,45,32,28,87.5,4,12.5,41045
41,48,19,19,,0,,41048
41,49,55,49,89.09,6,10.91,41049
41,52,50,46,92.0,4,8.0,41052
41,55,62,58,93.55,4,6.45,41055
41,56,44,41,93.18,3,6.82,41056
44,3,24,19,79.17,5,20.83,44003
44,4,24,20,83.33,4,16.67,44004
44,7,25,19,76.0,6,24.0,44007
44,35,19,17,89.47,2,10.53,44035
44,48,8,8,,0,,44048
