ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
36,5,14,14,100.0,36005
36,7,16,16,100.0,36007
36,8,22,22,100.0,36008
36,9,19,19,100.0,36009
36,10,6,6,100.0,36010
36,11,20,20,100.0,36011
36,12,20,20,100.0,36012
36,13,12,12,100.0,36013
36,14,12,12,100.0,36014
36,15,17,17,100.0,36015
36,17,13,13,100.0,36017
36,18,20,20,100.0,36018
36,19,14,14,100.0,36019
36,20,18,18,100.0,36020
36,21,48,48,100.0,36021
36,25,10,10,100.0,36025
36,27,9,9,100.0,36027
36,28,15,15,100.0,36028
36,29,13,13,100.0,36029
36,30,24,24,100.0,36030
36,31,16,16,100.0,36031
36,32,11,11,100.0,36032
36,34,15,15,100.0,36034
36,35,11,11,100.0,36035
36,37,11,11,100.0,36037
36,38,11,11,100.0,36038
36,39,20,20,100.0,36039
36,40,17,17,100.0,36040
36,42,10,10,100.0,36042
36,46,20,20,100.0,36046
36,47,10,10,100.0,36047
36,48,19,19,100.0,36048
36,49,30,30,100.0,36049
36,50,8,8,100.0,36050
36,52,14,14,100.0,36052
38,3,18,18,100.0,38003
38,38,28,28,100.0,38038
41,1,50,50,100.0,41001
41,2,39,39,100.0,41002
41,3,37,37,100.0,41003
41,4,42,42,100.0,41004
41,5,58,58,100.0,41005
41,7,53,53,100.0,41007
41,8,59,59,100.0,41008
41,9,35,35,100.0,41009
41,11,59,59,100.0,41011
41,12,38,38,100.0,41012
41,15,45,45,100.0,41015
41,16,55,55,100.0,41016
41,17,55,55,100.0,41017
41,18,62,62,100.0,41018
41,20,74,74,100.0,41020
41,21,51,51,100.0,41021
41,22,46,46,100.0,41022
41,24,31,31,100.0,41024
41,30,49,49,100.0,41030
41,31,58,58,100.0,41031
41,33,49,49,100.0,41033
41,34,52,52,100.0,41034
41,35,40,40,100.0,41035
41,36,52,52,100.0,41036
41,37,76,76,100.0,41037
41,38,40,40,100.0,41038
41,40,51,51,100.0,41040
41,41,50,50,100.0,41041
41,42,47,47,100.0,41042
41,43,56,56,100.0,41043
41,45,31,31,100.0,41045
41,46,26,26,100.0,41046
41,49,72,72,100.0,41049
41,50,36,36,100.0,41050
41,51,29,29,100.0,41051
41,52,54,54,100.0,41052
41,55,72,72,100.0,41055
41,56,48,48,100.0,41056
