ward,precinct,total,Peter N. Silvestri,Peter N. Silvestri Percent,Daniel S. Kollman,Daniel S. Kollman Percent,precinct_id
29,9,9,5,55.56,4,44.44,29009
29,32,5,4,80.0,1,20.0,29032
30,2,3,3,100.0,0,0.0,30002
36,1,18,15,83.33,3,16.67,36001
36,2,11,8,72.73,3,27.27,36002
36,3,13,9,69.23,4,30.77,36003
36,4,8,5,62.5,3,37.5,36004
36,5,13,11,84.62,2,15.38,36005
36,6,25,19,76.0,6,24.0,36006
36,7,15,13,86.67,2,13.33,36007
36,8,21,16,76.19,5,23.81,36008
36,9,20,19,95.0,1,5.0,36009
36,10,8,5,62.5,3,37.5,36010
36,11,21,20,95.24,1,4.76,36011
36,12,19,15,78.95,4,21.05,36012
36,13,16,12,75.0,4,25.0,36013
36,14,13,12,92.31,1,7.69,36014
36,15,16,10,62.5,6,37.5,36015
36,16,12,10,83.33,2,16.67,36016
36,17,14,12,85.71,2,14.29,36017
36,18,23,22,95.65,1,4.35,36018
36,19,17,13,76.47,4,23.53,36019
36,20,20,15,75.0,5,25.0,36020
36,21,49,39,79.59,10,20.41,36021
36,22,20,18,90.0,2,10.0,36022
36,25,10,7,70.0,3,30.0,36025
36,26,24,18,75.0,6,25.0,36026
36,27,9,8,88.89,1,11.11,36027
36,28,14,13,92.86,1,7.14,36028
36,29,17,16,94.12,1,5.88,36029
36,30,24,23,95.83,1,4.17,36030
36,31,15,12,80.0,3,20.0,36031
36,32,11,9,81.82,2,18.18,36032
36,33,8,7,87.5,1,12.5,36033
36,34,14,9,64.29,5,35.71,36034
36,35,12,9,75.0,3,25.0,36035
36,36,5,4,80.0,1,20.0,36036
36,37,9,8,88.89,1,11.11,36037
36,38,11,10,90.91,1,9.09,36038
36,39,20,16,80.0,4,20.0,36039
36,40,18,15,83.33,3,16.67,36040
36,42,11,11,100.0,0,0.0,36042
36,45,9,8,88.89,1,11.11,36045
36,46,20,17,85.0,3,15.0,36046
36,47,10,9,90.0,1,10.0,36047
36,48,19,18,94.74,1,5.26,36048
36,49,26,22,84.62,4,15.38,36049
36,50,8,6,75.0,2,25.0,36050
36,51,13,9,69.23,4,30.77,36051
36,52,16,12,75.0,4,25.0,36052
36,53,7,6,85.71,1,14.29,36053
36,55,9,8,88.89,1,11.11,36055
38,3,16,15,93.75,1,6.25,38003
38,8,14,10,71.43,4,28.57,38008
38,12,20,15,75.0,5,25.0,38012
38,19,20,13,65.0,7,35.0,38019
38,38,25,19,76.0,6,24.0,38038
41,1,45,35,77.78,10,22.22,41001
41,2,42,37,88.1,5,11.9,41002
41,3,39,33,84.62,6,15.38,41003
41,4,41,37,90.24,4,9.76,41004
41,5,56,52,92.86,4,7.14,41005
41,6,35,29,82.86,6,17.14,41006
41,7,50,37,74.0,13,26.0,41007
41,8,60,49,81.67,11,18.33,41008
41,9,36,30,83.33,6,16.67,41009
41,10,21,17,80.95,4,19.05,41010
41,11,60,56,93.33,4,6.67,41011
41,12,38,35,92.11,3,7.89,41012
41,13,25,23,92.0,2,8.0,41013
41,14,29,24,82.76,5,17.24,41014
41,15,47,42,89.36,5,10.64,41015
41,16,64,49,76.56,15,23.44,41016
41,17,53,47,88.68,6,11.32,41017
41,18,58,50,86.21,8,13.79,41018
41,19,1,1,100.0,0,0.0,41019
41,20,70,57,81.43,13,18.57,41020
41,21,48,43,89.58,5,10.42,41021
41,22,48,37,77.08,11,22.92,41022
41,23,35,29,82.86,6,17.14,41023
41,24,32,28,87.5,4,12.5,41024
41,25,17,17,,0,,41025
41,26,23,21,91.3,2,8.7,41026
41,27,9,9,,0,,41027
41,28,34,27,79.41,7,20.59,41028
41,29,21,18,85.71,3,14.29,41029
41,30,48,40,83.33,8,16.67,41030
41,31,56,52,92.86,4,7.14,41031
41,32,38,36,94.74,2,5.26,41032
41,33,48,42,87.5,6,12.5,41033
41,34,51,45,88.24,6,11.76,41034
41,35,43,35,81.4,8,18.6,41035
41,36,51,44,86.27,7,13.73,41036
41,37,75,69,92.0,6,8.0,41037
41,38,37,31,83.78,6,16.22,41038
41,39,19,17,89.47,2,10.53,41039
41,40,52,40,76.92,12,23.08,41040
41,41,47,43,91.49,4,8.51,41041
41,42,47,39,82.98,8,17.02,41042
41,43,53,49,92.45,4,7.55,41043
41,44,36,30,83.33,6,16.67,41044
41,45,32,24,75.0,8,25.0,41045
41,46,29,24,82.76,5,17.24,41046
