ward,precinct,total,Glenn L. Harris,Glenn L. Harris Percent,precinct_id
24,7,1,1,100.0,24007
24,41,2,2,100.0,24041
28,1,1,1,100.0,28001
28,4,2,2,100.0,28004
28,27,1,1,100.0,28027
28,45,1,1,100.0,28045
28,46,2,2,100.0,28046
28,51,1,1,100.0,28051
28,55,1,1,100.0,28055
28,57,1,1,100.0,28057
29,1,1,1,100.0,29001
29,12,2,2,100.0,29012
29,14,2,2,100.0,29014
29,15,3,3,100.0,29015
29,17,2,2,100.0,29017
29,22,19,19,100.0,29022
29,25,1,1,100.0,29025
29,28,3,3,100.0,29028
29,34,3,3,100.0,29034
29,42,1,1,100.0,29042
37,2,1,1,100.0,37002
37,10,1,1,100.0,37010
37,14,3,3,100.0,37014
37,15,1,1,100.0,37015
37,16,2,2,100.0,37016
37,20,1,1,100.0,37020
37,21,3,3,100.0,37021
37,25,7,7,100.0,37025
37,26,3,3,100.0,37026
37,27,6,6,100.0,37027
37,31,1,1,100.0,37031
37,34,1,1,100.0,37034
37,36,2,2,100.0,37036
37,40,1,1,100.0,37040
37,41,4,4,100.0,37041
37,43,3,3,100.0,37043
