ward,precinct,total,Jim Rowe,Jim Rowe Percent,precinct_id
28,47,13,13,100.0,28047
29,4,1,1,100.0,29004
29,13,1,1,100.0,29013
29,18,2,2,100.0,29018
29,23,2,2,100.0,29023
29,29,6,6,100.0,29029
29,33,5,5,100.0,29033
29,35,1,1,100.0,29035
29,40,1,1,100.0,29040
29,44,4,4,100.0,29044
29,47,3,3,100.0,29047
29,50,2,2,100.0,29050
29,51,6,6,100.0,29051
36,2,10,10,100.0,36002
36,16,8,8,100.0,36016
36,22,18,18,100.0,36022
36,23,3,3,100.0,36023
36,24,6,6,100.0,36024
36,33,7,7,100.0,36033
36,44,11,11,100.0,36044
36,45,7,7,100.0,36045
36,54,12,12,100.0,36054
36,55,8,8,100.0,36055
37,5,3,3,100.0,37005
37,9,1,1,100.0,37009
37,18,2,2,100.0,37018
37,35,2,2,100.0,37035
37,37,2,2,100.0,37037
41,27,8,8,100.0,41027
