ward,precinct,total,Charles ''Charlie'' Johnson,Charles ''Charlie'' Johnson Percent,precinct_id
13,4,4,4,100.0,13004
23,1,23,23,100.0,23001
23,2,4,4,100.0,23002
23,3,23,23,100.0,23003
23,4,19,19,100.0,23004
23,8,16,16,100.0,23008
23,11,12,12,100.0,23011
23,12,19,19,100.0,23012
23,13,11,11,100.0,23013
23,15,15,15,100.0,23015
23,16,18,18,100.0,23016
23,17,19,19,100.0,23017
23,18,12,12,100.0,23018
23,19,15,15,100.0,23019
23,20,11,11,100.0,23020
23,22,8,8,100.0,23022
23,23,13,13,100.0,23023
23,26,22,22,100.0,23026
23,27,13,13,100.0,23027
23,28,12,12,100.0,23028
23,30,9,9,100.0,23030
23,34,8,8,100.0,23034
23,35,1,1,100.0,23035
23,36,21,21,100.0,23036
23,37,2,2,100.0,23037
23,38,4,4,100.0,23038
23,39,17,17,100.0,23039
23,40,24,24,100.0,23040
23,42,6,6,100.0,23042
23,43,24,24,100.0,23043
23,44,8,8,100.0,23044
23,45,17,17,100.0,23045
23,46,5,5,100.0,23046
23,47,17,17,100.0,23047
23,48,8,8,100.0,23048
23,49,9,9,100.0,23049
23,52,13,13,100.0,23052
23,54,17,17,100.0,23054
23,55,13,13,100.0,23055
23,56,18,18,100.0,23056
