ward,precinct,total,Howard Schug,Howard Schug Percent,Robert Belin,Robert Belin Percent,precinct_id
5,1,3,2,66.67,1,33.33,05001
5,6,1,0,,1,,05006
5,7,2,1,50.0,1,50.0,05007
5,11,3,0,,3,,05011
5,14,4,2,50.0,2,50.0,05014
5,21,2,1,50.0,1,50.0,05021
5,24,5,2,40.0,3,60.0,05024
5,26,1,1,,0,,05026
5,29,3,1,33.33,2,66.67,05029
5,31,2,1,50.0,1,50.0,05031
5,32,5,2,40.0,3,60.0,05032
5,36,1,0,,1,,05036
5,37,8,4,50.0,4,50.0,05037
5,38,6,4,66.67,2,33.33,05038
5,42,3,1,33.33,2,66.67,05042
5,43,1,1,,0,,05043
5,44,2,1,50.0,1,50.0,05044
5,46,3,0,,3,,05046
5,49,1,0,,1,,05049
6,21,3,2,66.67,1,33.33,06021
6,22,1,1,,0,,06022
7,1,2,0,,2,,07001
7,3,1,0,,1,,07003
7,4,1,0,,1,,07004
7,5,1,1,,0,,07005
7,8,1,1,,0,,07008
7,11,1,0,,1,,07011
7,13,2,2,,0,,07013
7,14,3,1,33.33,2,66.67,07014
7,16,1,1,,0,,07016
7,17,1,1,,0,,07017
7,18,1,1,,0,,07018
7,19,2,1,50.0,1,50.0,07019
7,20,2,1,50.0,1,50.0,07020
7,21,4,2,50.0,2,50.0,07021
7,22,1,0,,1,,07022
7,23,3,2,66.67,1,33.33,07023
7,24,2,1,50.0,1,50.0,07024
7,25,4,1,25.0,3,75.0,07025
7,26,3,1,33.33,2,66.67,07026
7,27,1,0,,1,,07027
7,28,2,2,,0,,07028
7,30,1,1,,0,,07030
7,32,2,1,50.0,1,50.0,07032
7,34,2,1,50.0,1,50.0,07034
7,35,3,1,33.33,2,66.67,07035
7,36,1,1,,0,,07036
7,38,1,0,,1,,07038
7,40,1,1,,0,,07040
7,42,2,1,50.0,1,50.0,07042
7,44,1,1,,0,,07044
7,45,4,1,25.0,3,75.0,07045
7,47,2,1,50.0,1,50.0,07047
7,48,1,0,,1,,07048
7,50,2,1,50.0,1,50.0,07050
7,52,1,1,,0,,07052
7,53,1,0,,1,,07053
7,54,3,0,,3,,07054
7,56,2,2,,0,,07056
7,58,3,1,33.33,2,66.67,07058
7,59,1,0,,1,,07059
7,60,1,0,,1,,07060
7,62,1,1,,0,,07062
7,63,3,2,66.67,1,33.33,07063
7,64,3,1,33.33,2,66.67,07064
7,65,2,1,50.0,1,50.0,07065
8,3,1,1,,0,,08003
8,4,1,0,,1,,08004
8,5,2,2,,0,,08005
8,7,1,0,,1,,08007
8,8,2,0,,2,,08008
8,9,3,1,33.33,2,66.67,08009
8,15,2,1,50.0,1,50.0,08015
8,17,1,1,,0,,08017
8,19,1,1,,0,,08019
8,25,2,1,50.0,1,50.0,08025
8,26,1,0,,1,,08026
8,27,3,0,,3,,08027
8,32,4,3,75.0,1,25.0,08032
8,34,3,2,66.67,1,33.33,08034
8,36,1,0,,1,,08036
8,42,2,1,50.0,1,50.0,08042
8,44,1,0,,1,,08044
8,46,1,0,,1,,08046
8,51,2,1,50.0,1,50.0,08051
8,57,1,1,,0,,08057
8,60,1,0,,1,,08060
8,63,1,0,,1,,08063
8,65,1,0,,1,,08065
8,66,2,1,50.0,1,50.0,08066
8,70,3,1,33.33,2,66.67,08070
9,2,2,0,,2,,09002
9,3,2,1,50.0,1,50.0,09003
9,4,1,1,,0,,09004
9,5,1,1,,0,,09005
9,8,1,1,,0,,09008
9,10,2,0,,2,,09010
9,11,3,2,66.67,1,33.33,09011
9,13,1,1,,0,,09013
9,14,1,1,,0,,09014
9,15,1,1,,0,,09015
9,19,1,0,,1,,09019
9,20,1,0,,1,,09020
9,22,1,1,,0,,09022
9,23,2,2,,0,,09023
9,24,1,0,,1,,09024
9,25,9,5,55.56,4,44.44,09025
9,27,1,1,,0,,09027
9,28,2,2,,0,,09028
9,30,1,0,,1,,09030
9,31,2,0,,2,,09031
9,32,2,1,50.0,1,50.0,09032
9,34,2,0,,2,,09034
9,37,16,6,37.5,10,62.5,09037
9,38,2,0,,2,,09038
9,40,2,0,,2,,09040
9,41,1,1,,0,,09041
9,43,3,2,66.67,1,33.33,09043
9,46,1,1,,0,,09046
9,48,3,1,33.33,2,66.67,09048
9,49,1,0,,1,,09049
9,50,1,1,,0,,09050
9,51,1,1,,0,,09051
9,52,1,0,,1,,09052
10,2,6,3,50.0,3,50.0,10002
10,3,11,7,63.64,4,36.36,10003
10,4,2,1,50.0,1,50.0,10004
10,5,10,7,70.0,3,30.0,10005
10,8,10,5,50.0,5,50.0,10008
10,9,13,7,53.85,6,46.15,10009
10,10,21,6,28.57,15,71.43,10010
10,11,21,11,52.38,10,47.62,10011
10,12,8,6,75.0,2,25.0,10012
10,13,5,5,,0,,10013
10,14,14,5,35.71,9,64.29,10014
10,15,6,5,83.33,1,16.67,10015
10,16,8,4,50.0,4,50.0,10016
10,17,9,6,66.67,3,33.33,10017
10,18,2,1,50.0,1,50.0,10018
10,19,14,7,50.0,7,50.0,10019
10,20,6,4,66.67,2,33.33,10020
10,21,14,7,50.0,7,50.0,10021
10,22,4,3,75.0,1,25.0,10022
10,23,3,1,33.33,2,66.67,10023
10,24,11,7,63.64,4,36.36,10024
10,25,6,2,33.33,4,66.67,10025
10,26,9,3,33.33,6,66.67,10026
10,27,4,0,,4,,10027
10,28,4,2,50.0,2,50.0,10028
10,29,4,2,50.0,2,50.0,10029
10,30,3,2,66.67,1,33.33,10030
10,31,15,2,13.33,13,86.67,10031
10,32,11,7,63.64,4,36.36,10032
10,33,11,2,18.18,9,81.82,10033
10,34,5,1,20.0,4,80.0,10034
10,35,7,5,71.43,2,28.57,10035
10,36,1,1,,0,,10036
10,37,1,1,,0,,10037
10,38,15,5,33.33,10,66.67,10038
10,39,12,5,41.67,7,58.33,10039
10,41,11,7,63.64,4,36.36,10041
10,42,21,12,57.14,9,42.86,10042
10,43,1,0,,1,,10043
10,44,6,4,66.67,2,33.33,10044
10,45,6,3,50.0,3,50.0,10045
10,46,9,3,33.33,6,66.67,10046
10,47,9,4,44.44,5,55.56,10047
10,48,2,1,50.0,1,50.0,10048
34,1,1,0,,1,,34001
34,2,1,0,,1,,34002
34,3,2,2,,0,,34003
34,5,2,1,50.0,1,50.0,34005
34,6,1,0,,1,,34006
34,7,2,0,,2,,34007
34,10,1,1,,0,,34010
34,11,2,2,,0,,34011
34,12,2,2,,0,,34012
34,18,2,0,,2,,34018
34,20,2,1,50.0,1,50.0,34020
34,21,2,0,,2,,34021
34,22,1,0,,1,,34022
34,23,1,1,,0,,34023
34,24,1,0,,1,,34024
34,25,2,0,,2,,34025
34,26,1,1,,0,,34026
34,30,3,1,33.33,2,66.67,34030
34,31,1,1,,0,,34031
34,32,1,1,,0,,34032
34,36,1,0,,1,,34036
34,37,1,1,,0,,34037
34,39,1,1,,0,,34039
34,40,1,0,,1,,34040
34,41,1,1,,0,,34041
34,42,1,0,,1,,34042
34,43,1,0,,1,,34043
34,44,2,1,50.0,1,50.0,34044
34,46,1,0,,1,,34046
34,49,3,2,66.67,1,33.33,34049
34,50,1,0,,1,,34050
34,52,2,2,,0,,34052
34,53,1,0,,1,,34053
34,54,2,1,50.0,1,50.0,34054
34,56,2,0,,2,,34056
34,59,2,1,50.0,1,50.0,34059
