ward,precinct,total,Raymond G. Wardingley,Raymond G. Wardingley Percent,Arthur J. Jones,Arthur J. Jones Percent,precinct_id
3,51,4,2,50.0,2,50.0,03051
11,1,14,12,85.71,2,14.29,11001
11,2,8,2,25.0,6,75.0,11002
11,4,3,3,,0,,11004
11,5,5,4,80.0,1,20.0,11005
11,6,8,4,50.0,4,50.0,11006
11,7,6,3,50.0,3,50.0,11007
11,8,8,6,75.0,2,25.0,11008
11,9,5,4,80.0,1,20.0,11009
11,11,12,10,83.33,2,16.67,11011
11,12,5,3,60.0,2,40.0,11012
11,13,7,7,,0,,11013
11,15,3,1,33.33,2,66.67,11015
11,16,10,7,70.0,3,30.0,11016
11,17,19,13,68.42,6,31.58,11017
11,18,3,3,,0,,11018
11,19,8,3,37.5,5,62.5,11019
11,20,3,2,66.67,1,33.33,11020
11,21,5,5,,0,,11021
11,22,4,4,,0,,11022
11,23,4,3,75.0,1,25.0,11023
11,24,8,6,75.0,2,25.0,11024
11,25,6,4,66.67,2,33.33,11025
11,26,8,8,,0,,11026
11,29,9,4,44.44,5,55.56,11029
11,30,8,5,62.5,3,37.5,11030
11,31,2,2,,0,,11031
11,32,5,3,60.0,2,40.0,11032
11,33,2,1,50.0,1,50.0,11033
11,34,1,0,,1,,11034
11,35,7,3,42.86,4,57.14,11035
11,37,7,6,85.71,1,14.29,11037
11,38,7,4,57.14,3,42.86,11038
11,39,6,4,66.67,2,33.33,11039
11,40,5,3,60.0,2,40.0,11040
11,41,4,2,50.0,2,50.0,11041
11,42,2,1,50.0,1,50.0,11042
11,43,5,3,60.0,2,40.0,11043
11,44,6,1,16.67,5,83.33,11044
11,45,3,1,33.33,2,66.67,11045
11,47,2,2,,0,,11047
11,48,5,5,,0,,11048
11,49,3,2,66.67,1,33.33,11049
11,50,3,2,66.67,1,33.33,11050
13,1,15,12,80.0,3,20.0,13001
13,2,7,6,85.71,1,14.29,13002
13,4,12,8,66.67,4,33.33,13004
13,5,5,3,60.0,2,40.0,13005
13,6,9,8,88.89,1,11.11,13006
13,7,10,7,70.0,3,30.0,13007
13,8,19,13,68.42,6,31.58,13008
13,9,8,5,62.5,3,37.5,13009
13,10,10,6,60.0,4,40.0,13010
13,11,1,0,,1,,13011
13,12,8,7,87.5,1,12.5,13012
13,13,6,3,50.0,3,50.0,13013
13,14,14,9,64.29,5,35.71,13014
13,15,10,8,80.0,2,20.0,13015
13,16,1,1,,0,,13016
13,17,15,14,93.33,1,6.67,13017
13,18,6,5,83.33,1,16.67,13018
13,19,3,1,33.33,2,66.67,13019
13,20,8,7,87.5,1,12.5,13020
13,21,7,4,57.14,3,42.86,13021
13,22,6,4,66.67,2,33.33,13022
13,23,2,1,50.0,1,50.0,13023
13,24,6,4,66.67,2,33.33,13024
13,25,9,6,66.67,3,33.33,13025
13,26,1,0,,1,,13026
13,27,15,13,86.67,2,13.33,13027
13,28,7,5,71.43,2,28.57,13028
13,29,7,6,85.71,1,14.29,13029
13,30,6,4,66.67,2,33.33,13030
13,31,6,4,66.67,2,33.33,13031
13,32,10,9,90.0,1,10.0,13032
13,33,5,3,60.0,2,40.0,13033
13,34,8,4,50.0,4,50.0,13034
13,35,5,3,60.0,2,40.0,13035
13,36,8,4,50.0,4,50.0,13036
13,37,8,3,37.5,5,62.5,13037
13,38,11,8,72.73,3,27.27,13038
13,39,4,4,,0,,13039
13,40,9,7,77.78,2,22.22,13040
13,41,3,3,,0,,13041
13,42,6,4,66.67,2,33.33,13042
13,43,1,1,,0,,13043
13,44,1,1,,0,,13044
13,45,12,8,66.67,4,33.33,13045
13,46,5,5,,0,,13046
13,47,3,2,66.67,1,33.33,13047
13,48,9,6,66.67,3,33.33,13048
13,49,7,6,85.71,1,14.29,13049
13,50,9,8,88.89,1,11.11,13050
14,2,6,3,50.0,3,50.0,14002
14,25,5,5,,0,,14025
14,28,10,3,30.0,7,70.0,14028
15,1,3,2,66.67,1,33.33,15001
15,10,4,3,75.0,1,25.0,15010
15,13,2,2,,0,,15013
15,14,9,6,66.67,3,33.33,15014
15,15,7,3,42.86,4,57.14,15015
15,16,5,1,20.0,4,80.0,15016
15,25,4,3,75.0,1,25.0,15025
15,28,10,7,70.0,3,30.0,15028
15,32,2,2,,0,,15032
15,44,5,3,60.0,2,40.0,15044
15,49,6,3,50.0,3,50.0,15049
16,4,4,1,25.0,3,75.0,16004
16,6,1,0,,1,,16006
16,13,11,5,45.45,6,54.55,16013
16,17,5,5,,0,,16017
16,23,2,1,50.0,1,50.0,16023
16,35,9,5,55.56,4,44.44,16035
16,39,2,0,,2,,16039
16,42,4,2,50.0,2,50.0,16042
18,3,11,9,81.82,2,18.18,18003
18,6,14,9,64.29,5,35.71,18006
18,15,4,2,50.0,2,50.0,18015
18,28,10,9,90.0,1,10.0,18028
18,41,11,10,90.91,1,9.09,18041
18,43,8,4,50.0,4,50.0,18043
18,48,13,7,53.85,6,46.15,18048
18,55,11,9,81.82,2,18.18,18055
18,56,2,2,,0,,18056
18,57,3,0,,3,,18057
18,62,11,6,54.55,5,45.45,18062
19,1,9,8,88.89,1,11.11,19001
19,2,5,3,60.0,2,40.0,19002
19,3,16,13,81.25,3,18.75,19003
19,4,14,13,92.86,1,7.14,19004
19,5,4,2,50.0,2,50.0,19005
19,6,20,17,85.0,3,15.0,19006
19,7,7,6,85.71,1,14.29,19007
19,8,11,8,72.73,3,27.27,19008
19,9,16,7,43.75,9,56.25,19009
19,10,14,8,57.14,6,42.86,19010
19,11,16,13,81.25,3,18.75,19011
19,12,14,10,71.43,4,28.57,19012
19,13,3,3,,0,,19013
19,14,14,10,71.43,4,28.57,19014
19,15,12,9,75.0,3,25.0,19015
19,16,12,8,66.67,4,33.33,19016
19,17,14,8,57.14,6,42.86,19017
19,18,10,10,,0,,19018
19,19,4,4,,0,,19019
19,20,7,6,85.71,1,14.29,19020
19,21,10,8,80.0,2,20.0,19021
19,22,21,17,80.95,4,19.05,19022
19,23,15,14,93.33,1,6.67,19023
19,24,10,9,90.0,1,10.0,19024
19,25,21,18,85.71,3,14.29,19025
19,26,23,17,73.91,6,26.09,19026
19,27,7,3,42.86,4,57.14,19027
19,29,14,10,71.43,4,28.57,19029
19,30,22,19,86.36,3,13.64,19030
19,31,17,14,82.35,3,17.65,19031
19,32,19,13,68.42,6,31.58,19032
19,33,22,18,81.82,4,18.18,19033
19,34,20,15,75.0,5,25.0,19034
19,35,14,13,92.86,1,7.14,19035
19,36,6,6,,0,,19036
19,37,15,14,93.33,1,6.67,19037
19,38,5,5,,0,,19038
19,39,6,4,66.67,2,33.33,19039
19,40,13,11,84.62,2,15.38,19040
19,41,25,19,76.0,6,24.0,19041
19,42,10,7,70.0,3,30.0,19042
19,44,16,15,93.75,1,6.25,19044
19,45,19,15,78.95,4,21.05,19045
19,46,13,8,61.54,5,38.46,19046
19,47,7,4,57.14,3,42.86,19047
19,49,14,8,57.14,6,42.86,19049
19,51,8,7,87.5,1,12.5,19051
19,52,20,13,65.0,7,35.0,19052
19,53,9,8,88.89,1,11.11,19053
19,54,12,11,91.67,1,8.33,19054
19,55,18,17,94.44,1,5.56,19055
19,56,18,12,66.67,6,33.33,19056
19,57,15,10,66.67,5,33.33,19057
19,58,21,17,80.95,4,19.05,19058
