ward,precinct,total,Carl Segvich,Carl Segvich Percent,precinct_id
3,10,1,1,100.0,03010
3,51,4,4,100.0,03051
11,1,14,14,100.0,11001
11,4,3,3,100.0,11004
11,5,5,5,100.0,11005
11,7,5,5,100.0,11007
11,8,8,8,100.0,11008
11,9,5,5,100.0,11009
11,10,4,4,100.0,11010
11,11,14,14,100.0,11011
11,12,4,4,100.0,11012
11,13,5,5,100.0,11013
11,15,4,4,100.0,11015
11,16,10,10,100.0,11016
11,17,6,6,100.0,11017
11,18,3,3,100.0,11018
11,19,9,9,100.0,11019
11,20,3,3,100.0,11020
11,21,5,5,100.0,11021
11,22,3,3,100.0,11022
11,23,4,4,100.0,11023
11,24,9,9,100.0,11024
11,25,6,6,100.0,11025
11,26,7,7,100.0,11026
11,28,5,5,100.0,11028
11,29,7,7,100.0,11029
11,30,7,7,100.0,11030
11,31,3,3,100.0,11031
11,32,4,4,100.0,11032
11,33,1,1,100.0,11033
11,34,4,4,100.0,11034
11,35,7,7,100.0,11035
11,37,8,8,100.0,11037
11,38,8,8,100.0,11038
11,39,5,5,100.0,11039
11,40,5,5,100.0,11040
11,41,4,4,100.0,11041
11,42,2,2,100.0,11042
11,43,6,6,100.0,11043
11,44,7,7,100.0,11044
11,45,3,3,100.0,11045
11,47,2,2,100.0,11047
11,48,4,4,100.0,11048
11,49,4,4,100.0,11049
11,50,2,2,100.0,11050
12,8,6,6,100.0,12008
13,1,15,15,100.0,13001
13,2,7,7,100.0,13002
13,4,11,11,100.0,13004
13,5,5,5,100.0,13005
13,6,10,10,100.0,13006
13,7,10,10,100.0,13007
13,8,17,17,100.0,13008
13,9,9,9,100.0,13009
13,10,9,9,100.0,13010
13,11,2,2,100.0,13011
13,12,8,8,100.0,13012
13,13,6,6,100.0,13013
13,14,13,13,100.0,13014
13,16,1,1,100.0,13016
13,17,11,11,100.0,13017
13,19,2,2,100.0,13019
13,21,6,6,100.0,13021
13,22,5,5,100.0,13022
13,23,1,1,100.0,13023
13,24,4,4,100.0,13024
13,25,11,11,100.0,13025
13,26,1,1,100.0,13026
13,27,15,15,100.0,13027
13,29,7,7,100.0,13029
13,32,10,10,100.0,13032
13,34,9,9,100.0,13034
13,35,4,4,100.0,13035
13,36,8,8,100.0,13036
13,37,6,6,100.0,13037
13,38,10,10,100.0,13038
13,39,3,3,100.0,13039
13,40,9,9,100.0,13040
13,41,2,2,100.0,13041
13,42,5,5,100.0,13042
13,43,1,1,100.0,13043
13,44,2,2,100.0,13044
13,45,12,12,100.0,13045
13,46,6,6,100.0,13046
13,47,3,3,100.0,13047
13,48,6,6,100.0,13048
13,49,7,7,100.0,13049
14,2,7,7,100.0,14002
14,25,6,6,100.0,14025
14,28,8,8,100.0,14028
15,6,1,1,100.0,15006
15,13,2,2,100.0,15013
15,15,7,7,100.0,15015
15,22,2,2,100.0,15022
15,24,2,2,100.0,15024
15,29,2,2,100.0,15029
15,44,4,4,100.0,15044
15,45,1,1,100.0,15045
15,50,2,2,100.0,15050
16,6,1,1,100.0,16006
16,8,4,4,100.0,16008
16,10,1,1,100.0,16010
16,12,1,1,100.0,16012
16,13,1,1,100.0,16013
16,18,1,1,100.0,16018
16,19,1,1,100.0,16019
16,44,2,2,100.0,16044
18,1,1,1,100.0,18001
18,2,3,3,100.0,18002
18,3,11,11,100.0,18003
18,6,14,14,100.0,18006
18,11,8,8,100.0,18011
18,15,2,2,100.0,18015
18,23,4,4,100.0,18023
18,28,9,9,100.0,18028
18,29,14,14,100.0,18029
18,36,1,1,100.0,18036
18,41,12,12,100.0,18041
18,43,8,8,100.0,18043
18,48,13,13,100.0,18048
18,55,11,11,100.0,18055
18,56,1,1,100.0,18056
18,57,3,3,100.0,18057
18,62,11,11,100.0,18062
19,1,9,9,100.0,19001
19,2,5,5,100.0,19002
19,3,15,15,100.0,19003
19,4,13,13,100.0,19004
19,5,4,4,100.0,19005
19,6,19,19,100.0,19006
19,7,6,6,100.0,19007
19,8,11,11,100.0,19008
19,9,15,15,100.0,19009
19,10,10,10,100.0,19010
19,11,15,15,100.0,19011
19,12,11,11,100.0,19012
19,13,3,3,100.0,19013
19,14,14,14,100.0,19014
19,15,12,12,100.0,19015
19,16,11,11,100.0,19016
19,17,14,14,100.0,19017
19,18,8,8,100.0,19018
19,19,4,4,100.0,19019
19,20,6,6,100.0,19020
19,21,11,11,100.0,19021
19,22,16,16,100.0,19022
19,23,13,13,100.0,19023
19,24,10,10,100.0,19024
19,25,19,19,100.0,19025
19,26,21,21,100.0,19026
19,27,4,4,100.0,19027
19,28,13,13,100.0,19028
19,29,13,13,100.0,19029
19,30,20,20,100.0,19030
19,31,19,19,100.0,19031
19,32,16,16,100.0,19032
19,33,20,20,100.0,19033
19,34,20,20,100.0,19034
19,35,14,14,100.0,19035
19,36,6,6,100.0,19036
19,37,14,14,100.0,19037
19,38,3,3,100.0,19038
19,39,6,6,100.0,19039
19,40,12,12,100.0,19040
19,41,23,23,100.0,19041
19,42,11,11,100.0,19042
19,44,15,15,100.0,19044
19,45,18,18,100.0,19045
19,46,10,10,100.0,19046
19,47,7,7,100.0,19047
19,49,12,12,100.0,19049
19,51,9,9,100.0,19051
19,52,19,19,100.0,19052
19,53,9,9,100.0,19053
19,54,11,11,100.0,19054
19,55,16,16,100.0,19055
19,56,16,16,100.0,19056
19,57,13,13,100.0,19057
19,58,19,19,100.0,19058
19,59,29,29,100.0,19059
19,60,3,3,100.0,19060
19,61,10,10,100.0,19061
19,62,8,8,100.0,19062
19,63,7,7,100.0,19063
19,64,11,11,100.0,19064
