ward,precinct,total,Ann Melichar,Ann Melichar Percent,precinct_id
1,2,6,6,100.0,01002
1,3,6,6,100.0,01003
1,4,4,4,100.0,01004
1,5,3,3,100.0,01005
1,7,6,6,100.0,01007
1,8,1,1,100.0,01008
1,9,7,7,100.0,01009
1,10,8,8,100.0,01010
1,11,1,1,100.0,01011
1,12,7,7,100.0,01012
1,13,4,4,100.0,01013
1,14,4,4,100.0,01014
1,15,5,5,100.0,01015
1,16,2,2,100.0,01016
1,17,4,4,100.0,01017
1,18,6,6,100.0,01018
1,19,5,5,100.0,01019
1,20,11,11,100.0,01020
1,21,8,8,100.0,01021
1,23,5,5,100.0,01023
1,24,7,7,100.0,01024
1,25,4,4,100.0,01025
1,26,7,7,100.0,01026
1,27,5,5,100.0,01027
1,28,2,2,100.0,01028
1,29,5,5,100.0,01029
1,30,11,11,100.0,01030
1,31,7,7,100.0,01031
1,32,11,11,100.0,01032
1,33,10,10,100.0,01033
1,34,1,1,100.0,01034
1,35,4,4,100.0,01035
1,36,12,12,100.0,01036
1,37,6,6,100.0,01037
1,39,10,10,100.0,01039
1,40,10,10,100.0,01040
1,41,13,13,100.0,01041
1,42,6,6,100.0,01042
1,43,5,5,100.0,01043
1,45,5,5,100.0,01045
1,46,2,2,100.0,01046
1,47,6,6,100.0,01047
1,48,4,4,100.0,01048
1,50,3,3,100.0,01050
3,13,5,5,100.0,03013
11,3,3,3,100.0,11003
11,10,4,4,100.0,11010
11,18,1,1,100.0,11018
12,1,4,4,100.0,12001
12,2,5,5,100.0,12002
12,3,9,9,100.0,12003
12,4,3,3,100.0,12004
12,5,3,3,100.0,12005
12,6,3,3,100.0,12006
12,7,3,3,100.0,12007
12,8,10,10,100.0,12008
12,10,9,9,100.0,12010
12,11,6,6,100.0,12011
12,12,5,5,100.0,12012
12,13,8,8,100.0,12013
12,14,9,9,100.0,12014
12,15,4,4,100.0,12015
12,16,5,5,100.0,12016
12,17,3,3,100.0,12017
12,18,2,2,100.0,12018
12,19,11,11,100.0,12019
12,20,4,4,100.0,12020
12,21,9,9,100.0,12021
12,22,5,5,100.0,12022
12,23,3,3,100.0,12023
12,24,11,11,100.0,12024
13,3,13,13,100.0,13003
14,1,7,7,100.0,14001
14,3,4,4,100.0,14003
14,4,7,7,100.0,14004
14,5,3,3,100.0,14005
14,6,2,2,100.0,14006
14,7,6,6,100.0,14007
14,8,6,6,100.0,14008
14,9,3,3,100.0,14009
14,10,7,7,100.0,14010
14,11,4,4,100.0,14011
14,12,4,4,100.0,14012
14,13,9,9,100.0,14013
14,14,4,4,100.0,14014
14,15,4,4,100.0,14015
14,16,7,7,100.0,14016
14,17,7,7,100.0,14017
14,18,3,3,100.0,14018
14,19,2,2,100.0,14019
14,20,1,1,100.0,14020
14,21,3,3,100.0,14021
