ward,precinct,total,Herbert Hebein,Herbert Hebein Percent,precinct_id
19,1,25,25,100.0,19001
19,2,6,6,100.0,19002
19,4,38,38,100.0,19004
19,6,42,42,100.0,19006
19,7,18,18,100.0,19007
19,8,51,51,100.0,19008
19,10,15,15,100.0,19010
19,11,43,43,100.0,19011
19,13,2,2,100.0,19013
19,15,53,53,100.0,19015
19,16,42,42,100.0,19016
19,17,21,21,100.0,19017
19,18,16,16,100.0,19018
19,19,23,23,100.0,19019
19,21,49,49,100.0,19021
19,22,22,22,100.0,19022
19,23,21,21,100.0,19023
19,24,1,1,100.0,19024
19,25,18,18,100.0,19025
19,26,39,39,100.0,19026
19,27,14,14,100.0,19027
19,28,6,6,100.0,19028
19,29,39,39,100.0,19029
19,30,38,38,100.0,19030
19,32,25,25,100.0,19032
19,33,56,56,100.0,19033
19,34,23,23,100.0,19034
19,35,18,18,100.0,19035
19,36,11,11,100.0,19036
19,37,10,10,100.0,19037
19,38,12,12,100.0,19038
19,39,3,3,100.0,19039
19,41,38,38,100.0,19041
19,44,40,40,100.0,19044
19,45,33,33,100.0,19045
19,46,43,43,100.0,19046
19,50,18,18,100.0,19050
19,51,22,22,100.0,19051
19,52,53,53,100.0,19052
19,53,22,22,100.0,19053
19,54,53,53,100.0,19054
19,56,10,10,100.0,19056
19,57,9,9,100.0,19057
21,1,1,1,100.0,21001
21,3,1,1,100.0,21003
21,8,4,4,100.0,21008
21,14,3,3,100.0,21014
21,16,0,0,0.0,21016
21,18,4,4,100.0,21018
21,22,1,1,100.0,21022
21,29,0,0,0.0,21029
21,32,0,0,0.0,21032
21,36,0,0,0.0,21036
21,42,1,1,100.0,21042
21,48,0,0,0.0,21048
34,49,1,1,100.0,34049
