ward,precinct,total,Amanda Biela,Amanda Biela Percent,precinct_id
33,2,3,3,100.0,33002
33,7,4,4,100.0,33007
35,30,0,0,0.0,35030
39,1,33,33,100.0,39001
39,2,42,42,100.0,39002
39,4,25,25,100.0,39004
39,5,32,32,100.0,39005
39,6,13,13,100.0,39006
39,7,14,14,100.0,39007
39,8,12,12,100.0,39008
39,9,17,17,100.0,39009
39,10,6,6,100.0,39010
39,11,21,21,100.0,39011
39,12,6,6,100.0,39012
39,13,15,15,100.0,39013
39,14,23,23,100.0,39014
39,15,39,39,100.0,39015
39,16,21,21,100.0,39016
39,17,24,24,100.0,39017
39,18,19,19,100.0,39018
39,19,21,21,100.0,39019
39,24,1,1,100.0,39024
39,25,0,0,0.0,39025
39,26,23,23,100.0,39026
39,27,2,2,100.0,39027
39,29,7,7,100.0,39029
39,30,15,15,100.0,39030
39,31,0,0,0.0,39031
39,32,21,21,100.0,39032
39,33,3,3,100.0,39033
39,35,15,15,100.0,39035
39,36,4,4,100.0,39036
39,37,28,28,100.0,39037
39,38,18,18,100.0,39038
39,39,22,22,100.0,39039
39,40,32,32,100.0,39040
39,41,43,43,100.0,39041
39,42,26,26,100.0,39042
39,43,40,40,100.0,39043
39,44,39,39,100.0,39044
39,45,21,21,100.0,39045
41,6,53,53,100.0,41006
41,9,43,43,100.0,41009
41,14,46,46,100.0,41014
41,19,46,46,100.0,41019
41,32,29,29,100.0,41032
41,39,34,34,100.0,41039
41,47,38,38,100.0,41047
45,32,6,6,100.0,45032
50,24,22,22,100.0,50024
50,25,2,2,100.0,50025
