ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
38,2,66,66,100.0,38002
38,7,11,11,100.0,38007
38,12,56,56,100.0,38012
38,17,10,10,100.0,38017
38,20,46,46,100.0,38020
38,24,1,1,100.0,38024
38,28,52,52,100.0,38028
41,1,57,57,100.0,41001
41,2,70,70,100.0,41002
41,3,19,19,100.0,41003
41,4,46,46,100.0,41004
41,5,56,56,100.0,41005
41,7,64,64,100.0,41007
41,8,73,73,100.0,41008
41,10,62,62,100.0,41010
41,11,71,71,100.0,41011
41,13,91,91,100.0,41013
41,15,54,54,100.0,41015
41,16,42,42,100.0,41016
41,17,51,51,100.0,41017
41,18,38,38,100.0,41018
41,20,54,54,100.0,41020
41,21,40,40,100.0,41021
41,22,52,52,100.0,41022
41,23,75,75,100.0,41023
41,25,27,27,100.0,41025
41,26,71,71,100.0,41026
41,27,51,51,100.0,41027
41,31,83,83,100.0,41031
41,33,53,53,100.0,41033
41,34,51,51,100.0,41034
41,35,71,71,100.0,41035
41,36,58,58,100.0,41036
41,37,48,48,100.0,41037
41,40,65,65,100.0,41040
41,41,49,49,100.0,41041
41,42,52,52,100.0,41042
41,43,70,70,100.0,41043
41,44,66,66,100.0,41044
41,45,46,46,100.0,41045
41,46,53,53,100.0,41046
