ward,precinct,total,Walter Zarnecki,Walter Zarnecki Percent,Renne ''Tex'' Chavez,Renne ''Tex'' Chavez Percent,precinct_id
33,3,17,10,58.82,7,41.18,33003
33,4,14,11,78.57,3,21.43,33004
33,5,9,5,55.56,4,44.44,33005
33,6,6,4,66.67,2,33.33,33006
33,8,8,6,75.0,2,25.0,33008
33,9,11,6,54.55,5,45.45,33009
33,11,18,13,72.22,5,27.78,33011
33,12,15,13,86.67,2,13.33,33012
33,13,6,5,83.33,1,16.67,33013
33,14,13,8,61.54,5,38.46,33014
33,15,13,11,84.62,2,15.38,33015
33,16,18,11,61.11,7,38.89,33016
33,17,24,17,70.83,7,29.17,33017
33,19,10,7,70.0,3,30.0,33019
33,20,7,7,100.0,0,0.0,33020
33,21,10,5,50.0,5,50.0,33021
33,22,2,2,100.0,0,0.0,33022
33,26,7,7,100.0,0,0.0,33026
33,27,5,4,80.0,1,20.0,33027
33,28,13,10,76.92,3,23.08,33028
35,1,17,11,64.71,6,35.29,35001
35,2,14,9,64.29,5,35.71,35002
35,3,9,3,33.33,6,66.67,35003
35,4,14,6,42.86,8,57.14,35004
35,5,9,6,66.67,3,33.33,35005
35,6,9,8,88.89,1,11.11,35006
35,7,4,3,75.0,1,25.0,35007
35,8,1,0,0.0,1,100.0,35008
35,9,15,10,66.67,5,33.33,35009
35,10,6,4,66.67,2,33.33,35010
35,11,16,15,93.75,1,6.25,35011
35,12,4,2,50.0,2,50.0,35012
35,13,2,1,50.0,1,50.0,35013
35,14,7,4,57.14,3,42.86,35014
35,15,8,7,87.5,1,12.5,35015
35,16,2,0,0.0,2,100.0,35016
35,17,5,2,40.0,3,60.0,35017
35,18,6,1,16.67,5,83.33,35018
35,19,7,4,57.14,3,42.86,35019
35,20,5,1,20.0,4,80.0,35020
35,21,9,4,44.44,5,55.56,35021
35,22,11,9,81.82,2,18.18,35022
35,23,16,14,87.5,2,12.5,35023
35,24,5,2,40.0,3,60.0,35024
35,25,5,3,60.0,2,40.0,35025
35,26,16,9,56.25,7,43.75,35026
35,27,13,10,76.92,3,23.08,35027
35,28,13,13,100.0,0,0.0,35028
35,29,16,9,56.25,7,43.75,35029
35,30,10,8,80.0,2,20.0,35030
35,31,19,14,73.68,5,26.32,35031
36,2,13,8,61.54,5,38.46,36002
36,4,1,1,100.0,0,0.0,36004
36,5,8,7,87.5,1,12.5,36005
36,6,18,10,55.56,8,44.44,36006
36,8,7,5,71.43,2,28.57,36008
36,9,13,8,61.54,5,38.46,36009
36,11,5,2,40.0,3,60.0,36011
36,12,3,0,0.0,3,100.0,36012
36,13,6,1,16.67,5,83.33,36013
36,21,10,7,70.0,3,30.0,36021
36,22,9,3,33.33,6,66.67,36022
36,23,10,7,70.0,3,30.0,36023
36,25,10,4,40.0,6,60.0,36025
45,1,12,10,83.33,2,16.67,45001
45,2,4,2,50.0,2,50.0,45002
45,3,14,10,71.43,4,28.57,45003
