ward,precinct,total,Sargis Sangari,Sargis Sangari Percent,John D. Elleson,John D. Elleson Percent,Maxwell Rice,Maxwell Rice Percent,D. Vincent Thomas Jr.,D. Vincent Thomas Jr. Percent,precinct_id
40,4,7,0,0.0,4,57.14,1,14.29,2,28.57,40004
40,9,14,5,35.71,3,21.43,1,7.14,5,35.71,40009
40,10,8,2,25.0,4,50.0,2,25.0,0,0.0,40010
40,18,11,4,36.36,4,36.36,2,18.18,1,9.09,40018
40,22,8,4,50.0,4,50.0,0,0.0,0,0.0,40022
40,25,0,0,0.0,0,0.0,0,0.0,0,0.0,40025
40,26,14,3,21.43,6,42.86,1,7.14,4,28.57,40026
40,27,13,4,30.77,5,38.46,3,23.08,1,7.69,40027
40,28,9,3,33.33,6,66.67,0,0.0,0,0.0,40028
40,31,3,0,0.0,0,0.0,1,33.33,2,66.67,40031
40,33,3,1,33.33,1,33.33,1,33.33,0,0.0,40033
40,35,20,4,20.0,10,50.0,5,25.0,1,5.0,40035
40,36,18,4,22.22,9,50.0,1,5.56,4,22.22,40036
40,37,17,5,29.41,3,17.65,6,35.29,3,17.65,40037
40,39,3,2,66.67,1,33.33,0,0.0,0,0.0,40039
41,1,55,12,21.82,28,50.91,5,9.09,10,18.18,41001
41,2,62,17,27.42,24,38.71,8,12.9,13,20.97,41002
41,4,43,14,32.56,17,39.53,6,13.95,6,13.95,41004
41,5,52,17,32.69,25,48.08,5,9.62,5,9.62,41005
41,7,54,7,12.96,36,66.67,3,5.56,8,14.81,41007
41,8,59,13,22.03,34,57.63,3,5.08,9,15.25,41008
41,10,53,20,37.74,25,47.17,1,1.89,7,13.21,41010
41,11,46,8,17.39,24,52.17,6,13.04,8,17.39,41011
41,13,79,19,24.05,43,54.43,8,10.13,9,11.39,41013
41,15,48,11,22.92,18,37.5,7,14.58,12,25.0,41015
41,17,9,4,44.44,1,11.11,2,22.22,2,22.22,41017
41,18,31,3,9.68,18,58.06,2,6.45,8,25.81,41018
41,20,51,7,13.73,26,50.98,8,15.69,10,19.61,41020
41,23,41,8,19.51,20,48.78,7,17.07,6,14.63,41023
41,25,25,5,20.0,12,48.0,4,16.0,4,16.0,41025
41,28,46,13,28.26,15,32.61,6,13.04,12,26.09,41028
41,29,38,12,31.58,15,39.47,5,13.16,6,15.79,41029
41,31,70,19,27.14,31,44.29,5,7.14,15,21.43,41031
41,33,6,2,33.33,2,33.33,2,33.33,0,0.0,41033
41,34,47,6,12.77,30,63.83,4,8.51,7,14.89,41034
41,36,51,11,21.57,26,50.98,6,11.76,8,15.69,41036
41,37,42,14,33.33,14,33.33,3,7.14,11,26.19,41037
41,40,56,8,14.29,35,62.5,8,14.29,5,8.93,41040
41,41,40,9,22.5,22,55.0,3,7.5,6,15.0,41041
41,42,41,9,21.95,22,53.66,4,9.76,6,14.63,41042
41,43,62,16,25.81,38,61.29,2,3.23,6,9.68,41043
41,44,52,9,17.31,29,55.77,5,9.62,9,17.31,41044
41,45,20,3,15.0,11,55.0,2,10.0,4,20.0,41045
44,3,22,8,36.36,6,27.27,3,13.64,5,22.73,44003
44,4,28,6,21.43,16,57.14,2,7.14,4,14.29,44004
44,7,24,7,29.17,14,58.33,1,4.17,2,8.33,44007
44,24,19,5,26.32,8,42.11,2,10.53,4,21.05,44024
44,35,35,10,28.57,12,34.29,4,11.43,9,25.71,44035
46,1,15,9,60.0,2,13.33,4,26.67,0,0.0,46001
46,2,6,3,50.0,1,16.67,1,16.67,1,16.67,46002
46,4,8,1,12.5,4,50.0,1,12.5,2,25.0,46004
46,5,1,0,0.0,1,100.0,0,0.0,0,0.0,46005
46,6,9,1,11.11,6,66.67,1,11.11,1,11.11,46006
46,7,39,8,20.51,14,35.9,5,12.82,12,30.77,46007
46,8,10,2,20.0,5,50.0,2,20.0,1,10.0,46008
46,9,15,4,26.67,7,46.67,1,6.67,3,20.0,46009
46,11,25,6,24.0,15,60.0,2,8.0,2,8.0,46011
46,12,7,2,28.57,4,57.14,1,14.29,0,0.0,46012
46,13,7,2,28.57,1,14.29,3,42.86,1,14.29,46013
46,14,9,0,0.0,4,44.44,4,44.44,1,11.11,46014
