ward,precinct,total,Craig Cameron,Craig Cameron Percent,Jeffrey A. Leef,Jeffrey A. Leef Percent,precinct_id
1,12,26,20,76.92,6,23.08,01012
1,14,1,1,100.0,0,0.0,01014
1,15,2,2,100.0,0,0.0,01015
1,32,7,4,57.14,3,42.86,01032
2,2,29,16,55.17,13,44.83,02002
2,9,13,7,53.85,6,46.15,02009
2,10,37,26,70.27,11,29.73,02010
2,11,34,21,61.76,13,38.24,02011
2,12,6,4,66.67,2,33.33,02012
2,13,23,11,47.83,12,52.17,02013
2,14,13,11,84.62,2,15.38,02014
2,17,13,9,69.23,4,30.77,02017
2,18,33,19,57.58,14,42.42,02018
2,19,41,23,56.1,18,43.9,02019
2,20,3,2,66.67,1,33.33,02020
2,21,1,1,100.0,0,0.0,02021
2,23,38,16,42.11,22,57.89,02023
2,27,39,16,41.03,23,58.97,02027
2,28,7,7,100.0,0,0.0,02028
2,29,26,13,50.0,13,50.0,02029
2,32,25,12,48.0,13,52.0,02032
2,34,27,21,77.78,6,22.22,02034
2,35,24,14,58.33,10,41.67,02035
2,36,25,13,52.0,12,48.0,02036
2,38,42,24,57.14,18,42.86,02038
2,39,46,30,65.22,16,34.78,02039
2,40,25,12,48.0,13,52.0,02040
2,41,14,11,78.57,3,21.43,02041
2,42,20,11,55.0,9,45.0,02042
2,43,29,12,41.38,17,58.62,02043
2,45,28,19,67.86,9,32.14,02045
2,46,19,7,36.84,12,63.16,02046
3,1,3,1,33.33,2,66.67,03001
3,2,0,0,0.0,0,0.0,03002
3,3,6,5,83.33,1,16.67,03003
3,4,0,0,0.0,0,0.0,03004
3,5,2,2,100.0,0,0.0,03005
3,6,23,11,47.83,12,52.17,03006
3,8,0,0,0.0,0,0.0,03008
3,9,3,1,33.33,2,66.67,03009
3,10,1,1,100.0,0,0.0,03010
3,11,1,1,100.0,0,0.0,03011
3,12,1,1,100.0,0,0.0,03012
3,13,14,6,42.86,8,57.14,03013
3,14,14,8,57.14,6,42.86,03014
3,15,1,0,0.0,1,100.0,03015
3,16,3,1,33.33,2,66.67,03016
3,17,10,5,50.0,5,50.0,03017
3,18,1,1,100.0,0,0.0,03018
3,19,23,17,73.91,6,26.09,03019
3,20,5,4,80.0,1,20.0,03020
3,21,18,9,50.0,9,50.0,03021
3,22,16,8,50.0,8,50.0,03022
3,23,2,1,50.0,1,50.0,03023
3,24,1,1,100.0,0,0.0,03024
3,25,44,26,59.09,18,40.91,03025
3,26,22,12,54.55,10,45.45,03026
3,27,33,19,57.58,14,42.42,03027
3,28,1,1,100.0,0,0.0,03028
3,29,3,1,33.33,2,66.67,03029
