ward,precinct,total,Ammie Kessem,Ammie Kessem Percent,precinct_id
29,29,29,29,100.0,29029
29,31,10,10,100.0,29031
29,32,22,22,100.0,29032
38,1,14,14,100.0,38001
38,3,25,25,100.0,38003
38,5,26,26,100.0,38005
38,6,34,34,100.0,38006
38,7,31,31,100.0,38007
38,9,39,39,100.0,38009
38,11,33,33,100.0,38011
38,13,37,37,100.0,38013
38,14,38,38,100.0,38014
38,15,17,17,100.0,38015
38,17,34,34,100.0,38017
38,18,38,38,100.0,38018
38,19,40,40,100.0,38019
38,21,23,23,100.0,38021
38,22,22,22,100.0,38022
38,24,23,23,100.0,38024
38,25,23,23,100.0,38025
38,26,28,28,100.0,38026
38,27,25,25,100.0,38027
38,29,19,19,100.0,38029
38,30,25,25,100.0,38030
38,31,28,28,100.0,38031
38,32,35,35,100.0,38032
38,33,27,27,100.0,38033
38,36,14,14,100.0,38036
38,38,32,32,100.0,38038
38,40,29,29,100.0,38040
38,41,14,14,100.0,38041
39,20,41,41,100.0,39020
39,21,37,37,100.0,39021
39,23,40,40,100.0,39023
39,24,55,55,100.0,39024
39,41,2,2,100.0,39041
41,3,20,20,100.0,41003
41,12,45,45,100.0,41012
41,24,59,59,100.0,41024
41,30,38,38,100.0,41030
41,38,34,34,100.0,41038
45,12,23,23,100.0,45012
45,13,19,19,100.0,45013
45,14,27,27,100.0,45014
45,15,22,22,100.0,45015
45,16,22,22,100.0,45016
45,17,31,31,100.0,45017
45,18,38,38,100.0,45018
45,19,17,17,100.0,45019
45,20,26,26,100.0,45020
45,21,33,33,100.0,45021
45,22,19,19,100.0,45022
45,23,33,33,100.0,45023
45,24,19,19,100.0,45024
45,25,24,24,100.0,45025
45,26,29,29,100.0,45026
45,27,39,39,100.0,45027
45,28,41,41,100.0,45028
45,29,20,20,100.0,45029
45,30,11,11,100.0,45030
45,31,20,20,100.0,45031
45,32,14,14,100.0,45032
45,33,21,21,100.0,45033
45,34,19,19,100.0,45034
45,35,36,36,100.0,45035
45,36,34,34,100.0,45036
45,37,26,26,100.0,45037
45,38,18,18,100.0,45038
45,39,27,27,100.0,45039
45,40,34,34,100.0,45040
45,41,29,29,100.0,45041
45,42,25,25,100.0,45042
45,43,38,38,100.0,45043
45,44,43,43,100.0,45044
45,45,31,31,100.0,45045
45,46,36,36,100.0,45046
45,47,17,17,100.0,45047
45,48,54,54,100.0,45048
