ward,precinct,total,Tom Hanson,Tom Hanson Percent,precinct_id
1,3,9,9,100.0,01003
1,4,13,13,100.0,01004
1,5,6,6,100.0,01005
1,6,18,18,100.0,01006
1,8,11,11,100.0,01008
1,10,17,17,100.0,01010
1,11,6,6,100.0,01011
1,14,2,2,100.0,01014
1,21,8,8,100.0,01021
1,28,2,2,100.0,01028
1,32,8,8,100.0,01032
1,33,14,14,100.0,01033
1,35,18,18,100.0,01035
1,36,11,11,100.0,01036
1,37,21,21,100.0,01037
1,38,1,1,100.0,01038
1,39,10,10,100.0,01039
1,40,11,11,100.0,01040
2,1,17,17,100.0,02001
2,3,20,20,100.0,02003
2,4,8,8,100.0,02004
2,5,25,25,100.0,02005
2,6,7,7,100.0,02006
2,7,11,11,100.0,02007
2,8,8,8,100.0,02008
2,12,7,7,100.0,02012
2,14,2,2,100.0,02014
2,15,16,16,100.0,02015
2,16,3,3,100.0,02016
2,17,0,0,0.0,02017
2,20,14,14,100.0,02020
2,21,15,15,100.0,02021
2,22,31,31,100.0,02022
2,24,25,25,100.0,02024
2,25,15,15,100.0,02025
2,26,23,23,100.0,02026
2,28,26,26,100.0,02028
2,30,36,36,100.0,02030
2,31,40,40,100.0,02031
2,33,50,50,100.0,02033
2,37,32,32,100.0,02037
2,38,5,5,100.0,02038
2,44,20,20,100.0,02044
26,28,5,5,100.0,26028
26,32,14,14,100.0,26032
27,7,11,11,100.0,27007
27,12,9,9,100.0,27012
27,13,3,3,100.0,27013
27,27,2,2,100.0,27027
27,35,0,0,0.0,27035
27,37,0,0,0.0,27037
27,40,4,4,100.0,27040
27,42,7,7,100.0,27042
27,43,1,1,100.0,27043
27,46,19,19,100.0,27046
29,23,8,8,100.0,29023
29,29,35,35,100.0,29029
29,31,28,28,100.0,29031
29,32,25,25,100.0,29032
29,38,0,0,0.0,29038
29,39,7,7,100.0,29039
30,15,13,13,100.0,30015
30,17,8,8,100.0,30017
30,21,15,15,100.0,30021
32,1,12,12,100.0,32001
32,2,22,22,100.0,32002
32,4,12,12,100.0,32004
32,5,18,18,100.0,32005
32,6,12,12,100.0,32006
32,7,12,12,100.0,32007
32,8,18,18,100.0,32008
32,9,23,23,100.0,32009
32,10,34,34,100.0,32010
32,13,24,24,100.0,32013
32,15,25,25,100.0,32015
32,16,9,9,100.0,32016
32,18,18,18,100.0,32018
32,19,13,13,100.0,32019
32,21,19,19,100.0,32021
32,23,23,23,100.0,32023
32,24,25,25,100.0,32024
32,25,18,18,100.0,32025
32,27,25,25,100.0,32027
32,29,12,12,100.0,32029
32,30,22,22,100.0,32030
32,31,17,17,100.0,32031
32,32,13,13,100.0,32032
32,33,27,27,100.0,32033
32,34,8,8,100.0,32034
32,35,17,17,100.0,32035
32,36,25,25,100.0,32036
32,37,13,13,100.0,32037
32,38,15,15,100.0,32038
32,39,29,29,100.0,32039
32,40,17,17,100.0,32040
32,41,18,18,100.0,32041
32,42,15,15,100.0,32042
33,2,15,15,100.0,33002
33,3,2,2,100.0,33003
33,5,10,10,100.0,33005
33,7,13,13,100.0,33007
33,8,17,17,100.0,33008
33,10,1,1,100.0,33010
33,18,15,15,100.0,33018
33,19,2,2,100.0,33019
33,23,0,0,0.0,33023
33,24,22,22,100.0,33024
33,27,0,0,0.0,33027
36,7,36,36,100.0,36007
36,14,12,12,100.0,36014
36,15,15,15,100.0,36015
36,16,19,19,100.0,36016
36,17,23,23,100.0,36017
36,18,15,15,100.0,36018
36,20,12,12,100.0,36020
36,24,17,17,100.0,36024
36,26,30,30,100.0,36026
36,28,32,32,100.0,36028
36,29,9,9,100.0,36029
36,30,12,12,100.0,36030
38,2,61,61,100.0,38002
38,3,28,28,100.0,38003
38,4,39,39,100.0,38004
38,5,32,32,100.0,38005
38,6,37,37,100.0,38006
38,7,41,41,100.0,38007
38,8,33,33,100.0,38008
38,9,40,40,100.0,38009
38,10,38,38,100.0,38010
38,11,32,32,100.0,38011
38,12,50,50,100.0,38012
38,13,38,38,100.0,38013
38,14,37,37,100.0,38014
38,15,19,19,100.0,38015
38,16,46,46,100.0,38016
38,17,45,45,100.0,38017
38,18,38,38,100.0,38018
38,19,41,41,100.0,38019
38,20,43,43,100.0,38020
38,21,28,28,100.0,38021
38,22,23,23,100.0,38022
38,23,39,39,100.0,38023
38,24,26,26,100.0,38024
38,25,28,28,100.0,38025
38,26,32,32,100.0,38026
38,27,28,28,100.0,38027
38,28,48,48,100.0,38028
38,29,27,27,100.0,38029
38,30,25,25,100.0,38030
38,31,27,27,100.0,38031
38,32,36,36,100.0,38032
38,33,29,29,100.0,38033
38,34,20,20,100.0,38034
38,35,6,6,100.0,38035
38,36,18,18,100.0,38036
38,37,22,22,100.0,38037
38,38,33,33,100.0,38038
38,39,27,27,100.0,38039
38,40,29,29,100.0,38040
39,1,35,35,100.0,39001
39,2,49,49,100.0,39002
39,3,26,26,100.0,39003
39,4,28,28,100.0,39004
39,5,35,35,100.0,39005
39,6,15,15,100.0,39006
39,7,16,16,100.0,39007
39,8,13,13,100.0,39008
39,9,18,18,100.0,39009
39,10,7,7,100.0,39010
39,11,20,20,100.0,39011
39,12,9,9,100.0,39012
39,13,16,16,100.0,39013
39,14,26,26,100.0,39014
39,15,42,42,100.0,39015
39,16,21,21,100.0,39016
39,17,27,27,100.0,39017
39,18,21,21,100.0,39018
39,19,23,23,100.0,39019
39,20,43,43,100.0,39020
39,21,36,36,100.0,39021
39,22,13,13,100.0,39022
39,23,40,40,100.0,39023
39,24,53,53,100.0,39024
39,25,12,12,100.0,39025
39,26,25,25,100.0,39026
39,27,2,2,100.0,39027
39,28,13,13,100.0,39028
39,29,8,8,100.0,39029
39,30,23,23,100.0,39030
39,32,27,27,100.0,39032
39,33,3,3,100.0,39033
39,34,31,31,100.0,39034
39,35,17,17,100.0,39035
39,36,4,4,100.0,39036
39,37,28,28,100.0,39037
39,38,19,19,100.0,39038
39,39,22,22,100.0,39039
39,40,31,31,100.0,39040
39,41,47,47,100.0,39041
39,42,30,30,100.0,39042
39,43,40,40,100.0,39043
39,44,41,41,100.0,39044
39,45,22,22,100.0,39045
40,1,17,17,100.0,40001
40,2,16,16,100.0,40002
40,3,6,6,100.0,40003
40,5,16,16,100.0,40005
40,6,12,12,100.0,40006
40,7,8,8,100.0,40007
40,8,11,11,100.0,40008
40,10,7,7,100.0,40010
40,11,12,12,100.0,40011
40,12,14,14,100.0,40012
40,13,12,12,100.0,40013
40,14,17,17,100.0,40014
40,15,15,15,100.0,40015
40,16,19,19,100.0,40016
40,17,12,12,100.0,40017
40,19,29,29,100.0,40019
40,20,15,15,100.0,40020
40,21,20,20,100.0,40021
40,23,22,22,100.0,40023
40,24,13,13,100.0,40024
40,25,8,8,100.0,40025
40,29,23,23,100.0,40029
40,30,23,23,100.0,40030
40,31,6,6,100.0,40031
40,32,14,14,100.0,40032
40,34,7,7,100.0,40034
40,38,10,10,100.0,40038
41,3,42,42,100.0,41003
41,6,56,56,100.0,41006
41,9,44,44,100.0,41009
41,11,14,14,100.0,41011
41,12,50,50,100.0,41012
41,14,48,48,100.0,41014
41,16,37,37,100.0,41016
41,17,40,40,100.0,41017
41,19,44,44,100.0,41019
41,21,35,35,100.0,41021
41,22,50,50,100.0,41022
