ward,precinct,total,Chris J. Hanusiak,Chris J. Hanusiak Percent,precinct_id
49,1,5,5,100.0,49001
49,3,6,6,100.0,49003
49,5,13,13,100.0,49005
49,6,9,9,100.0,49006
49,7,19,19,100.0,49007
49,8,9,9,100.0,49008
49,9,7,7,100.0,49009
49,10,17,17,100.0,49010
49,11,8,8,100.0,49011
49,12,5,5,100.0,49012
49,13,17,17,100.0,49013
49,14,19,19,100.0,49014
49,15,11,11,100.0,49015
49,16,18,18,100.0,49016
49,17,9,9,100.0,49017
49,19,6,6,100.0,49019
49,20,9,9,100.0,49020
49,21,5,5,100.0,49021
49,22,9,9,100.0,49022
49,23,8,8,100.0,49023
49,24,8,8,100.0,49024
49,25,12,12,100.0,49025
49,26,19,19,100.0,49026
49,27,8,8,100.0,49027
49,29,8,8,100.0,49029
49,30,14,14,100.0,49030
49,31,9,9,100.0,49031
49,32,10,10,100.0,49032
49,33,7,7,100.0,49033
50,1,19,19,100.0,50001
50,2,14,14,100.0,50002
50,3,11,11,100.0,50003
50,4,19,19,100.0,50004
50,5,24,24,100.0,50005
50,6,17,17,100.0,50006
50,7,16,16,100.0,50007
50,8,5,5,100.0,50008
50,9,10,10,100.0,50009
50,10,9,9,100.0,50010
50,11,8,8,100.0,50011
50,12,10,10,100.0,50012
50,13,6,6,100.0,50013
50,14,9,9,100.0,50014
50,15,14,14,100.0,50015
50,16,9,9,100.0,50016
50,18,4,4,100.0,50018
50,19,8,8,100.0,50019
50,20,19,19,100.0,50020
50,21,12,12,100.0,50021
50,22,11,11,100.0,50022
50,27,9,9,100.0,50027
50,28,19,19,100.0,50028
50,31,4,4,100.0,50031
50,32,1,1,100.0,50032
50,33,22,22,100.0,50033
50,34,28,28,100.0,50034
50,35,12,12,100.0,50035
50,36,21,21,100.0,50036
50,37,21,21,100.0,50037
50,38,12,12,100.0,50038
50,40,19,19,100.0,50040
