ward,precinct,total,LEONARD DeVILLE,LEONARD DeVILLE Percent,"HOWARD B. BROOKINS, JR.","HOWARD B. BROOKINS, JR. Percent",precinct_id
21,1,282,141,50.0,141,50.0,21001
21,2,46,32,69.57,14,30.43,21002
21,3,244,121,49.59,123,50.41,21003
21,4,229,105,45.85,124,54.15,21004
21,5,190,95,50.0,95,50.0,21005
21,6,141,62,43.97,79,56.03,21006
21,7,187,74,39.57,113,60.43,21007
21,8,137,62,45.26,75,54.74,21008
21,9,156,90,57.69,66,42.31,21009
21,10,121,51,42.15,70,57.85,21010
21,11,201,99,49.25,102,50.75,21011
21,12,225,65,28.89,160,71.11,21012
21,13,90,48,53.33,42,46.67,21013
21,14,154,85,55.19,69,44.81,21014
21,15,109,70,64.22,39,35.78,21015
21,16,139,60,43.17,79,56.83,21016
21,17,86,39,45.35,47,54.65,21017
21,18,204,126,61.76,78,38.24,21018
21,19,135,62,45.93,73,54.07,21019
21,20,72,29,40.28,43,59.72,21020
21,21,209,84,40.19,125,59.81,21021
21,22,223,135,60.54,88,39.46,21022
21,23,152,57,37.5,95,62.5,21023
21,24,166,88,53.01,78,46.99,21024
21,25,155,69,44.52,86,55.48,21025
21,26,141,52,36.88,89,63.12,21026
21,27,239,166,69.46,73,30.54,21027
21,28,154,85,55.19,69,44.81,21028
21,29,62,43,69.35,19,30.65,21029
21,30,134,77,57.46,57,42.54,21030
21,31,292,218,74.66,74,25.34,21031
21,32,78,47,60.26,31,39.74,21032
21,33,172,62,36.05,110,63.95,21033
21,34,178,78,43.82,100,56.18,21034
21,35,82,34,41.46,48,58.54,21035
21,36,123,62,50.41,61,49.59,21036
21,37,104,55,52.88,49,47.12,21037
21,38,155,85,54.84,70,45.16,21038
21,39,107,48,44.86,59,55.14,21039
21,40,184,80,43.48,104,56.52,21040
21,41,160,109,68.13,51,31.88,21041
21,42,217,129,59.45,88,40.55,21042
21,43,135,49,36.3,86,63.7,21043
21,44,153,75,49.02,78,50.98,21044
21,45,167,95,56.89,72,43.11,21045
21,46,119,52,43.7,67,56.3,21046
21,47,283,156,55.12,127,44.88,21047
21,48,236,125,52.97,111,47.03,21048
21,49,239,86,35.98,153,64.02,21049
21,50,224,122,54.46,102,45.54,21050
21,51,165,79,47.88,86,52.12,21051
21,52,157,97,61.78,60,38.22,21052
21,53,151,54,35.76,97,64.24,21053
21,54,191,106,55.5,85,44.5,21054
21,55,163,79,48.47,84,51.53,21055
21,56,112,67,59.82,45,40.18,21056
21,57,126,64,50.79,62,49.21,21057
21,58,134,56,41.79,78,58.21,21058
21,59,233,135,57.94,98,42.06,21059
21,60,158,68,43.04,90,56.96,21060
21,61,181,75,41.44,106,58.56,21061
21,62,143,74,51.75,69,48.25,21062
21,63,160,72,45.0,88,55.0,21063
21,64,103,54,52.43,49,47.57,21064
21,65,176,68,38.64,108,61.36,21065
21,66,155,56,36.13,99,63.87,21066
21,67,123,59,47.97,64,52.03,21067
21,68,164,90,54.88,74,45.12,21068
21,69,130,64,49.23,66,50.77,21069
21,70,145,61,42.07,84,57.93,21070
21,71,98,21,21.43,77,78.57,21071
21,72,118,71,60.17,47,39.83,21072
21,73,158,51,32.28,107,67.72,21073
21,74,37,24,64.86,13,35.14,21074
21,75,109,62,56.88,47,43.12,21075
21,76,121,41,33.88,80,66.12,21076
