ward,precinct,total,"MANUEL """"MANNY"""" FLORES","MANUEL """"MANNY"""" FLORES Percent",JESSE D. GRANATO,JESSE D. GRANATO Percent,precinct_id
1,1,285,98,34.39,187,65.61,01001
1,2,226,160,70.8,66,29.2,01002
1,3,166,132,79.52,34,20.48,01003
1,4,204,146,71.57,58,28.43,01004
1,5,180,119,66.11,61,33.89,01005
1,6,251,142,56.57,109,43.43,01006
1,7,263,128,48.67,135,51.33,01007
1,8,180,126,70.0,54,30.0,01008
1,9,231,169,73.16,62,26.84,01009
1,10,134,86,64.18,48,35.82,01010
1,11,288,160,55.56,128,44.44,01011
1,12,126,103,81.75,23,18.25,01012
1,13,228,142,62.28,86,37.72,01013
1,14,258,156,60.47,102,39.53,01014
1,15,155,83,53.55,72,46.45,01015
1,16,187,87,46.52,100,53.48,01016
1,17,202,136,67.33,66,32.67,01017
1,18,236,138,58.47,98,41.53,01018
1,19,344,112,32.56,232,67.44,01019
1,20,271,178,65.68,93,34.32,01020
1,21,308,185,60.06,123,39.94,01021
1,22,179,120,67.04,59,32.96,01022
1,23,235,166,70.64,69,29.36,01023
1,24,326,147,45.09,179,54.91,01024
1,25,235,123,52.34,112,47.66,01025
1,26,301,122,40.53,179,59.47,01026
1,27,307,182,59.28,125,40.72,01027
1,28,248,144,58.06,104,41.94,01028
1,29,174,121,69.54,53,30.46,01029
1,30,310,191,61.61,119,38.39,01030
1,31,130,114,87.69,16,12.31,01031
1,32,190,87,45.79,103,54.21,01032
1,33,233,168,72.1,65,27.9,01033
1,34,125,66,52.8,59,47.2,01034
1,35,109,71,65.14,38,34.86,01035
1,36,313,223,71.25,90,28.75,01036
1,37,275,127,46.18,148,53.82,01037
1,38,176,87,49.43,89,50.57,01038
1,39,293,160,54.61,133,45.39,01039
1,40,125,85,68.0,40,32.0,01040
