ward,precinct,total,"THEODORE """"TED"""" THOMAS","THEODORE """"TED"""" THOMAS Percent",BOB LOVE,BOB LOVE Percent,precinct_id
15,1,105,59,56.19,46,43.81,15001
15,2,102,67,65.69,35,34.31,15002
15,3,74,53,71.62,21,28.38,15003
15,4,79,57,72.15,22,27.85,15004
15,5,77,48,62.34,29,37.66,15005
15,6,95,51,53.68,44,46.32,15006
15,7,84,39,46.43,45,53.57,15007
15,8,69,32,46.38,37,53.62,15008
15,9,110,64,58.18,46,41.82,15009
15,10,114,87,76.32,27,23.68,15010
15,11,76,44,57.89,32,42.11,15011
15,12,64,35,54.69,29,45.31,15012
15,13,65,16,24.62,49,75.38,15013
15,14,168,79,47.02,89,52.98,15014
15,15,134,41,30.6,93,69.4,15015
15,16,125,76,60.8,49,39.2,15016
15,17,67,41,61.19,26,38.81,15017
15,18,71,31,43.66,40,56.34,15018
15,19,98,74,75.51,24,24.49,15019
15,20,84,44,52.38,40,47.62,15020
15,21,90,40,44.44,50,55.56,15021
15,22,110,57,51.82,53,48.18,15022
15,23,52,34,65.38,18,34.62,15023
15,24,102,36,35.29,66,64.71,15024
15,25,112,71,63.39,41,36.61,15025
15,26,71,39,54.93,32,45.07,15026
15,27,72,52,72.22,20,27.78,15027
15,28,108,56,51.85,52,48.15,15028
15,29,42,23,54.76,19,45.24,15029
15,30,77,38,49.35,39,50.65,15030
15,31,60,34,56.67,26,43.33,15031
15,32,111,41,36.94,70,63.06,15032
15,33,59,38,64.41,21,35.59,15033
15,34,65,40,61.54,25,38.46,15034
15,35,104,70,67.31,34,32.69,15035
15,36,62,36,58.06,26,41.94,15036
15,37,63,28,44.44,35,55.56,15037
15,38,89,45,50.56,44,49.44,15038
15,39,122,84,68.85,38,31.15,15039
15,40,83,39,46.99,44,53.01,15040
15,41,119,66,55.46,53,44.54,15041
15,42,51,27,52.94,24,47.06,15042
15,43,82,59,71.95,23,28.05,15043
15,44,111,45,40.54,66,59.46,15044
15,45,51,17,33.33,34,66.67,15045
15,46,74,31,41.89,43,58.11,15046
15,47,114,69,60.53,45,39.47,15047
15,48,61,33,54.1,28,45.9,15048
15,49,52,16,30.77,36,69.23,15049
15,50,107,36,33.64,71,66.36,15050
15,51,60,42,70.0,18,30.0,15051
15,52,53,39,73.58,14,26.42,15052
