ward,precinct,total,Dan Patlak,Dan Patlak Percent,Sean M. Morrison,Sean M. Morrison Percent,precinct_id
19,1,24,10,41.67,14,58.33,19001
19,2,8,4,50.0,4,50.0,19002
19,3,38,19,50.0,19,50.0,19003
19,4,27,16,59.26,11,40.74,19004
19,6,31,12,38.71,19,61.29,19006
19,8,25,14,56.0,11,44.0,19008
19,9,20,10,50.0,10,50.0,19009
19,11,36,19,52.78,17,47.22,19011
19,12,33,17,51.52,16,48.48,19012
19,14,17,7,41.18,10,58.82,19014
19,15,40,17,42.5,23,57.5,19015
19,16,34,13,38.24,21,61.76,19016
19,19,14,4,28.57,10,71.43,19019
19,21,35,15,42.86,20,57.14,19021
19,22,24,12,50.0,12,50.0,19022
19,24,26,9,34.62,17,65.38,19024
19,30,26,9,34.62,17,65.38,19030
19,33,33,18,54.55,15,45.45,19033
19,39,0,0,0.0,0,0.0,19039
19,41,26,14,53.85,12,46.15,19041
19,44,23,13,56.52,10,43.48,19044
19,45,37,14,37.84,23,62.16,19045
19,47,10,3,30.0,7,70.0,19047
19,51,25,11,44.0,14,56.0,19051
19,53,24,9,37.5,15,62.5,19053
19,54,34,12,35.29,22,64.71,19054
19,58,30,12,40.0,18,60.0,19058
19,59,44,20,45.45,24,54.55,19059
19,61,26,14,53.85,12,46.15,19061
19,63,11,2,18.18,9,81.82,19063
41,3,44,19,43.18,25,56.82,41003
41,5,62,24,38.71,38,61.29,41005
41,7,46,23,50.0,23,50.0,41007
41,8,52,25,48.08,27,51.92,41008
41,9,56,26,46.43,30,53.57,41009
41,11,45,22,48.89,23,51.11,41011
41,13,25,12,48.0,13,52.0,41013
41,15,48,20,41.67,28,58.33,41015
41,16,56,31,55.36,25,44.64,41016
41,17,40,19,47.5,21,52.5,41017
41,18,57,28,49.12,29,50.88,41018
41,20,86,39,45.35,47,54.65,41020
41,21,56,25,44.64,31,55.36,41021
41,22,52,24,46.15,28,53.85,41022
41,25,11,6,54.55,5,45.45,41025
41,26,30,16,53.33,14,46.67,41026
41,27,17,10,58.82,7,41.18,41027
41,28,40,22,55.0,18,45.0,41028
41,29,21,15,71.43,6,28.57,41029
41,30,49,17,34.69,32,65.31,41030
41,31,53,19,35.85,34,64.15,41031
41,32,38,22,57.89,16,42.11,41032
41,33,25,12,48.0,13,52.0,41033
41,34,59,28,47.46,31,52.54,41034
41,35,52,27,51.92,25,48.08,41035
41,36,62,29,46.77,33,53.23,41036
41,37,69,27,39.13,42,60.87,41037
41,38,59,37,62.71,22,37.29,41038
41,41,53,33,62.26,20,37.74,41041
41,43,52,31,59.62,21,40.38,41043
41,45,42,19,45.24,23,54.76,41045
41,46,39,13,33.33,26,66.67,41046
41,48,19,12,63.16,7,36.84,41048
41,50,48,28,58.33,20,41.67,41050
41,52,76,33,43.42,43,56.58,41052
41,53,46,22,47.83,24,52.17,41053
41,55,55,30,54.55,25,45.45,41055
45,2,0,0,0.0,0,0.0,45002
