ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
29,9,2,2,100.0,29009
36,5,23,23,100.0,36005
36,7,19,19,100.0,36007
36,8,33,33,100.0,36008
36,9,29,29,100.0,36009
36,10,17,17,100.0,36010
36,11,33,33,100.0,36011
36,12,21,21,100.0,36012
36,13,19,19,100.0,36013
36,14,18,18,100.0,36014
36,15,17,17,100.0,36015
36,17,32,32,100.0,36017
36,18,26,26,100.0,36018
36,19,30,30,100.0,36019
36,20,38,38,100.0,36020
36,21,48,48,100.0,36021
36,25,18,18,100.0,36025
36,27,14,14,100.0,36027
36,28,30,30,100.0,36028
36,29,16,16,100.0,36029
36,30,43,43,100.0,36030
36,31,24,24,100.0,36031
36,32,22,22,100.0,36032
36,34,25,25,100.0,36034
36,35,15,15,100.0,36035
36,37,29,29,100.0,36037
36,38,8,8,100.0,36038
36,39,40,40,100.0,36039
36,40,32,32,100.0,36040
36,42,19,19,100.0,36042
36,46,14,14,100.0,36046
36,47,8,8,100.0,36047
36,48,29,29,100.0,36048
36,49,39,39,100.0,36049
36,50,18,18,100.0,36050
36,52,19,19,100.0,36052
36,53,17,17,100.0,36053
38,3,32,32,100.0,38003
38,38,32,32,100.0,38038
41,1,80,80,100.0,41001
41,2,55,55,100.0,41002
41,3,46,46,100.0,41003
41,4,59,59,100.0,41004
41,5,70,70,100.0,41005
41,7,54,54,100.0,41007
41,8,66,66,100.0,41008
41,9,68,68,100.0,41009
41,11,53,53,100.0,41011
41,12,34,34,100.0,41012
41,15,55,55,100.0,41015
41,16,64,64,100.0,41016
41,17,46,46,100.0,41017
41,18,63,63,100.0,41018
41,20,96,96,100.0,41020
41,21,65,65,100.0,41021
41,22,64,64,100.0,41022
41,24,57,57,100.0,41024
41,30,57,57,100.0,41030
41,31,59,59,100.0,41031
41,33,39,39,100.0,41033
41,34,74,74,100.0,41034
41,35,61,61,100.0,41035
41,36,75,75,100.0,41036
41,37,82,82,100.0,41037
41,38,60,60,100.0,41038
41,40,62,62,100.0,41040
41,41,60,60,100.0,41041
41,42,68,68,100.0,41042
41,43,67,67,100.0,41043
41,45,51,51,100.0,41045
41,46,43,43,100.0,41046
41,49,63,63,100.0,41049
41,50,51,51,100.0,41050
41,51,36,36,100.0,41051
41,52,87,87,100.0,41052
41,55,70,70,100.0,41055
41,56,70,70,100.0,41056
