ward,precinct,total,Linda Thompson LaFianza,Linda Thompson LaFianza Percent,precinct_id
49,1,5,5,100.0,49001
49,3,2,2,100.0,49003
49,5,14,14,100.0,49005
49,6,9,9,100.0,49006
49,8,9,9,100.0,49008
49,10,15,15,100.0,49010
49,11,12,12,100.0,49011
49,12,8,8,100.0,49012
49,13,13,13,100.0,49013
49,14,13,13,100.0,49014
49,15,6,6,100.0,49015
49,16,11,11,100.0,49016
49,18,4,4,100.0,49018
49,19,3,3,100.0,49019
49,20,17,17,100.0,49020
49,22,10,10,100.0,49022
49,23,7,7,100.0,49023
49,24,10,10,100.0,49024
49,25,7,7,100.0,49025
49,26,30,30,100.0,49026
49,27,6,6,100.0,49027
49,28,7,7,100.0,49028
49,29,12,12,100.0,49029
49,30,4,4,100.0,49030
49,31,16,16,100.0,49031
49,33,13,13,100.0,49033
49,34,12,12,100.0,49034
49,35,18,18,100.0,49035
49,36,10,10,100.0,49036
49,38,8,8,100.0,49038
49,39,4,4,100.0,49039
49,40,9,9,100.0,49040
49,41,8,8,100.0,49041
49,42,5,5,100.0,49042
50,1,18,18,100.0,50001
50,2,19,19,100.0,50002
50,3,15,15,100.0,50003
50,4,13,13,100.0,50004
50,5,31,31,100.0,50005
50,6,14,14,100.0,50006
50,7,13,13,100.0,50007
50,9,20,20,100.0,50009
50,10,6,6,100.0,50010
50,11,27,27,100.0,50011
50,12,16,16,100.0,50012
50,13,14,14,100.0,50013
50,14,5,5,100.0,50014
50,15,16,16,100.0,50015
50,16,14,14,100.0,50016
50,18,14,14,100.0,50018
50,19,15,15,100.0,50019
50,20,17,17,100.0,50020
50,21,16,16,100.0,50021
50,22,10,10,100.0,50022
50,27,10,10,100.0,50027
50,28,14,14,100.0,50028
50,30,12,12,100.0,50030
50,31,3,3,100.0,50031
50,33,19,19,100.0,50033
50,35,22,22,100.0,50035
50,36,16,16,100.0,50036
50,37,25,25,100.0,50037
50,38,16,16,100.0,50038
50,40,16,16,100.0,50040
50,41,19,19,100.0,50041
50,42,12,12,100.0,50042
