ward,precinct,total,Patrick John Ryan,Patrick John Ryan Percent,precinct_id
13,1,18,18,100.0,13001
13,2,6,6,100.0,13002
13,4,20,20,100.0,13004
13,5,8,8,100.0,13005
13,6,12,12,100.0,13006
13,7,8,8,100.0,13007
13,8,17,17,100.0,13008
13,9,11,11,100.0,13009
13,10,17,17,100.0,13010
13,11,10,10,100.0,13011
13,12,7,7,100.0,13012
13,13,7,7,100.0,13013
13,14,13,13,100.0,13014
13,15,11,11,100.0,13015
13,16,13,13,100.0,13016
13,17,16,16,100.0,13017
13,19,4,4,100.0,13019
13,21,7,7,100.0,13021
13,22,10,10,100.0,13022
13,23,7,7,100.0,13023
13,24,10,10,100.0,13024
13,25,15,15,100.0,13025
13,26,15,15,100.0,13026
13,27,23,23,100.0,13027
13,28,7,7,100.0,13028
13,29,7,7,100.0,13029
13,30,0,0,0.0,13030
13,31,2,2,100.0,13031
13,32,9,9,100.0,13032
13,33,10,10,100.0,13033
13,34,11,11,100.0,13034
13,35,6,6,100.0,13035
13,36,6,6,100.0,13036
13,37,7,7,100.0,13037
13,38,18,18,100.0,13038
13,39,5,5,100.0,13039
13,40,13,13,100.0,13040
13,41,4,4,100.0,13041
13,42,9,9,100.0,13042
13,43,10,10,100.0,13043
13,44,4,4,100.0,13044
13,45,11,11,100.0,13045
13,46,5,5,100.0,13046
