ward,precinct,total,precinct_id
13,4,0,13004
23,1,0,23001
23,2,0,23002
23,3,0,23003
23,4,0,23004
23,7,0,23007
23,8,0,23008
23,11,0,23011
23,12,0,23012
23,13,0,23013
23,14,0,23014
23,15,0,23015
23,16,0,23016
23,17,0,23017
23,18,0,23018
23,19,0,23019
23,20,0,23020
23,21,0,23021
23,22,0,23022
23,23,0,23023
23,26,0,23026
23,27,0,23027
23,28,0,23028
23,30,0,23030
23,34,0,23034
23,35,0,23035
23,36,0,23036
23,37,0,23037
23,38,0,23038
23,39,0,23039
23,40,0,23040
23,42,0,23042
23,43,0,23043
23,44,0,23044
23,45,0,23045
23,46,0,23046
23,47,0,23047
23,48,0,23048
23,49,0,23049
23,52,0,23052
23,54,0,23054
