ward,precinct,total,Barbara Ruth Bellar,Barbara Ruth Bellar Percent,precinct_id
19,1,19,19,100.0,19001
19,2,8,8,100.0,19002
19,3,39,39,100.0,19003
19,4,25,25,100.0,19004
19,5,14,14,100.0,19005
19,6,30,30,100.0,19006
19,7,16,16,100.0,19007
19,8,25,25,100.0,19008
19,10,31,31,100.0,19010
19,11,30,30,100.0,19011
19,12,30,30,100.0,19012
19,14,15,15,100.0,19014
19,15,40,40,100.0,19015
19,16,32,32,100.0,19016
19,17,18,18,100.0,19017
19,18,14,14,100.0,19018
19,19,14,14,100.0,19019
19,21,33,33,100.0,19021
19,22,25,25,100.0,19022
19,23,26,26,100.0,19023
19,24,26,26,100.0,19024
19,25,36,36,100.0,19025
19,26,34,34,100.0,19026
19,29,30,30,100.0,19029
19,30,29,29,100.0,19030
19,32,25,25,100.0,19032
19,33,34,34,100.0,19033
19,34,25,25,100.0,19034
19,35,16,16,100.0,19035
19,36,9,9,100.0,19036
19,37,19,19,100.0,19037
19,38,12,12,100.0,19038
19,39,0,0,0.0,19039
19,41,24,24,100.0,19041
19,44,22,22,100.0,19044
19,45,37,37,100.0,19045
19,46,30,30,100.0,19046
19,47,11,11,100.0,19047
19,51,25,25,100.0,19051
19,52,35,35,100.0,19052
19,53,25,25,100.0,19053
19,54,30,30,100.0,19054
19,55,22,22,100.0,19055
19,57,19,19,100.0,19057
19,58,31,31,100.0,19058
19,59,38,38,100.0,19059
19,61,26,26,100.0,19061
19,62,16,16,100.0,19062
19,65,3,3,100.0,19065
