ward,precinct,total,Ashvin Lad,Ashvin Lad Percent,precinct_id
1,7,0,0,0.0,01007
1,28,1,0,0.0,01028
1,42,0,0,0.0,01042
29,2,8,3,37.5,29002
29,9,18,6,33.33,29009
29,24,0,0,0.0,29024
29,30,7,1,14.29,29030
29,32,9,0,0.0,29032
30,1,13,3,23.08,30001
30,2,4,1,25.0,30002
30,3,11,5,45.45,30003
30,6,9,2,22.22,30006
30,7,5,1,20.0,30007
30,8,15,2,13.33,30008
30,9,7,1,14.29,30009
30,10,16,1,6.25,30010
30,11,5,1,20.0,30011
30,12,10,3,30.0,30012
30,13,19,5,26.32,30013
30,14,5,1,20.0,30014
30,15,16,7,43.75,30015
30,16,20,2,10.0,30016
30,17,8,2,25.0,30017
30,25,11,0,0.0,30025
30,28,13,3,23.08,30028
30,30,14,2,14.29,30030
30,34,12,2,16.67,30034
30,37,26,5,19.23,30037
30,38,18,5,27.78,30038
30,39,10,3,30.0,30039
30,40,16,2,12.5,30040
31,3,6,1,16.67,31003
31,8,8,2,25.0,31008
31,9,16,0,0.0,31009
31,15,9,3,33.33,31015
31,16,13,1,7.69,31016
31,19,7,2,28.57,31019
31,26,6,1,16.67,31026
31,28,5,1,20.0,31028
31,29,12,2,16.67,31029
31,32,9,2,22.22,31032
31,33,17,3,17.65,31033
31,35,0,0,0.0,31035
31,38,3,0,0.0,31038
31,41,6,1,16.67,31041
31,43,14,2,14.29,31043
31,45,6,2,33.33,31045
31,46,4,0,0.0,31046
31,47,9,1,11.11,31047
31,48,15,2,13.33,31048
31,50,21,4,19.05,31050
32,7,18,7,38.89,32007
32,8,51,21,41.18,32008
32,9,35,13,37.14,32009
32,10,23,6,26.09,32010
32,13,11,2,18.18,32013
32,15,17,7,41.18,32015
32,18,29,10,34.48,32018
32,19,20,6,30.0,32019
32,20,19,9,47.37,32020
32,21,19,6,31.58,32021
32,22,25,8,32.0,32022
32,23,21,13,61.9,32023
32,24,43,9,20.93,32024
32,25,16,4,25.0,32025
32,27,18,4,22.22,32027
32,30,46,19,41.3,32030
32,32,46,19,41.3,32032
32,37,17,3,17.65,32037
32,38,19,7,36.84,32038
32,39,36,8,22.22,32039
32,40,15,4,26.67,32040
32,41,38,19,50.0,32041
32,42,33,6,18.18,32042
32,43,33,14,42.42,32043
32,44,17,7,41.18,32044
32,45,28,10,35.71,32045
32,47,44,10,22.73,32047
32,48,45,16,35.56,32048
32,49,16,5,31.25,32049
32,50,13,2,15.38,32050
33,5,13,3,23.08,33005
33,7,19,5,26.32,33007
33,9,23,7,30.43,33009
33,10,18,3,16.67,33010
33,14,5,0,0.0,33014
33,18,4,2,50.0,33018
33,22,4,2,50.0,33022
33,23,17,1,5.88,33023
33,24,17,6,35.29,33024
33,25,13,2,15.38,33025
35,22,5,0,0.0,35022
35,33,20,6,30.0,35033
36,1,24,3,12.5,36001
36,2,21,3,14.29,36002
36,3,20,4,20.0,36003
36,5,20,2,10.0,36005
36,6,29,3,10.34,36006
36,7,20,7,35.0,36007
36,8,36,12,33.33,36008
36,9,30,7,23.33,36009
36,10,16,4,25.0,36010
36,11,32,4,12.5,36011
36,12,21,4,19.05,36012
36,13,29,6,20.69,36013
36,14,23,7,30.43,36014
36,15,17,3,17.65,36015
36,16,16,4,25.0,36016
36,17,26,6,23.08,36017
36,18,25,7,28.0,36018
36,19,36,8,22.22,36019
36,20,35,5,14.29,36020
36,21,48,10,20.83,36021
36,22,44,7,15.91,36022
36,25,19,9,47.37,36025
36,26,38,6,15.79,36026
36,27,13,3,23.08,36027
36,28,31,12,38.71,36028
36,29,13,3,23.08,36029
36,30,40,6,15.0,36030
36,31,29,5,17.24,36031
36,32,22,5,22.73,36032
36,33,5,1,20.0,36033
36,34,30,6,20.0,36034
36,35,21,4,19.05,36035
36,36,13,1,7.69,36036
36,37,33,6,18.18,36037
36,38,8,3,37.5,36038
36,39,40,11,27.5,36039
36,40,31,4,12.9,36040
36,41,29,6,20.69,36041
36,42,22,3,13.64,36042
36,43,24,3,12.5,36043
36,45,7,4,57.14,36045
36,46,17,2,11.76,36046
36,47,8,2,25.0,36047
36,48,28,4,14.29,36048
36,49,44,6,13.64,36049
36,50,18,5,27.78,36050
36,51,15,3,20.0,36051
36,52,20,1,5.0,36052
36,53,24,2,8.33,36053
36,55,16,0,0.0,36055
37,39,0,0,0.0,37039
38,1,28,12,42.86,38001
38,2,23,6,26.09,38002
38,3,33,10,30.3,38003
38,4,8,3,37.5,38004
38,5,43,9,20.93,38005
38,6,24,4,16.67,38006
38,7,35,10,28.57,38007
38,8,27,5,18.52,38008
38,9,27,5,18.52,38009
38,10,34,7,20.59,38010
38,11,16,3,18.75,38011
38,12,27,8,29.63,38012
38,13,18,3,16.67,38013
38,14,26,5,19.23,38014
38,15,11,1,9.09,38015
38,16,13,1,7.69,38016
38,17,7,1,14.29,38017
38,18,25,4,16.0,38018
38,19,25,7,28.0,38019
38,20,39,8,20.51,38020
38,21,25,6,24.0,38021
38,22,31,7,22.58,38022
38,23,13,4,30.77,38023
38,24,13,3,23.08,38024
38,25,9,2,22.22,38025
38,26,17,4,23.53,38026
38,27,11,3,27.27,38027
38,28,13,1,7.69,38028
38,29,16,3,18.75,38029
38,30,18,1,5.56,38030
38,31,18,0,0.0,38031
38,32,33,8,24.24,38032
38,33,23,3,13.04,38033
38,34,6,1,16.67,38034
38,35,30,3,10.0,38035
38,36,20,3,15.0,38036
38,37,31,8,25.81,38037
38,38,37,11,29.73,38038
38,39,27,7,25.93,38039
38,40,19,7,36.84,38040
38,41,36,8,22.22,38041
38,42,21,4,19.05,38042
38,43,27,8,29.63,38043
38,44,19,4,21.05,38044
38,45,34,9,26.47,38045
38,46,14,3,21.43,38046
38,47,24,6,25.0,38047
38,48,27,6,22.22,38048
38,49,40,10,25.0,38049
38,50,22,3,13.64,38050
38,51,13,4,30.77,38051
38,52,31,5,16.13,38052
38,53,1,0,0.0,38053
39,1,36,12,33.33,39001
39,2,62,12,19.35,39002
39,3,27,7,25.93,39003
39,4,25,6,24.0,39004
39,5,18,6,33.33,39005
39,6,33,4,12.12,39006
39,7,14,2,14.29,39007
39,8,21,3,14.29,39008
39,9,14,2,14.29,39009
39,10,10,2,20.0,39010
39,11,11,3,27.27,39011
39,12,3,0,0.0,39012
39,13,7,2,28.57,39013
39,14,9,2,22.22,39014
39,15,34,8,23.53,39015
39,16,21,6,28.57,39016
39,17,15,4,26.67,39017
39,18,27,8,29.63,39018
39,19,8,2,25.0,39019
39,20,43,13,30.23,39020
39,21,6,1,16.67,39021
39,22,9,0,0.0,39022
39,23,11,0,0.0,39023
39,24,10,2,20.0,39024
39,25,28,4,14.29,39025
39,26,41,15,36.59,39026
39,27,25,5,20.0,39027
39,28,21,6,28.57,39028
39,29,27,5,18.52,39029
39,30,8,2,25.0,39030
39,31,15,4,26.67,39031
39,32,8,1,12.5,39032
39,33,23,4,17.39,39033
39,34,37,5,13.51,39034
39,35,24,9,37.5,39035
39,36,22,2,9.09,39036
39,37,33,9,27.27,39037
39,38,33,9,27.27,39038
39,39,7,3,42.86,39039
39,40,18,3,16.67,39040
39,41,11,1,9.09,39041
39,42,27,9,33.33,39042
39,43,19,2,10.53,39043
39,44,20,3,15.0,39044
39,45,11,3,27.27,39045
39,46,13,1,7.69,39046
39,47,17,4,23.53,39047
40,1,8,0,0.0,40001
40,2,16,7,43.75,40002
40,5,16,3,18.75,40005
40,6,7,3,42.86,40006
40,10,26,8,30.77,40010
40,14,23,2,8.7,40014
40,15,15,3,20.0,40015
40,17,3,2,66.67,40017
40,19,13,5,38.46,40019
40,20,14,2,14.29,40020
40,21,15,1,6.67,40021
40,23,8,3,37.5,40023
40,24,7,1,14.29,40024
40,25,11,0,0.0,40025
40,29,10,3,30.0,40029
40,30,15,3,20.0,40030
40,31,11,3,27.27,40031
40,32,16,2,12.5,40032
40,34,5,2,40.0,40034
40,36,13,3,23.08,40036
40,38,9,1,11.11,40038
40,40,16,4,25.0,40040
40,41,0,0,0.0,40041
40,44,14,2,14.29,40044
40,45,30,7,23.33,40045
40,48,16,5,31.25,40048
40,49,14,4,28.57,40049
41,3,46,9,19.57,41003
41,6,38,19,50.0,41006
41,9,66,21,31.82,41009
41,10,38,10,26.32,41010
41,12,36,7,19.44,41012
41,14,46,6,13.04,41014
41,16,59,11,18.64,41016
41,19,40,17,42.5,41019
41,21,58,15,25.86,41021
41,22,62,13,20.97,41022
41,23,47,8,17.02,41023
41,24,60,18,30.0,41024
41,30,56,15,26.79,41030
41,35,63,20,31.75,41035
41,38,63,10,15.87,41038
41,39,23,11,47.83,41039
41,44,48,15,31.25,41044
41,46,44,10,22.73,41046
41,47,36,11,30.56,41047
41,50,50,14,28.0,41050
41,51,37,6,16.22,41051
41,53,49,12,24.49,41053
41,54,27,11,40.74,41054
41,57,43,5,11.63,41057
43,2,32,16,50.0,43002
43,6,13,3,23.08,43006
43,7,21,10,47.62,43007
43,8,24,8,33.33,43008
43,12,36,12,33.33,43012
43,14,34,15,44.12,43014
43,17,44,17,38.64,43017
43,20,24,12,50.0,43020
43,21,29,15,51.72,43021
43,22,23,8,34.78,43022
43,27,33,15,45.45,43027
43,29,32,13,40.63,43029
43,31,29,12,41.38,43031
43,32,27,8,29.63,43032
43,33,17,7,41.18,43033
43,34,13,6,46.15,43034
43,38,14,3,21.43,43038
43,43,28,13,46.43,43043
43,44,35,14,40.0,43044
43,45,13,5,38.46,43045
43,48,21,7,33.33,43048
43,50,19,10,52.63,43050
43,53,42,14,33.33,43053
43,56,20,3,15.0,43056
43,57,19,9,47.37,43057
43,58,20,10,50.0,43058
43,59,25,9,36.0,43059
44,1,25,10,40.0,44001
44,2,18,8,44.44,44002
44,5,22,5,22.73,44005
44,6,16,9,56.25,44006
44,8,9,4,44.44,44008
44,9,22,9,40.91,44009
44,10,22,7,31.82,44010
44,11,26,8,30.77,44011
44,12,18,9,50.0,44012
44,13,22,10,45.45,44013
44,14,15,9,60.0,44014
44,15,29,10,34.48,44015
44,16,19,4,21.05,44016
44,17,25,10,40.0,44017
44,18,23,12,52.17,44018
44,19,8,5,62.5,44019
44,20,15,6,40.0,44020
44,21,24,9,37.5,44021
44,22,28,12,42.86,44022
44,23,16,6,37.5,44023
44,24,11,4,36.36,44024
44,25,30,13,43.33,44025
44,26,14,3,21.43,44026
44,27,31,9,29.03,44027
44,28,19,10,52.63,44028
44,29,24,9,37.5,44029
44,30,13,4,30.77,44030
44,31,36,15,41.67,44031
44,32,18,7,38.89,44032
44,33,8,4,50.0,44033
44,34,15,3,20.0,44034
44,36,15,3,20.0,44036
44,37,22,6,27.27,44037
44,38,35,14,40.0,44038
44,39,31,12,38.71,44039
44,40,24,8,33.33,44040
44,41,37,5,13.51,44041
44,42,25,12,48.0,44042
44,43,21,7,33.33,44043
44,44,21,5,23.81,44044
44,45,15,6,40.0,44045
44,46,22,12,54.55,44046
44,47,43,20,46.51,44047
44,50,20,7,35.0,44050
44,51,23,13,56.52,44051
45,1,18,3,16.67,45001
45,2,46,14,30.43,45002
45,3,44,19,43.18,45003
45,4,40,9,22.5,45004
45,5,32,8,25.0,45005
45,6,34,5,14.71,45006
45,7,26,7,26.92,45007
45,8,23,10,43.48,45008
45,9,42,9,21.43,45009
45,10,29,6,20.69,45010
45,11,43,16,37.21,45011
45,12,39,11,28.21,45012
45,13,33,12,36.36,45013
45,14,30,6,20.0,45014
45,15,39,11,28.21,45015
45,16,27,10,37.04,45016
45,17,29,9,31.03,45017
45,18,15,2,13.33,45018
45,19,33,6,18.18,45019
45,20,17,2,11.76,45020
45,21,35,11,31.43,45021
45,22,35,8,22.86,45022
45,23,39,7,17.95,45023
45,24,59,13,22.03,45024
45,25,28,10,35.71,45025
45,26,17,3,17.65,45026
45,27,35,6,17.14,45027
45,28,21,4,19.05,45028
