ward,precinct,total,Eric M. Wallace,Eric M. Wallace Percent,precinct_id
5,1,4,4,100.0,05001
5,6,3,3,100.0,05006
5,10,1,1,100.0,05010
5,11,11,11,100.0,05011
5,14,0,0,0.0,05014
5,18,0,0,0.0,05018
5,23,10,10,100.0,05023
5,25,4,4,100.0,05025
5,26,4,4,100.0,05026
5,28,3,3,100.0,05028
5,29,6,6,100.0,05029
5,31,3,3,100.0,05031
5,32,2,2,100.0,05032
5,35,0,0,0.0,05035
5,36,5,5,100.0,05036
5,37,11,11,100.0,05037
5,38,2,2,100.0,05038
5,40,5,5,100.0,05040
5,41,5,5,100.0,05041
6,48,0,0,0.0,06048
7,1,0,0,0.0,07001
7,2,3,3,100.0,07002
7,3,4,4,100.0,07003
7,4,2,2,100.0,07004
7,5,4,4,100.0,07005
7,6,5,5,100.0,07006
7,7,1,1,100.0,07007
7,8,7,7,100.0,07008
7,9,6,6,100.0,07009
7,10,2,2,100.0,07010
7,11,1,1,100.0,07011
7,12,0,0,0.0,07012
7,13,1,1,100.0,07013
7,14,6,6,100.0,07014
7,15,1,1,100.0,07015
7,16,5,5,100.0,07016
7,17,3,3,100.0,07017
7,18,5,5,100.0,07018
7,19,1,1,100.0,07019
7,20,1,1,100.0,07020
7,21,5,5,100.0,07021
7,22,3,3,100.0,07022
7,23,0,0,0.0,07023
7,24,3,3,100.0,07024
7,25,1,1,100.0,07025
7,26,2,2,100.0,07026
7,27,2,2,100.0,07027
7,28,1,1,100.0,07028
7,29,6,6,100.0,07029
7,30,3,3,100.0,07030
7,31,0,0,0.0,07031
7,32,4,4,100.0,07032
7,33,3,3,100.0,07033
7,34,2,2,100.0,07034
7,35,1,1,100.0,07035
7,36,5,5,100.0,07036
7,37,2,2,100.0,07037
7,38,1,1,100.0,07038
7,39,2,2,100.0,07039
7,40,5,5,100.0,07040
7,41,2,2,100.0,07041
7,42,1,1,100.0,07042
7,43,3,3,100.0,07043
7,44,6,6,100.0,07044
7,45,7,7,100.0,07045
7,46,1,1,100.0,07046
8,4,1,1,100.0,08004
8,5,0,0,0.0,08005
8,7,1,1,100.0,08007
8,9,3,3,100.0,08009
8,17,1,1,100.0,08017
8,27,2,2,100.0,08027
8,28,3,3,100.0,08028
8,32,4,4,100.0,08032
8,36,1,1,100.0,08036
8,39,4,4,100.0,08039
8,42,1,1,100.0,08042
8,46,0,0,0.0,08046
8,49,0,0,0.0,08049
8,50,2,2,100.0,08050
8,53,3,3,100.0,08053
9,1,3,3,100.0,09001
9,2,4,4,100.0,09002
9,3,0,0,0.0,09003
9,4,0,0,0.0,09004
9,5,1,1,100.0,09005
9,6,0,0,0.0,09006
9,7,1,1,100.0,09007
9,8,0,0,0.0,09008
9,9,2,2,100.0,09009
9,10,4,4,100.0,09010
9,11,2,2,100.0,09011
9,13,3,3,100.0,09013
9,14,1,1,100.0,09014
9,15,1,1,100.0,09015
9,16,0,0,0.0,09016
9,17,3,3,100.0,09017
9,18,0,0,0.0,09018
9,19,4,4,100.0,09019
9,20,1,1,100.0,09020
9,21,3,3,100.0,09021
9,22,1,1,100.0,09022
9,26,1,1,100.0,09026
9,27,0,0,0.0,09027
9,28,0,0,0.0,09028
9,29,0,0,0.0,09029
9,30,6,6,100.0,09030
9,31,3,3,100.0,09031
9,32,3,3,100.0,09032
9,33,2,2,100.0,09033
9,34,4,4,100.0,09034
9,35,1,1,100.0,09035
9,37,21,21,100.0,09037
9,38,4,4,100.0,09038
9,39,1,1,100.0,09039
9,40,1,1,100.0,09040
9,41,0,0,0.0,09041
9,43,0,0,0.0,09043
9,44,1,1,100.0,09044
9,45,2,2,100.0,09045
9,46,6,6,100.0,09046
10,1,4,4,100.0,10001
10,2,12,12,100.0,10002
10,3,31,31,100.0,10003
10,4,5,5,100.0,10004
10,5,36,36,100.0,10005
10,6,12,12,100.0,10006
10,7,8,8,100.0,10007
10,8,1,1,100.0,10008
10,9,30,30,100.0,10009
10,10,19,19,100.0,10010
10,11,12,12,100.0,10011
10,12,22,22,100.0,10012
10,13,5,5,100.0,10013
10,14,26,26,100.0,10014
10,15,2,2,100.0,10015
10,16,16,16,100.0,10016
10,17,48,48,100.0,10017
10,18,1,1,100.0,10018
10,19,26,26,100.0,10019
10,20,27,27,100.0,10020
10,21,13,13,100.0,10021
10,22,4,4,100.0,10022
10,23,9,9,100.0,10023
10,24,53,53,100.0,10024
10,25,3,3,100.0,10025
10,26,4,4,100.0,10026
10,27,5,5,100.0,10027
10,28,19,19,100.0,10028
10,29,9,9,100.0,10029
10,30,5,5,100.0,10030
10,31,5,5,100.0,10031
10,32,21,21,100.0,10032
10,33,5,5,100.0,10033
10,34,4,4,100.0,10034
10,35,29,29,100.0,10035
10,36,1,1,100.0,10036
34,2,0,0,0.0,34002
34,4,4,4,100.0,34004
34,18,2,2,100.0,34018
34,22,1,1,100.0,34022
34,23,2,2,100.0,34023
34,24,2,2,100.0,34024
34,27,2,2,100.0,34027
34,28,1,1,100.0,34028
34,30,1,1,100.0,34030
34,36,1,1,100.0,34036
34,37,1,1,100.0,34037
34,38,0,0,0.0,34038
34,39,1,1,100.0,34039
34,41,1,1,100.0,34041
34,53,2,2,100.0,34053
