ward,precinct,total,Denis Detzel,Denis Detzel Percent,precinct_id
40,28,9,9,100.0,40028
40,37,0,0,0.0,40037
48,1,13,13,100.0,48001
48,2,13,13,100.0,48002
48,3,19,19,100.0,48003
48,5,29,29,100.0,48005
48,6,21,21,100.0,48006
48,7,9,9,100.0,48007
48,8,30,30,100.0,48008
48,9,30,30,100.0,48009
48,10,11,11,100.0,48010
48,11,10,10,100.0,48011
48,12,8,8,100.0,48012
48,13,30,30,100.0,48013
48,14,14,14,100.0,48014
48,15,13,13,100.0,48015
48,16,8,8,100.0,48016
48,18,17,17,100.0,48018
48,19,12,12,100.0,48019
48,20,0,0,0.0,48020
48,21,0,0,0.0,48021
48,22,38,38,100.0,48022
48,25,17,17,100.0,48025
48,26,9,9,100.0,48026
48,27,12,12,100.0,48027
48,28,46,46,100.0,48028
48,29,22,22,100.0,48029
48,30,21,21,100.0,48030
48,31,20,20,100.0,48031
48,32,11,11,100.0,48032
48,33,22,22,100.0,48033
48,34,9,9,100.0,48034
48,36,13,13,100.0,48036
48,37,13,13,100.0,48037
48,38,15,15,100.0,48038
48,39,23,23,100.0,48039
48,40,10,10,100.0,48040
48,41,12,12,100.0,48041
48,42,10,10,100.0,48042
48,43,18,18,100.0,48043
48,44,12,12,100.0,48044
48,45,12,12,100.0,48045
48,46,14,14,100.0,48046
49,1,2,2,100.0,49001
49,2,11,11,100.0,49002
49,3,11,11,100.0,49003
49,4,11,11,100.0,49004
49,5,11,11,100.0,49005
49,6,8,8,100.0,49006
49,7,19,19,100.0,49007
49,8,21,21,100.0,49008
49,9,13,13,100.0,49009
49,10,15,15,100.0,49010
49,11,23,23,100.0,49011
49,12,17,17,100.0,49012
49,13,19,19,100.0,49013
49,14,23,23,100.0,49014
49,15,11,11,100.0,49015
49,16,23,23,100.0,49016
49,17,17,17,100.0,49017
49,18,11,11,100.0,49018
49,19,10,10,100.0,49019
49,20,14,14,100.0,49020
49,21,10,10,100.0,49021
49,22,20,20,100.0,49022
49,23,9,9,100.0,49023
49,24,9,9,100.0,49024
49,25,12,12,100.0,49025
49,26,19,19,100.0,49026
49,27,5,5,100.0,49027
49,28,17,17,100.0,49028
49,29,10,10,100.0,49029
49,30,19,19,100.0,49030
49,31,21,21,100.0,49031
49,32,11,11,100.0,49032
49,33,11,11,100.0,49033
50,8,12,12,100.0,50008
50,28,4,4,100.0,50028
