ward,precinct,total,Peter N. Silvestri,Peter N. Silvestri Percent,precinct_id
38,2,67,67,100.0,38002
38,3,26,26,100.0,38003
38,4,21,21,100.0,38004
38,5,35,35,100.0,38005
38,6,33,33,100.0,38006
38,7,39,39,100.0,38007
38,9,41,41,100.0,38009
38,12,49,49,100.0,38012
38,13,33,33,100.0,38013
38,16,26,26,100.0,38016
38,17,40,40,100.0,38017
38,19,36,36,100.0,38019
38,20,45,45,100.0,38020
38,24,46,46,100.0,38024
38,26,17,17,100.0,38026
38,27,34,34,100.0,38027
38,28,53,53,100.0,38028
38,29,21,21,100.0,38029
38,30,26,26,100.0,38030
38,38,34,34,100.0,38038
41,1,67,67,100.0,41001
41,2,71,71,100.0,41002
41,3,62,62,100.0,41003
41,4,63,63,100.0,41004
41,5,39,39,100.0,41005
41,6,55,55,100.0,41006
41,7,87,87,100.0,41007
41,8,89,89,100.0,41008
41,9,47,47,100.0,41009
41,10,90,90,100.0,41010
41,11,56,56,100.0,41011
41,12,47,47,100.0,41012
41,13,93,93,100.0,41013
41,14,76,76,100.0,41014
41,15,64,64,100.0,41015
41,16,72,72,100.0,41016
41,17,59,59,100.0,41017
41,18,47,47,100.0,41018
41,19,40,40,100.0,41019
41,20,55,55,100.0,41020
41,21,51,51,100.0,41021
41,22,74,74,100.0,41022
41,23,74,74,100.0,41023
41,24,65,65,100.0,41024
41,25,15,15,100.0,41025
41,26,71,71,100.0,41026
41,27,44,44,100.0,41027
41,28,32,32,100.0,41028
41,29,15,15,100.0,41029
41,30,55,55,100.0,41030
41,31,84,84,100.0,41031
41,32,55,55,100.0,41032
41,33,63,63,100.0,41033
41,34,67,67,100.0,41034
41,35,100,100,100.0,41035
41,36,72,72,100.0,41036
41,37,57,57,100.0,41037
41,38,39,39,100.0,41038
41,39,59,59,100.0,41039
41,40,92,92,100.0,41040
41,41,51,51,100.0,41041
41,42,68,68,100.0,41042
41,43,53,53,100.0,41043
41,44,79,79,100.0,41044
41,45,51,51,100.0,41045
41,46,53,53,100.0,41046
41,47,51,51,100.0,41047
