ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
38,2,82,82,100.0,38002
38,7,5,5,100.0,38007
38,12,57,57,100.0,38012
38,17,8,8,100.0,38017
38,20,47,47,100.0,38020
38,24,0,0,0.0,38024
38,28,54,54,100.0,38028
41,1,73,73,100.0,41001
41,2,87,87,100.0,41002
41,3,46,46,100.0,41003
41,4,71,71,100.0,41004
41,5,55,55,100.0,41005
41,7,98,98,100.0,41007
41,8,96,96,100.0,41008
41,10,99,99,100.0,41010
41,11,67,67,100.0,41011
41,13,102,102,100.0,41013
41,15,78,78,100.0,41015
41,16,74,74,100.0,41016
41,17,74,74,100.0,41017
41,18,51,51,100.0,41018
41,20,59,59,100.0,41020
41,21,64,64,100.0,41021
41,22,85,85,100.0,41022
41,23,80,80,100.0,41023
41,25,16,16,100.0,41025
41,26,80,80,100.0,41026
41,27,47,47,100.0,41027
41,31,88,88,100.0,41031
41,33,78,78,100.0,41033
41,34,78,78,100.0,41034
41,35,116,116,100.0,41035
41,36,82,82,100.0,41036
41,37,66,66,100.0,41037
41,40,106,106,100.0,41040
41,41,59,59,100.0,41041
41,42,78,78,100.0,41042
41,43,58,58,100.0,41043
41,44,101,101,100.0,41044
41,45,53,53,100.0,41045
41,46,61,61,100.0,41046
