ward,precinct,total,Susanne Atanus,Susanne Atanus Percent,precinct_id
40,4,11,7,63.64,40004
40,9,19,13,68.42,40009
40,10,11,6,54.55,40010
40,18,8,4,50.0,40018
40,22,8,4,50.0,40022
40,25,1,1,100.0,40025
40,26,18,8,44.44,40026
40,27,15,6,40.0,40027
40,28,10,7,70.0,40028
40,31,13,10,76.92,40031
40,33,20,13,65.0,40033
40,35,26,13,50.0,40035
40,36,29,15,51.72,40036
40,37,16,10,62.5,40037
40,39,7,4,57.14,40039
41,1,71,44,61.97,41001
41,2,76,52,68.42,41002
41,4,65,50,76.92,41004
41,5,42,27,64.29,41005
41,7,90,62,68.89,41007
41,8,86,58,67.44,41008
41,10,82,57,69.51,41010
41,11,52,35,67.31,41011
41,13,84,56,66.67,41013
41,15,71,46,64.79,41015
41,17,2,2,100.0,41017
41,18,51,35,68.63,41018
41,20,56,39,69.64,41020
41,23,56,40,71.43,41023
41,25,20,16,80.0,41025
41,28,37,17,45.95,41028
41,29,25,13,52.0,41029
41,31,81,51,62.96,41031
41,33,5,3,60.0,41033
41,34,62,41,66.13,41034
41,36,71,45,63.38,41036
41,37,62,37,59.68,41037
41,40,101,61,60.4,41040
41,41,58,38,65.52,41041
41,42,68,40,58.82,41042
41,43,53,30,56.6,41043
41,44,91,61,67.03,41044
41,45,26,16,61.54,41045
44,3,35,26,74.29,44003
44,4,42,28,66.67,44004
44,7,41,26,63.41,44007
44,24,29,20,68.97,44024
44,35,47,23,48.94,44035
46,1,24,16,66.67,46001
46,2,14,8,57.14,46002
46,4,11,10,90.91,46004
46,5,3,1,33.33,46005
46,6,11,5,45.45,46006
46,7,44,23,52.27,46007
46,8,16,8,50.0,46008
46,9,13,7,53.85,46009
46,11,18,6,33.33,46011
46,12,8,6,75.0,46012
46,13,12,9,75.0,46013
46,14,13,6,46.15,46014
46,15,20,9,45.0,46015
46,16,8,5,62.5,46016
46,17,33,21,63.64,46017
46,18,27,18,66.67,46018
46,20,15,10,66.67,46020
46,21,13,5,38.46,46021
46,22,15,8,53.33,46022
46,23,12,5,41.67,46023
46,24,30,17,56.67,46024
46,25,6,4,66.67,46025
46,26,13,9,69.23,46026
46,27,18,13,72.22,46027
46,29,20,15,75.0,46029
46,32,25,12,48.0,46032
46,34,15,8,53.33,46034
46,35,23,12,52.17,46035
46,37,11,3,27.27,46037
46,38,2,1,50.0,46038
46,40,17,8,47.06,46040
47,15,12,8,66.67,47015
47,19,14,10,71.43,47019
47,23,8,5,62.5,47023
47,30,6,2,33.33,47030
48,1,15,9,60.0,48001
48,2,17,10,58.82,48002
48,3,21,14,66.67,48003
48,4,15,10,66.67,48004
48,5,31,20,64.52,48005
48,6,23,8,34.78,48006
48,7,12,7,58.33,48007
48,8,32,26,81.25,48008
48,9,32,17,53.13,48009
48,10,13,7,53.85,48010
48,11,10,7,70.0,48011
48,12,9,5,55.56,48012
48,13,39,25,64.1,48013
48,14,26,14,53.85,48014
48,15,15,11,73.33,48015
48,16,9,4,44.44,48016
48,17,21,12,57.14,48017
48,18,22,13,59.09,48018
48,19,16,10,62.5,48019
48,20,13,7,53.85,48020
48,21,28,13,46.43,48021
48,22,43,26,60.47,48022
48,23,40,24,60.0,48023
48,24,29,23,79.31,48024
48,25,17,13,76.47,48025
48,26,7,5,71.43,48026
48,27,13,6,46.15,48027
48,28,48,22,45.83,48028
48,29,26,12,46.15,48029
48,30,21,19,90.48,48030
48,31,25,13,52.0,48031
48,32,10,7,70.0,48032
48,33,22,17,77.27,48033
48,34,12,10,83.33,48034
48,35,15,2,13.33,48035
48,36,15,11,73.33,48036
48,37,14,7,50.0,48037
48,38,21,13,61.9,48038
48,39,28,13,46.43,48039
48,40,12,7,58.33,48040
48,41,12,9,75.0,48041
48,42,11,6,54.55,48042
48,43,23,12,52.17,48043
48,44,13,8,61.54,48044
48,45,15,9,60.0,48045
48,46,15,6,40.0,48046
49,1,2,0,0.0,49001
49,2,15,7,46.67,49002
49,3,15,12,80.0,49003
49,4,13,7,53.85,49004
49,5,14,7,50.0,49005
49,6,10,5,50.0,49006
49,7,25,17,68.0,49007
49,8,24,14,58.33,49008
49,9,16,10,62.5,49009
49,10,19,12,63.16,49010
49,11,25,16,64.0,49011
49,12,17,13,76.47,49012
49,13,20,14,70.0,49013
49,14,22,12,54.55,49014
49,15,13,9,69.23,49015
49,16,26,12,46.15,49016
49,17,19,8,42.11,49017
49,18,13,9,69.23,49018
49,19,9,3,33.33,49019
49,20,14,8,57.14,49020
49,21,12,7,58.33,49021
49,22,24,14,58.33,49022
49,23,11,4,36.36,49023
49,24,10,6,60.0,49024
49,25,13,9,69.23,49025
49,26,23,9,39.13,49026
49,27,8,3,37.5,49027
49,28,17,10,58.82,49028
49,29,14,9,64.29,49029
49,30,22,11,50.0,49030
49,31,23,16,69.57,49031
49,32,12,6,50.0,49032
49,33,14,6,42.86,49033
50,1,26,17,65.38,50001
50,2,22,14,63.64,50002
50,3,21,11,52.38,50003
50,4,25,12,48.0,50004
50,5,24,15,62.5,50005
50,6,27,20,74.07,50006
50,7,29,16,55.17,50007
50,8,14,7,50.0,50008
50,9,17,12,70.59,50009
50,10,21,10,47.62,50010
50,11,31,20,64.52,50011
50,12,18,9,50.0,50012
50,13,14,10,71.43,50013
50,14,18,10,55.56,50014
50,15,29,19,65.52,50015
50,16,19,9,47.37,50016
50,17,21,14,66.67,50017
50,18,10,3,30.0,50018
50,19,14,7,50.0,50019
50,20,15,6,40.0,50020
50,21,22,13,59.09,50021
50,22,27,16,59.26,50022
50,23,15,9,60.0,50023
50,25,40,22,55.0,50025
50,26,17,6,35.29,50026
50,27,14,9,64.29,50027
50,28,25,12,48.0,50028
50,29,9,4,44.44,50029
50,30,8,7,87.5,50030
50,31,10,5,50.0,50031
50,32,7,3,42.86,50032
50,33,32,18,56.25,50033
50,34,31,16,51.61,50034
50,35,28,20,71.43,50035
50,36,20,10,50.0,50036
50,37,29,18,62.07,50037
50,38,22,8,36.36,50038
50,39,18,5,27.78,50039
50,40,33,17,51.52,50040
