ward,precinct,total,Victor C. Horne,Victor C. Horne Percent,precinct_id
19,1,30,30,100.0,19001
19,2,18,18,100.0,19002
19,4,55,55,100.0,19004
19,6,50,50,100.0,19006
19,7,37,37,100.0,19007
19,8,56,56,100.0,19008
19,10,29,29,100.0,19010
19,11,41,41,100.0,19011
19,13,5,5,100.0,19013
19,15,67,67,100.0,19015
19,16,56,56,100.0,19016
19,17,35,35,100.0,19017
19,18,18,18,100.0,19018
19,19,39,39,100.0,19019
19,21,54,54,100.0,19021
19,22,41,41,100.0,19022
19,23,44,44,100.0,19023
19,24,0,0,0.0,19024
19,25,43,43,100.0,19025
19,26,39,39,100.0,19026
19,27,13,13,100.0,19027
19,28,11,11,100.0,19028
19,29,52,52,100.0,19029
19,30,37,37,100.0,19030
19,32,30,30,100.0,19032
19,33,47,47,100.0,19033
19,34,33,33,100.0,19034
19,35,26,26,100.0,19035
19,36,9,9,100.0,19036
19,37,16,16,100.0,19037
19,38,14,14,100.0,19038
19,39,2,2,100.0,19039
19,41,32,32,100.0,19041
19,44,50,50,100.0,19044
19,45,52,52,100.0,19045
19,46,49,49,100.0,19046
19,50,18,18,100.0,19050
19,51,30,30,100.0,19051
19,52,61,61,100.0,19052
19,53,34,34,100.0,19053
19,54,37,37,100.0,19054
19,56,8,8,100.0,19056
19,57,36,36,100.0,19057
21,1,0,0,0.0,21001
21,3,1,1,100.0,21003
21,8,1,1,100.0,21008
21,14,1,1,100.0,21014
21,16,0,0,0.0,21016
21,18,4,4,100.0,21018
21,22,0,0,0.0,21022
21,29,0,0,0.0,21029
21,32,3,3,100.0,21032
21,36,1,1,100.0,21036
21,42,0,0,0.0,21042
21,48,1,1,100.0,21048
34,49,1,1,100.0,34049
